bitsum (V)_X,bitsum (V)_Y
0,0
2.5e-12,0
3.75e-12,0
5e-12,0
6.86001679499785e-12,0
8.251461839168221e-12,0
9.125730919584111e-12,0
9.999999999999999e-12,0
1.103078176522849e-11,0
1.234233320551514e-11,0
1.368218036220987e-11,0
1.434109018110494e-11,0
1.5e-11,0
1.620214964337235e-11,0
1.72212930312759e-11,0
1.866802049742093e-11,0
2e-11,0
2.136509054326711e-11,0
2.318879528205022e-11,0
2.409439764102511e-11,0
2.5e-11,0
2.501250002083333e-11,0
2.503750006250001e-11,9.765641276042751e-07
2.508750014583335e-11,2.929692382813015e-06
2.518750031250004e-11,6.835948893230495e-06
2.538750064583341e-11,1.464846191406548e-05
2.573722564077493e-11,2.830959452896858e-05
2.619533043504167e-11,4.620431305501295e-05
2.686136458588292e-11,7.222127207224936e-05
2.720450081038702e-11,8.562503084194081e-05
2.745617081706714e-11,9.545589047788314e-05
2.795951083042739e-11,0.0001151176097497678
2.81763849198275e-11,0.0001235892538669595
2.841236766577833e-11,0.0001328073298806639
2.859509473727692e-11,0.0001399451061110774
2.877837240078973e-11,0.0001471043898420467
2.906983709237287e-11,0.0001584897293570132
2.950205164975081e-11,0.0001753731105045887
3e-11,0.0001948242179361978
3.001250002083334e-11,0.0001953125
3.003750006250001e-11,0.0001953125
3.008750014583335e-11,0.0001953125
3.018750031250004e-11,0.0001953125
3.038750064583341e-11,0.0001953125
3.072011015643751e-11,0.0001953125
3.116675980209925e-11,0.0001953125
3.183686483452076e-11,0.0001953125
3.309981067328583e-11,0.0001953125
3.42005119329167e-11,0.0001953125
3.5e-11,0.0001953125
3.640921222779526e-11,0.0001953125
3.780776535903707e-11,0.0001953125
3.890388267951854e-11,0.0001953125
4e-11,0.0001953125
4.123899903676543e-11,0.0001953125
4.241643894261944e-11,0.0001953125
4.364412561574426e-11,0.0001953125
4.432206280787213e-11,0.0001953125
4.500000000000001e-11,0.0001953125
4.635587438425575e-11,0.0001953125
4.744539430612089e-11,0.0001953125
4.893168451879515e-11,0.0001953125
5e-11,0.0001953125
5.141226618324563e-11,0.0001953125
5.353600232683992e-11,0.0001953125
5.500000000000001e-11,0.0001953125
5.74317036903948e-11,0.0001953125
5.87158518451974e-11,0.0001953125
6.000000000000001e-11,0.0001953125
6.201846663521699e-11,0.0001953125
6.343175284523907e-11,0.0001953125
6.421587642261953e-11,0.0001953125
6.500000000000001e-11,0.0001953125
6.652768496567806e-11,0.0001953125
6.791522265185032e-11,0.0001953125
6.895761132592516e-11,0.0001953125
7e-11,0.0001953125
7.161434332043177e-11,0.0001953125
7.342114804914936e-11,0.0001953125
7.5e-11,0.0001953125
7.659283906118729e-11,0.0001953125
7.843237301518825e-11,0.0001953125
8e-11,0.0001953125
8.208403007416066e-11,0.0001953125
8.356251886859809e-11,0.0001953125
8.428125943429903e-11,0.0001953125
8.499999999999999e-11,0.0001953125
