"freq
References : ['OE_gain_smooth','OE_gain_240cm']
Dependency : [freq]
Num. Points : [1201]
Matrix Size : scalar
Type : Real","OE_gain_smooth
References : []
Dependency : [freq]
Num. Points : [1201]
Matrix Size : scalar
Type : Real","OE_gain_240cm
References : []
Dependency : [freq]
Num. Points : [1201]
Matrix Size : scalar
Type : Real"
110.00,0.10992,0.10992
110.05,0.44752,0.47434
110.10,0.61866,0.82402
110.15,0.70105,1.0437
110.20,0.75634,1.36401
110.25,0.8013,1.3492
110.30,0.84211,0.94044
110.35,0.88165,0.85336
110.40,0.92162,0.94778
110.45,0.96257,1.03717
110.50,1.00486,1.00375
110.55,1.04847,0.90469
110.60,1.09313,0.97351
110.65,1.13848,1.09447
110.70,1.18413,1.16042
110.75,1.22978,1.13406
110.80,1.27521,1.12187
110.85,1.32042,1.20198
110.90,1.36526,1.25932
110.95,1.40973,1.27848
111.00,1.45372,1.29933
111.05,1.49719,1.3456
111.10,1.54009,1.41787
111.15,1.58232,1.46024
111.20,1.62385,1.49111
111.25,1.66459,1.53507
111.30,1.70448,1.59265
111.35,1.74349,1.65127
111.40,1.78156,1.71458
111.45,1.81868,1.76845
111.50,1.85484,1.82795
111.55,1.89003,1.9034
111.60,1.92426,1.94915
111.65,1.95752,1.97377
111.70,1.9898,2.03849
111.75,2.02114,2.12462
111.80,2.05154,2.20138
111.85,2.08102,2.2476
111.90,2.1096,2.28116
111.95,2.13731,2.347
112.00,2.16419,2.42576
112.05,2.19027,2.4914
112.10,2.21561,2.53549
112.15,2.24025,2.57632
112.20,2.26424,2.63553
112.25,2.28762,2.69551
112.30,2.31043,2.74407
112.35,2.33271,2.77776
112.40,2.35452,2.81818
112.45,2.37589,2.86757
112.50,2.39686,2.91202
112.55,2.41748,2.95516
112.60,2.43778,2.98832
112.65,2.4578,3.02165
112.70,2.47756,3.05478
112.75,2.49708,3.08775
112.80,2.51638,3.12307
112.85,2.53548,3.15761
112.90,2.5544,3.18593
112.95,2.57314,3.2063
113.00,2.59174,3.23268
113.05,2.61019,3.26599
113.10,2.62851,3.30633
113.15,2.64672,3.36617
113.20,2.66482,3.41119
113.25,2.68282,3.44679
113.30,2.70073,3.48024
113.35,2.71855,3.50565
113.40,2.73628,3.5278
113.45,2.75391,3.5499
113.50,2.77146,3.57808
113.55,2.78891,3.6166
113.60,2.80626,3.66008
113.65,2.82351,3.70889
113.70,2.84066,3.74526
113.75,2.8577,3.76963
113.80,2.87463,3.79105
113.85,2.89146,3.8055
113.90,2.90818,3.81828
113.95,2.92478,3.83632
114.00,2.94126,3.86166
114.05,2.95762,3.90153
114.10,2.97385,3.94327
114.15,2.98995,3.9808
114.20,3.00591,4.00781
114.25,3.02172,4.02113
114.30,3.03738,4.03222
114.35,3.05287,4.04169
114.40,3.0682,4.04622
114.45,3.08336,4.06006
114.50,3.09834,4.07826
114.55,3.11313,4.10068
114.60,3.12774,4.1245
114.65,3.14216,4.14205
114.70,3.15638,4.15287
114.75,3.1704,4.15837
114.80,3.18422,4.16621
114.85,3.19784,4.17355
114.90,3.21124,4.17401
114.95,3.22444,4.17936
115.00,3.23741,4.1869
115.05,3.25017,4.19626
115.10,3.2627,4.20723
115.15,3.27501,4.21417
115.20,3.28709,4.21882
115.25,3.29895,4.21979
115.30,3.31058,4.21543
115.35,3.32199,4.20973
115.40,3.33319,4.20573
115.45,3.34416,4.21096
115.50,3.35493,4.22031
115.55,3.3655,4.22575
115.60,3.37586,4.22606
115.65,3.38603,4.22076
115.70,3.39601,4.21899
115.75,3.4058,4.22184
115.80,3.41542,4.2237
115.85,3.42486,4.2312
115.90,3.43413,4.23149
115.95,3.44324,4.22739
116.00,3.45219,4.22405
116.05,3.461,4.21762
116.10,3.46967,4.21301
116.15,3.47821,4.20785
116.20,3.48661,4.20537
116.25,3.4949,4.20668
116.30,3.50307,4.20573
116.35,3.51114,4.21087
116.40,3.51911,4.21137
116.45,3.52698,4.20421
116.50,3.53476,4.19552
116.55,3.54246,4.18272
116.60,3.55008,4.17035
116.65,3.55763,4.15934
116.70,3.56511,4.15031
116.75,3.57253,4.15003
116.80,3.57988,4.15264
116.85,3.58719,4.15678
116.90,3.59443,4.1576
116.95,3.60163,4.15052
117.00,3.60879,4.14116
117.05,3.61591,4.12904
117.10,3.62298,4.11559
117.15,3.63002,4.10614
117.20,3.63702,4.10114
117.25,3.64399,4.10245
117.30,3.65094,4.10273
117.35,3.65785,4.10054
117.40,3.66474,4.09702
117.45,3.6716,4.08927
117.50,3.67844,4.08113
117.55,3.68526,4.07101
117.60,3.69207,4.06221
117.65,3.69886,4.0642
117.70,3.70564,4.06668
117.75,3.7124,4.07096
117.80,3.71915,4.07672
117.85,3.72589,4.07804
117.90,3.73263,4.078
117.95,3.73935,4.07399
118.00,3.74606,4.06799
118.05,3.75275,4.06665
118.10,3.75944,4.07129
118.15,3.76612,4.08482
118.20,3.77279,4.09897
118.25,3.77945,4.11156
118.30,3.78609,4.12236
118.35,3.79273,4.12709
118.40,3.79935,4.13189
118.45,3.80597,4.13835
118.50,3.81257,4.14314
118.55,3.81916,4.15181
118.60,3.82574,4.16113
118.65,3.8323,4.17262
118.70,3.83885,4.18565
118.75,3.84537,4.19464
118.80,3.85189,4.20284
118.85,3.85838,4.20958
118.90,3.86485,4.2188
118.95,3.87131,4.23107
119.00,3.87774,4.23969
119.05,3.88416,4.25431
119.10,3.89055,4.26802
119.15,3.89692,4.27779
119.20,3.90326,4.28991
119.25,3.90958,4.30147
119.30,3.91588,4.31745
119.35,3.92216,4.33577
119.40,3.92841,4.35584
119.45,3.93463,4.38473
119.50,3.94083,4.4083
119.55,3.94701,4.43002
119.60,3.95315,4.44974
119.65,3.95927,4.46357
119.70,3.96536,4.47945
119.75,3.97142,4.49642
119.80,3.97745,4.51322
119.85,3.98346,4.53139
119.90,3.98944,4.55432
119.95,3.99539,4.58784
120.00,4.00132,4.61983
120.05,4.00723,4.64729
120.10,4.01311,4.67078
120.15,4.01897,4.68818
120.20,4.0248,4.70514
120.25,4.03061,4.72162
120.30,4.03641,4.73885
120.35,4.04218,4.76332
120.40,4.04793,4.79084
120.45,4.05366,4.82213
120.50,4.05938,4.84935
120.55,4.06508,4.86733
120.60,4.07077,4.88403
120.65,4.07644,4.89704
120.70,4.08211,4.90631
120.75,4.08776,4.92009
120.80,4.09341,4.93823
120.85,4.09905,4.96536
120.90,4.10469,4.99414
120.95,4.11033,5.01997
121.00,4.11596,5.0422
121.05,4.1216,5.05835
121.10,4.12723,5.07236
121.15,4.13287,5.0822
121.20,4.13851,5.08987
121.25,4.14416,5.10392
121.30,4.14982,5.12381
121.35,4.15549,5.15136
121.40,4.16116,5.1777
121.45,4.16685,5.19982
121.50,4.17254,5.22248
121.55,4.17825,5.23962
121.60,4.18398,5.25312
121.65,4.18971,5.26868
121.70,4.19546,5.28558
121.75,4.20123,5.30934
121.80,4.20701,5.33306
121.85,4.21281,5.35475
121.90,4.21863,5.3757
121.95,4.22446,5.3929
122.00,4.23031,5.41156
122.05,4.23617,5.42848
122.10,4.24206,5.44355
122.15,4.24796,5.46314
122.20,4.25388,5.48203
122.25,4.25981,5.50447
122.30,4.26576,5.52832
122.35,4.27173,5.54995
122.40,4.27772,5.57111
122.45,4.28372,5.58992
122.50,4.28974,5.60933
122.55,4.29578,5.62658
122.60,4.30185,5.64285
122.65,4.30794,5.66689
122.70,4.31404,5.68976
122.75,4.32017,5.71072
122.80,4.32632,5.72864
122.85,4.33249,5.74173
122.90,4.33867,5.75613
122.95,4.34488,5.76845
123.00,4.3511,5.78093
123.05,4.35735,5.79795
123.10,4.36361,5.81305
123.15,4.36988,5.83167
123.20,4.37617,5.85085
123.25,4.38247,5.86507
123.30,4.38879,5.87667
123.35,4.39511,5.88316
123.40,4.40145,5.88864
123.45,4.4078,5.89504
123.50,4.41415,5.90095
123.55,4.42051,5.91461
123.60,4.42688,5.92989
123.65,4.43326,5.94545
123.70,4.43964,5.95967
123.75,4.44602,5.9671
123.80,4.45241,5.97328
123.85,4.4588,5.97335
123.90,4.46519,5.96622
123.95,4.47158,5.96703
124.00,4.47798,5.97534
124.05,4.48437,5.99214
124.10,4.49077,6.00717
124.15,4.49716,6.01626
124.20,4.50356,6.02334
124.25,4.50995,6.02453
124.30,4.51634,6.0223
124.35,4.52273,6.01888
