Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.02
Start Frequency,12000000
Stop Frequency,16000000
Average Count,0
Average Type,LogPower(Video)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,10000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,30
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
12000000,-22.4017003848841
12004000,-24.4703639218179
12008000,-26.8981951370344
12012000,-24.476251283817
12016000,-21.6097921706736
12020000,-20.4012649705456
12024000,-20.8207474150479
12028000,-20.9122969028214
12032000,-21.4737725656843
12036000,-23.690728922538
12040000,-27.7718187064118
12044000,-32.2516205382125
12048000,-36.1516545450204
12052000,-38.7794360542711
12056000,-41.5420540086476
12060000,-45.7687086798368
12064000,-48.4187810737796
12068000,-48.0089686111368
12072000,-48.3798547594647
12076000,-49.8618071972285
12080000,-49.7938078040031
12084000,-50.7462272678422
12088000,-53.096987903241
12092000,-54.314393969922
12096000,-54.1514980609807
12100000,-53.8770279276459
12104000,-54.7288250179273
12108000,-56.4257523788361
12112000,-55.1356380624144
12116000,-49.2087279776463
12120000,-42.9491127957676
12124000,-38.2433855586489
12128000,-35.6543537143577
12132000,-35.3617937001491
12136000,-37.3318425114883
12140000,-38.6841852723839
12144000,-39.962659085326
12148000,-42.7720301761434
12152000,-47.5861099207212
12156000,-52.3083061086568
12160000,-54.9558545851297
12164000,-55.2293377967962
12168000,-54.4626031996298
12172000,-54.6540629723605
12176000,-55.3780507743576
12180000,-55.428873384117
12184000,-56.389929104749
12188000,-58.6997022168707
12192000,-61.2386450065598
12196000,-61.9715995040683
12200000,-61.9536162824985
12204000,-62.4231991667054
12208000,-63.6860287714799
12212000,-64.9416711116473
12216000,-65.9356972076536
12220000,-66.1550076494894
12224000,-65.2670733882154
12228000,-64.184094438391
12232000,-63.7308409573687
12236000,-64.0411839690953
12240000,-64.6984318165023
12244000,-64.9260970635055
12248000,-64.5980001775608
12252000,-64.9314360958089
12256000,-65.5889256659559
12260000,-65.7699145226488
12264000,-65.955893070568
12268000,-66.2703032448256
12272000,-66.4722782716056
12276000,-65.9203813626111
12280000,-65.5935442427824
12284000,-65.7116061177252
12288000,-66.1220309623169
12292000,-66.4910923847578
12296000,-66.3454562496528
12300000,-66.4506149494434
12304000,-66.6442440022877
12308000,-66.4960140446234
12312000,-66.3967286422888
12316000,-66.4637468773437
12320000,-66.5970109645036
12324000,-66.6337415148877
12328000,-66.9658564986934
12332000,-66.9646076210981
12336000,-66.4016145958537
12340000,-66.004137587652
12344000,-66.0154510093853
12348000,-66.5179782230965
12352000,-66.8665050759587
12356000,-67.0578718603824
12360000,-67.0611831713525
12364000,-66.8480033818774
12368000,-66.8921121459356
12372000,-67.0033822457724
12376000,-66.5365060014964
12380000,-65.9273499287934
12384000,-66.1358555788642
12388000,-66.5434788025062
12392000,-66.8814661147083
12396000,-66.791918858945
12400000,-67.20604666487
12404000,-67.1140918181728
12408000,-66.7515871721671
12412000,-66.7474348870992
12416000,-66.4954406935863
12420000,-66.6750196630659
12424000,-66.6705058691095
12428000,-66.691516438776
12432000,-66.7564380420312
12436000,-67.144203392655
12440000,-67.0472576833884
12444000,-66.9173543799117
12448000,-66.9394533602725
12452000,-66.8447637609059
12456000,-66.4943673197602
12460000,-66.4090875434503
12464000,-66.6658264753857
12468000,-67.2396546606751
12472000,-67.5775212699761
12476000,-67.2219454499431
12480000,-66.6272955048616
12484000,-66.2733700204898
12488000,-66.3225285124337
12492000,-66.6037156935418
12496000,-66.8930293568405
12500000,-67.0918968632146
12504000,-66.9753082876758
12508000,-67.0232406207647
12512000,-67.0026512287068
12516000,-66.8703799671908
12520000,-66.8669332028091
12524000,-66.8070870374969
12528000,-66.6066039097075
12532000,-66.4244112775261
12536000,-66.5404536493286
12540000,-66.7330209126989
12544000,-66.7465443972283
12548000,-66.9719889034688
12552000,-66.8631195538795
12556000,-67.0033639597054
12560000,-67.3955636720965
12564000,-67.6256155729856
12568000,-67.6227998988094
12572000,-67.2464080412281
12576000,-67.0003091449283
12580000,-66.8656338881199
12584000,-66.8635734419459
12588000,-67.1077229622902
12592000,-67.0383954580714
12596000,-66.8337580990143
12600000,-66.9796938821857
12604000,-67.0393008527066
12608000,-66.9314797747358
12612000,-67.0578621414215
12616000,-66.9015881822056
12620000,-66.8238196109537
12624000,-66.9521888566102
12628000,-67.1951605594763
12632000,-67.0680337529393
12636000,-67.124879030001
12640000,-67.2616766370483
12644000,-67.1492379201764
12648000,-66.8640882483821
12652000,-66.6379731668872
12656000,-66.8453534487389
12660000,-67.3355189465441
12664000,-67.4153562666791
12668000,-67.0248368104237
12672000,-66.8726520736229
12676000,-66.9083965997438
12680000,-66.8055425288062
12684000,-66.8052158798415
12688000,-66.8448712736939
12692000,-67.0106411696836
12696000,-67.0540720532074
12700000,-67.048393095374
12704000,-67.0333728032699
12708000,-67.0015424115458
12712000,-66.9179245686746
12716000,-67.0050934196136
12720000,-66.9714176092572
12724000,-66.9956720960259
12728000,-67.0142398171501
12732000,-67.3087604943456
12736000,-67.6673717673046
12740000,-67.3852416409413
12744000,-67.2251298475065
12748000,-67.266943669941
12752000,-67.4598509212082
12756000,-67.2879797551317
12760000,-66.7279065100594
12764000,-66.3838917385679
