Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.02
Start Frequency,12000000
Stop Frequency,16000000
Average Count,0
Average Type,LogPower(Video)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,10000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,30
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
12000000,-20.6177733370544
12004000,-19.1189006546795
12008000,-17.4492350820501
12012000,-17.2010003596648
12016000,-16.4778055812427
12020000,-15.9475045348228
12024000,-16.1070763234686
12028000,-15.4332828913805
12032000,-15.5804413448808
12036000,-17.4781624217017
12040000,-20.6362950070495
12044000,-22.7904260369463
12048000,-25.9061021413982
12052000,-28.8209379000717
12056000,-31.7157559942962
12060000,-35.3687076221123
12064000,-37.7329250714634
12068000,-39.3484674943464
12072000,-37.5134911432407
12076000,-34.9424638437197
12080000,-33.7111379321123
12084000,-34.5055301518142
12088000,-37.5346806734384
12092000,-41.1028243124411
12096000,-41.2773559495329
12100000,-40.9062460649835
12104000,-41.8748482776421
12108000,-42.503311546255
12112000,-43.1445659758792
12116000,-45.0630101373388
12120000,-45.3250836436419
12124000,-42.5745967821336
12128000,-40.5134509479418
12132000,-40.2586395816477
12136000,-42.0964123688281
12140000,-46.1314213573268
12144000,-47.5833432381557
12148000,-46.6554423463211
12152000,-46.6201060625528
12156000,-46.3727765178025
12160000,-45.9313464840843
12164000,-46.9692519793448
12168000,-49.3439320571646
12172000,-48.3828282237838
12176000,-46.1813747498835
12180000,-45.1282725837968
12184000,-45.8216687522692
12188000,-47.5411260655979
12192000,-48.8576810552924
12196000,-49.8895669631116
12200000,-50.1799247195275
12204000,-50.6298596866601
12208000,-49.9186926709373
12212000,-49.9653571657213
12216000,-50.2268831596973
12220000,-50.2003246768736
12224000,-50.4869627206315
12228000,-49.5342839730346
12232000,-49.404324642272
12236000,-50.6582884695266
12240000,-51.524501113914
12244000,-52.5912435822577
12248000,-52.6935084671837
12252000,-52.2791461267901
12256000,-50.9682075423173
12260000,-50.2300179397109
12264000,-50.9252422589929
12268000,-51.0138260385208
12272000,-51.3568815690821
12276000,-52.6430213735769
12280000,-53.4882382583377
12284000,-53.5624959487608
12288000,-52.3574859560481
12292000,-52.2448759373886
12296000,-52.5032866016647
12300000,-52.3865447253838
12304000,-53.410611910877
12308000,-54.5576453752532
12312000,-54.5685087608459
12316000,-53.395548047414
12320000,-52.7793101568027
12324000,-53.5445190962862
12328000,-53.5437836543293
12332000,-53.7548633362795
12336000,-54.2117173452246
12340000,-54.0005857445756
12344000,-54.3557711791486
12348000,-53.9361587362911
12352000,-54.2077451098913
12356000,-54.7731111959377
12360000,-55.0086588158548
12364000,-55.1307542533031
12368000,-54.2769046849882
12372000,-54.2577644371703
12376000,-55.4785137866742
12380000,-56.6570989745539
12384000,-56.847854095855
12388000,-55.7972793225482
12392000,-55.2411994491739
12396000,-54.2809213091374
12400000,-53.6481277830071
12404000,-54.5266952138172
12408000,-55.0367169844172
12412000,-55.3729942833319
12416000,-55.5098384703495
12420000,-55.2873445191795
12424000,-55.9059450966555
12428000,-56.2060764657332
12432000,-56.2709770593471
12436000,-56.1840360408609
12440000,-56.1451831527356
12444000,-56.5122591049492
12448000,-55.9836479556537
12452000,-56.2452814479588
12456000,-57.3262165565808
12460000,-57.9006016336196
12464000,-57.9653089651523
12468000,-57.0735106486009
12472000,-56.8376706454541
12476000,-56.9889835285181
12480000,-56.9373047012815
12484000,-57.3645633338632
12488000,-57.0156165101963
12492000,-57.0480573894771
12496000,-56.7293272668449
12500000,-56.5001858342927
12504000,-57.1483339328063
12508000,-57.5404206234295
12512000,-57.6855744395103
12516000,-57.5378730492622
12520000,-57.3768898531569
12524000,-57.9579130461673
12528000,-58.2647966729868
12532000,-58.5278952297655
12536000,-58.0813781397966
12540000,-57.7669883708327
12544000,-58.2155999052148
12548000,-58.3994113397117
12552000,-58.6412784082887
12556000,-58.2542305972431
12560000,-57.9160716685941
12564000,-58.1717938551197
12568000,-58.3100719733073
12572000,-58.5799285085665
12576000,-58.7069776532254
12580000,-58.7575479127307
12584000,-58.9286707780697
12588000,-58.4047994597458
12592000,-58.3454944191462
12596000,-58.6734343353021
12600000,-59.0314542171788
12604000,-59.7838169266729
12608000,-59.6962866515851
12612000,-59.6962441348466
12616000,-59.7275156136305
12620000,-59.724216043746
12624000,-59.6695369801088
12628000,-59.2644557083985
12632000,-59.3600223306191
12636000,-59.6678482027504
12640000,-59.7625081682122
12644000,-60.1708916248081
12648000,-60.0340736221071
12652000,-59.9732999994174
12656000,-59.9980756977228
12660000,-60.0065434601593
12664000,-60.1614934044655
12668000,-59.6971317532644
12672000,-59.6225407719432
12676000,-60.178154273292
12680000,-60.4372699930982
12684000,-60.3726808064638
12688000,-59.9537653152792
12692000,-59.8451095560653
12696000,-59.8294786983526
12700000,-60.0499892561834
12704000,-60.5320761487614
12708000,-60.4281097523612
12712000,-60.4234512614458
12716000,-60.6366862384214
12720000,-60.6194272422275
12724000,-60.7990063957171
12728000,-60.5003305536927
12732000,-60.5717851031592
12736000,-60.4213270609088
12740000,-60.1386358892975
12744000,-60.6655259764461
12748000,-61.0977868335761
12752000,-61.2842362895046
12756000,-61.3102128690444
12760000,-61.2885568475084
