Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.01
Start Frequency,10000000
Stop Frequency,14000000
Average Count,0
Average Type,LogPower(Video)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,10000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,30
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10000000,-66.4040117434006
10004000,-66.3670297539131
10008000,-66.3275941735673
10012000,-66.3388280196267
10016000,-66.3934896124589
10020000,-66.5145482438467
10024000,-66.5280127129443
10028000,-66.4135657389897
10032000,-66.2194860492292
10036000,-66.0929164116221
10040000,-66.0365951785335
10044000,-65.9766640224129
10048000,-65.9818176180676
10052000,-66.0105382871792
10056000,-65.9881782338295
10060000,-66.0716571124905
10064000,-66.1886617189353
10068000,-66.2339816240557
10072000,-66.224862316971
10076000,-66.1996172104435
10080000,-66.1944478472637
10084000,-66.182062386432
10088000,-66.1894509672149
10092000,-66.1458190059985
10096000,-66.1266202229153
10100000,-66.1104478984151
10104000,-66.1212609677999
10108000,-66.1672565542943
10112000,-66.1764739670565
10116000,-66.27863238976
10120000,-66.3273720828884
10124000,-66.1359899004204
10128000,-65.9662946788259
10132000,-65.9707860744704
10136000,-66.1107107164924
10140000,-66.1874896231853
10144000,-66.2740895792684
10148000,-66.3456322027299
10152000,-66.2612880603045
10156000,-66.1968456676895
10160000,-66.2492965387259
10164000,-66.2270422476451
10168000,-66.1571899936385
10172000,-66.1245227055305
10176000,-66.1302059099503
10180000,-66.0817157416509
10184000,-66.0121909475702
10188000,-65.7842719262995
10192000,-65.4761491935293
10196000,-65.2746381698101
10200000,-65.0469390230454
10204000,-64.8120041565941
10208000,-64.6258117696223
10212000,-64.4618783746403
10216000,-64.2448360168028
10220000,-63.8818221823729
10224000,-63.4782340119995
10228000,-63.1596081280425
10232000,-62.9133096097501
10236000,-62.5737822935218
10240000,-62.1422583027102
10244000,-61.7101785396403
10248000,-61.4587103165946
10252000,-61.526221578668
10256000,-61.955269037639
10260000,-62.6956498742664
10264000,-63.4929044498595
10268000,-64.1381319735851
10272000,-64.7213534743023
10276000,-65.1755168278466
10280000,-65.4254339030746
10284000,-65.5874443012445
10288000,-65.5940968643424
10292000,-65.5856855659915
10296000,-65.6672677271013
10300000,-65.7551224406765
10304000,-65.7854931611266
10308000,-65.8307875234402
10312000,-65.9062391581094
10316000,-66.0728428482914
10320000,-66.2925995759285
10324000,-66.3769069248989
10328000,-66.3508885241887
10332000,-66.2878860624292
10336000,-66.2023026116799
10340000,-66.173705512697
10344000,-66.2455602325812
10348000,-66.3732865775152
10352000,-66.4648695388909
10356000,-66.4725042488133
10360000,-66.3453502507998
10364000,-66.198207699862
10368000,-66.1497234080495
10372000,-66.1229899724826
10376000,-66.175909282045
10380000,-66.2251249989308
10384000,-66.3059654341546
10388000,-66.3767861530735
10392000,-66.5165836182645
10396000,-66.7326667865282
10400000,-66.7869123092076
10404000,-66.652283961086
10408000,-66.5118497052885
10412000,-66.4856084840442
10416000,-66.4873881218557
10420000,-66.3926992337525
10424000,-66.3332707349638
10428000,-66.3840362327869
10432000,-66.4392855044803
10436000,-66.5009550572735
10440000,-66.5244007505941
10444000,-66.4007087710919
10448000,-66.287593774789
10452000,-66.2208512869328
10456000,-66.1702536387209
10460000,-66.1781877807203
10464000,-66.1753322258742
10468000,-66.2356056848042
10472000,-66.286679141076
10476000,-66.2521712423479
10480000,-66.1543416132353
10484000,-65.99661775213
10488000,-65.792805191674
10492000,-65.7070810951822
10496000,-65.7564155823125
10500000,-65.8310176208224
10504000,-65.9087121312699
10508000,-65.9892385412287
10512000,-66.096498110203
10516000,-66.1442993847667
10520000,-66.0899905051734
10524000,-66.0549322103354
10528000,-66.0427712568863
10532000,-65.996207078854
10536000,-65.9695795089837
10540000,-65.9905315757836
10544000,-66.100354918272
10548000,-66.2107856579521
10552000,-66.406701085762
10556000,-66.5684605047158
10560000,-66.5256632445935
10564000,-66.3445380032714
10568000,-66.1825840509621
10572000,-66.1003082336216
10576000,-66.1188213065931
10580000,-66.0314014319524
10584000,-65.934358770706
10588000,-66.0957605472546
10592000,-66.2130608133781
10596000,-66.3125090486607
10600000,-66.3621580199073
10604000,-66.3940521163743
10608000,-66.5598698028151
10612000,-66.852706030949
10616000,-67.0091362101053
10620000,-66.9057582190274
10624000,-66.7494268474002
10628000,-66.6738838728623
10632000,-66.6278220120679
10636000,-66.4771167189575
10640000,-66.3691615025122
10644000,-66.3092825338918
10648000,-66.3746609525454
10652000,-66.4483937780549
10656000,-66.3823175843903
10660000,-66.2542115280805
10664000,-66.1845155832064
10668000,-66.2474511062953
10672000,-66.4140201676049
10676000,-66.5064488535515
10680000,-66.5676490685271
10684000,-66.65602454059
10688000,-66.7049889269975
10692000,-66.671581844111
10696000,-66.6163097413192
10700000,-66.6921833821837
10704000,-66.8207838022025
10708000,-66.810899879456
10712000,-66.7107138906213
10716000,-66.5635901766948
10720000,-66.4821310170933
10724000,-66.4548939145324
10728000,-66.3663478817958
10732000,-66.2263150569337
10736000,-66.0799340205053
10740000,-66.018835747017
10744000,-65.9918641420122
10748000,-65.9392378705753
10752000,-65.902179085413
10756000,-65.9116357912685
10760000,-65.9806569309165
10764000,-66.1597880124119
10768000,-66.3654223043125
