Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.01
Start Frequency,10000000
Stop Frequency,14000000
Average Count,0
Average Type,LogPower(Video)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,10000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,30
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10000000,-69.805808613055
10004000,-69.8780170243686
10008000,-69.994056704065
10012000,-70.0953431008049
10016000,-70.0628418871459
10020000,-69.9452274949438
10024000,-69.8935052213396
10028000,-69.9457678060298
10032000,-70.0140822515446
10036000,-70.0118997360322
10040000,-69.930064442546
10044000,-69.8960232701329
10048000,-69.8681560083859
10052000,-69.7745336745136
10056000,-69.6774004404004
10060000,-69.5726399605775
10064000,-69.4881155060844
10068000,-69.4734178783943
10072000,-69.5118440511053
10076000,-69.5106102537201
10080000,-69.4797464902342
10084000,-69.4707213388343
10088000,-69.5469949095634
10092000,-69.6652221533207
10096000,-69.717365327378
10100000,-69.7313240792947
10104000,-69.6748687740898
10108000,-69.5978578261524
10112000,-69.6144862646288
10116000,-69.6669765556998
10120000,-69.7002649527113
10124000,-69.7735472553064
10128000,-69.8572430418813
10132000,-69.8472509624187
10136000,-69.8236082564795
10140000,-69.8031768702918
10144000,-69.7387738126749
10148000,-69.7061019368506
10152000,-69.7227407749594
10156000,-69.6591698509895
10160000,-69.504219056805
10164000,-69.3196409703238
10168000,-69.1703571139172
10172000,-69.0376075753011
10176000,-68.9708195061074
10180000,-69.014639919593
10184000,-69.0609390648159
10188000,-68.989263704652
10192000,-68.8875618567057
10196000,-68.8204665268498
10200000,-68.8396584691851
10204000,-68.853101155886
10208000,-68.8452369886665
10212000,-68.9415852067337
10216000,-69.1149078308782
10220000,-69.1999846675658
10224000,-69.199601790415
10228000,-69.0799021071295
10232000,-68.6172385222206
10236000,-67.8193904828307
10240000,-66.9128585420742
10244000,-66.116597324469
10248000,-65.7063361270885
10252000,-65.6473245270109
10256000,-65.7967230766242
10260000,-66.0454863508102
10264000,-66.3337741579833
10268000,-66.614270902622
10272000,-66.9839121763117
10276000,-67.5050490913407
10280000,-68.0612801758622
10284000,-68.5145274744034
10288000,-68.9143779594907
10292000,-69.22834326728
10296000,-69.3984246913112
10300000,-69.4876820555796
10304000,-69.6361908977049
10308000,-69.73141970815
10312000,-69.8008262892196
10316000,-69.9137571343442
10320000,-70.008120390343
10324000,-70.0653101355573
10328000,-69.9659978869146
10332000,-69.8948833206933
10336000,-69.9441947514116
10340000,-69.9146026013223
10344000,-69.7798552469808
10348000,-69.6255673596697
10352000,-69.468783865555
10356000,-69.3036892217945
10360000,-69.0850463005912
10364000,-68.9837475112498
10368000,-69.033756565322
10372000,-69.2949010151609
10376000,-69.5432993423181
10380000,-69.6443505607306
10384000,-69.6121029221179
10388000,-69.6085765923622
10392000,-69.4846883891461
10396000,-69.3050178462039
10400000,-69.2114646799039
10404000,-69.2844351357801
10408000,-69.5155453486832
10412000,-69.7691284581124
10416000,-69.7820740820436
10420000,-69.6861254629257
10424000,-69.6427135832944
10428000,-69.7145227787956
10432000,-69.7237563672971
10436000,-69.6837179058012
10440000,-69.4942150920978
10444000,-69.306944648742
10448000,-69.2220248351472
10452000,-69.2335370421252
10456000,-69.2237904035062
10460000,-69.1318714106676
10464000,-69.0463468711983
10468000,-68.9816204711675
10472000,-68.9294180129485
10476000,-68.9273450541217
10480000,-69.0186838494114
10484000,-69.1894832200498
10488000,-69.3476107838751
10492000,-69.5281632128991
10496000,-69.6991270313939
10500000,-69.842679662757
10504000,-69.8982722077311
10508000,-69.8145726587707
10512000,-69.6481395068254
10516000,-69.4627184868291
10520000,-69.3274932624256
10524000,-69.2752796080688
10528000,-69.2881012465612
10532000,-69.4732487041019
10536000,-69.6356534221119
10540000,-69.6304703949811
10544000,-69.5638105787188
10548000,-69.480689124966
10552000,-69.4689760684399
10556000,-69.5048895921079
10560000,-69.6453951828668
10564000,-69.8132468563899
10568000,-70.0430849418777
10572000,-70.1412685967798
10576000,-70.1178737433775
10580000,-70.0557310488935
10584000,-69.9785000970294
10588000,-69.8960445984163
10592000,-69.777753973482
10596000,-69.6702678748299
10600000,-69.7176027224968
10604000,-69.7673916770528
10608000,-69.7208057783602
10612000,-69.6167878944962
10616000,-69.476620118613
10620000,-69.3632594993
10624000,-69.3025366529116
10628000,-69.3234128613853
10632000,-69.3095123940585
10636000,-69.2117057547006
10640000,-69.1433445665806
10644000,-69.2272271234372
10648000,-69.3483056977884
10652000,-69.4773567222928
10656000,-69.5735444015822
10660000,-69.5568867890231
10664000,-69.5639839373289
10668000,-69.5340641685412
10672000,-69.3198017728745
10676000,-69.1797416576418
10680000,-69.2301127409698
10684000,-69.3952638991454
10688000,-69.5170972120287
10692000,-69.5073378874156
10696000,-69.513173677226
10700000,-69.4673827717117
10704000,-69.3771265209747
10708000,-69.379966222072
10712000,-69.4080729258371
10716000,-69.3573968449346
10720000,-69.2055547890053
10724000,-69.0534480389117
10728000,-69.0528005458755
10732000,-69.1005272776666
10736000,-69.2115862726997
10740000,-69.4167636883123
10744000,-69.6402110780307
10748000,-69.7473029454851
10752000,-69.6740270738164
10756000,-69.4400369190584
10760000,-69.2160151683562
10764000,-69.0591433748914
10768000,-69.0503837209823
