Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.02
Start Frequency,10029283
Stop Frequency,14029283
Average Count,0
Average Type,LogPower(Video)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,10000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,30
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10029283,-66.0410833864855
10033283,-66.0389696645645
10037283,-65.9392825856693
10041283,-65.7541780478567
10045283,-65.8777512217329
10049283,-65.7832980949814
10053283,-65.8643513138899
10057283,-65.6698984888051
10061283,-65.3260179771396
10065283,-65.4661842600986
10069283,-65.694516124025
10073283,-65.6068414666424
10077283,-65.5946730241905
10081283,-65.5131591278222
10085283,-65.726767115685
10089283,-65.9135773106449
10093283,-65.9797821544323
10097283,-66.0548034018445
10101283,-65.9155093693049
10105283,-65.8809624188063
10109283,-65.8114368533135
10113283,-65.6683897481914
10117283,-65.9785350051734
10121283,-66.3395173630034
10125283,-66.6625279492857
10129283,-66.5289081896728
10133283,-65.9981426687742
10137283,-66.0373334539263
10141283,-66.0134243704084
10145283,-65.6785583538183
10149283,-65.3193130055701
10153283,-65.0927602276824
10157283,-65.2448091651847
10161283,-65.3400952700389
10165283,-65.4590966538378
10169283,-65.4181703119477
10173283,-65.6580831952505
10177283,-65.9532953815476
10181283,-65.8543051232268
10185283,-65.8402440430899
10189283,-65.7395615173693
10193283,-65.6663102653732
10197283,-65.6568498959785
10201283,-65.5087110306873
10205283,-65.1971283291074
10209283,-64.9796220932623
10213283,-65.1790648471913
10217283,-65.5409579115552
10221283,-65.6313756068721
10225283,-65.0120636838725
10229283,-64.4022296252196
10233283,-64.3173553669026
10237283,-64.8641923423706
10241283,-64.6661466014319
10245283,-63.8471119005503
10249283,-63.4732875981829
10253283,-64.0452226548936
10257283,-65.016365568297
10261283,-65.5964960888689
10265283,-65.3536257358796
10269283,-64.8015892157562
10273283,-64.3718592760199
10277283,-64.3195103426109
10281283,-64.3093481385211
10285283,-64.312372564412
10289283,-64.6061518102507
10293283,-64.9579469961952
10297283,-64.9625276384963
10301283,-65.0645114851133
10305283,-65.0558887715868
10309283,-65.1801993441516
10313283,-65.5044930211824
10317283,-65.7776026552801
10321283,-65.7720377635443
10325283,-65.7285254652992
10329283,-65.4641295372267
10333283,-65.361857862205
10337283,-65.4497947934374
10341283,-65.871696046228
10345283,-65.7496749737893
10349283,-65.7665837797873
10353283,-65.7158776747995
10357283,-65.4624466749574
10361283,-65.2461875413476
10365283,-65.2706931492967
10369283,-65.4907406170664
10373283,-65.2956021727404
10377283,-65.2301559230434
10381283,-65.2308042982508
10385283,-65.2753012957233
10389283,-65.1359053248242
10393283,-65.0530354695847
10397283,-65.3787714875865
10401283,-65.7001794110218
10405283,-66.3437146900111
10409283,-66.0294295338654
10413283,-65.2487100993438
10417283,-64.910762469596
10421283,-64.9805170834749
10425283,-64.9693949446303
10429283,-64.52979933759
10433283,-64.5872929524597
10437283,-64.9364988123014
10441283,-65.2049888062677
10445283,-65.4557415309795
10449283,-65.4145203104842
10453283,-65.3383680197279
10457283,-65.3515444100121
10461283,-65.5348876494946
10465283,-65.6541489249649
10469283,-65.5919773405925
10473283,-65.4672036634537
10477283,-65.2539619031944
10481283,-65.1748657545749
10485283,-65.3689217387974
10489283,-65.4674578494322
10493283,-65.2166784631309
10497283,-65.1614268037921
10501283,-65.3178447717506
10505283,-65.3235170755941
10509283,-65.2540710763751
10513283,-65.108600266836
10517283,-65.1388475316867
10521283,-65.2492895049109
10525283,-65.1872539218565
10529283,-64.9463896544409
10533283,-64.9977358136688
10537283,-65.2631027612683
10541283,-65.4388814371284
10545283,-65.4148404079281
10549283,-65.3422593896329
10553283,-65.269931603657
10557283,-65.0355361620156
10561283,-65.1321842415273
10565283,-65.4941871053624
10569283,-65.6042903872047
10573283,-65.3612856011492
10577283,-65.0961306548557
10581283,-65.1781448081952
10585283,-64.88033652302
10589283,-64.6980305797214
10593283,-64.8439172129053
10597283,-64.646670373655
10601283,-64.65202810328
10605283,-64.8276496354945
10609283,-64.8086879761666
10613283,-64.6410783435751
10617283,-64.8239371938688
10621283,-65.1572546852113
10625283,-65.4106302602882
10629283,-65.5072822042189
10633283,-65.275069139013
10637283,-64.8281730754885
10641283,-64.794503984904
10645283,-65.2834562276835
10649283,-65.5742373146632
10653283,-65.3893789343867
10657283,-64.8015140652378
10661283,-64.5204093640366
10665283,-64.2848268948238
10669283,-64.2942090430611
10673283,-64.4804505057366
10677283,-64.5154262703331
10681283,-64.4070623229714
10685283,-64.6762069939254
10689283,-64.7811760747368
10693283,-65.2152238713758
10697283,-65.3951422155003
10701283,-65.4134888167637
10705283,-65.3081656223653
10709283,-65.1601361677396
10713283,-64.8243717797076
10717283,-64.5459784559509
10721283,-64.3129143110822
10725283,-64.6119449894459
10729283,-64.8206171633043
10733283,-64.7630301096814
10737283,-64.4319204763935
10741283,-64.4848127700742
10745283,-64.9585580086614
10749283,-65.2375755315478
10753283,-65.3262455234516
10757283,-65.2307100976487
10761283,-65.0233842488102
10765283,-65.0514598723745
10769283,-64.9753438279812
10773283,-64.9441713122894
10777283,-64.8085394147178
10781283,-64.8003057228487
10785283,-64.9030699954618
10789283,-64.7689359644755
10793283,-64.3769856327625
