Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.02
Start Frequency,10029283
Stop Frequency,14029283
Average Count,0
Average Type,LogPower(Video)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,10000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,30
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10029283,-67.5830658340719
10033283,-67.4354967052466
10037283,-67.3449296769623
10041283,-67.150901435138
10045283,-67.1780050376222
10049283,-67.2722979172221
10053283,-67.5054503755735
10057283,-67.820154079486
10061283,-68.0357665552334
10065283,-68.0401978437292
10069283,-67.7295737641206
10073283,-67.7016310794574
10077283,-67.848283207469
10081283,-67.7523983005909
10085283,-67.6076185937516
10089283,-67.3111869556553
10093283,-67.4644305097931
10097283,-67.5622880573088
10101283,-67.4819901531312
10105283,-67.2553243508401
10109283,-67.026919455459
10113283,-66.8421941699238
10117283,-66.7326981211215
10121283,-67.0326742824533
10125283,-67.1235865309514
10129283,-67.1621377850787
10133283,-67.4383327528375
10137283,-67.3316214253341
10141283,-67.1600396661379
10145283,-67.3919245877212
10149283,-67.4497133029673
10153283,-67.2690555242086
10157283,-66.980431548169
10161283,-67.0297124757204
10165283,-67.1365521379717
10169283,-67.3461699486793
10173283,-67.603336088483
10177283,-67.9152327403215
10181283,-68.0224696479625
10185283,-67.5840258506883
10189283,-66.8196987707517
10193283,-66.4119133937305
10197283,-66.3957985384832
10201283,-66.3999868281728
10205283,-66.8716065865025
10209283,-67.1459439613498
10213283,-67.1548571680587
10217283,-66.9417289373513
10221283,-66.5258796823623
10225283,-65.7599171270027
10229283,-65.1520849842573
10233283,-65.4277068792839
10237283,-66.0449654997388
10241283,-66.3603271655724
10245283,-66.2700272764274
10249283,-66.3134356736907
10253283,-66.2121905005702
10257283,-66.4228327637434
10261283,-66.8573255061001
10265283,-67.2710856029892
10269283,-67.2391999698059
10273283,-67.0878326354461
10277283,-66.932938190413
10281283,-66.6962567599096
10285283,-66.5387080026
10289283,-66.9570225763414
10293283,-67.1586637735673
10297283,-67.2012038159402
10301283,-67.3142301588379
10305283,-67.2847147077624
10309283,-67.4159044170015
10313283,-67.5948914103464
10317283,-67.6856675222415
10321283,-67.7376508618651
10325283,-67.7637765505046
10329283,-67.6390284081549
10333283,-67.4409737497923
10337283,-67.1958000285984
10341283,-67.0967165248995
10345283,-67.1109032994693
10349283,-67.3329606294029
10353283,-67.5267287203594
10357283,-67.5123790559249
10361283,-67.1286290774959
10365283,-66.9892563090144
10369283,-67.1469310645086
10373283,-67.2409413278731
10377283,-67.5159221550096
10381283,-67.6660693845726
10385283,-67.3614768568725
10389283,-67.2061964162148
10393283,-67.2875046043947
10397283,-67.9416979013494
10401283,-68.2204416771213
10405283,-67.8321745705235
10409283,-67.430992579969
10413283,-67.2213707784617
10417283,-67.2020853657785
10421283,-67.2472410595178
10425283,-67.1807863691116
10429283,-67.1293634337546
10433283,-66.98294611938
10437283,-67.2325327532512
10441283,-67.2868312784109
10445283,-67.3646968443539
10449283,-67.1517267738891
10453283,-66.8244170056654
10457283,-66.9421873415445
10461283,-66.8358805190139
10465283,-66.6457650988961
10469283,-66.322941004776
10473283,-66.4373360541241
10477283,-66.5730541391142
10481283,-66.5225624239298
10485283,-66.6094245093747
10489283,-66.8139537372785
10493283,-66.7868022547918
10497283,-66.7260683925683
10501283,-66.8003298841994
10505283,-67.1613039782036
10509283,-67.6016738318296
10513283,-67.5445920070102
10517283,-67.4564084544157
10521283,-67.4593564136444
10525283,-67.5313557181588
10529283,-67.945368678172
10533283,-67.8632524378742
10537283,-67.6580051796966
10541283,-67.2820591833724
10545283,-67.1626811103102
10549283,-67.4276576898278
10553283,-67.3648204437426
10557283,-67.0378695639581
10561283,-66.9864258618503
10565283,-67.1887860239101
10569283,-67.0456512225551
10573283,-66.9538471686871
10577283,-67.0311432104833
10581283,-67.0075925971064
10585283,-67.0499337155146
10589283,-67.2122409707587
10593283,-67.0314190566508
10597283,-66.9290585390653
10601283,-66.8056475390451
10605283,-67.0482144597668
10609283,-67.2037097019759
10613283,-67.0993969247017
10617283,-67.0467046766907
10621283,-66.8800521215056
10625283,-67.0113045723274
10629283,-67.1503403939341
10633283,-67.3259255421525
10637283,-67.7489999848628
10641283,-67.8420071026616
10645283,-67.5527777982335
10649283,-67.3531469942887
10653283,-67.1890634695338
10657283,-67.3765156929499
10661283,-67.4601653580011
10665283,-67.6763381088473
10669283,-67.789377915087
10673283,-67.8020627782394
10677283,-67.7786665216648
10681283,-67.4601109493694
10685283,-67.3117036445055
10689283,-67.2463922224875
10693283,-67.0494496818428
10697283,-66.9009279658999
10701283,-67.1242010063624
10705283,-67.5087641469547
10709283,-67.6728952280715
10713283,-67.7023916583454
10717283,-67.8383763337223
10721283,-68.0324697544071
10725283,-67.993391702693
10729283,-67.7609403734661
10733283,-67.4042628551087
10737283,-67.252650351045
10741283,-67.7340926118937
10745283,-67.6281307329945
10749283,-67.4423629478127
10753283,-67.264730598298
10757283,-67.5210591873759
10761283,-67.3640137038919
10765283,-67.3288227685788
10769283,-67.275623031399
10773283,-67.3567743713073
10777283,-67.3921485257754
10781283,-67.5715018527306
10785283,-67.565017739309
10789283,-67.6097186361181
10793283,-67.3655990736495
