Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.01
Start Frequency,10000000
Stop Frequency,14000000
Average Count,0
Average Type,LogPower(Video)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,10000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,30
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10000000,-66.0068056681409
10004000,-65.9831561076021
10008000,-66.0545021036991
10012000,-66.1699749781841
10016000,-66.2270689238808
10020000,-66.2369826983018
10024000,-66.3356015189885
10028000,-66.4040309206235
10032000,-66.3744967889817
10036000,-66.3310872668512
10040000,-66.2840048273633
10044000,-66.2283369362487
10048000,-66.1605844638695
10052000,-66.2278563313365
10056000,-66.3357088979005
10060000,-66.3753491986499
10064000,-66.3922820285419
10068000,-66.3243834015857
10072000,-66.2298810726845
10076000,-66.2361599344394
10080000,-66.2880156930183
10084000,-66.343428180226
10088000,-66.4062130621958
10092000,-66.4994173506527
10096000,-66.6544938736493
10100000,-66.7920984818967
10104000,-66.8003378427096
10108000,-66.7175000691341
10112000,-66.5801578817596
10116000,-66.5426907525165
10120000,-66.4641151991068
10124000,-66.3136091600748
10128000,-66.1701685877602
10132000,-66.1730925689002
10136000,-66.2324105435922
10140000,-66.2578678553057
10144000,-66.2995511205468
10148000,-66.2483512455886
10152000,-66.1007020883067
10156000,-65.9564103866616
10160000,-65.8858779561053
10164000,-65.9083636885126
10168000,-66.0134094607332
10172000,-66.1968408119766
10176000,-66.3645148346898
10180000,-66.3852329502237
10184000,-66.2254005051243
10188000,-66.0414969213618
10192000,-65.8638119302319
10196000,-65.7050733882603
10200000,-65.6074661623219
10204000,-65.5371985650445
10208000,-65.4252743080428
10212000,-65.28800041661
10216000,-65.0492084632876
10220000,-64.7077897322962
10224000,-64.3256179584537
10228000,-64.1705138718964
10232000,-64.2198009192136
10236000,-64.3404407286599
10240000,-64.4779368214169
10244000,-64.5867662141112
10248000,-64.7065650486694
10252000,-64.7649490635315
10256000,-64.8458338456935
10260000,-64.9993707470311
10264000,-65.1808030987966
10268000,-65.3686831075849
10272000,-65.5432426956935
10276000,-65.7776014034266
10280000,-65.8770732884544
10284000,-65.8443595675916
10288000,-65.7765995257263
10292000,-65.8114868520554
10296000,-65.9915210199719
10300000,-66.2533148936782
10304000,-66.4732283723283
10308000,-66.5577058508866
10312000,-66.597987444563
10316000,-66.6352016713687
10320000,-66.607272232043
10324000,-66.5253642535178
10328000,-66.3555325286017
10332000,-66.2615596010459
10336000,-66.2127628254299
10340000,-66.2090679905272
10344000,-66.2997442316809
10348000,-66.4471105075849
10352000,-66.6201386495344
10356000,-66.623977703439
10360000,-66.6105816585206
10364000,-66.6445024128991
10368000,-66.6411750736004
10372000,-66.5846505763053
10376000,-66.4831167996352
10380000,-66.4631937894141
10384000,-66.449993504149
10388000,-66.4529830972334
10392000,-66.3282537019777
10396000,-66.1907772768616
10400000,-66.0882644571339
10404000,-66.1024504164812
10408000,-66.1877337655447
10412000,-66.3071425208052
10416000,-66.5664613261874
10420000,-66.8005900415679
10424000,-66.6198032009491
10428000,-66.3761439315574
10432000,-66.2295995500746
10436000,-66.1984929256671
10440000,-66.1539277111901
10444000,-66.121303078084
10448000,-66.102000638403
10452000,-66.0846953329017
10456000,-66.1270139442203
10460000,-66.2001610846853
10464000,-66.3469794286763
10468000,-66.4439912700058
10472000,-66.4898030012945
10476000,-66.468475230981
10480000,-66.3902436001836
10484000,-66.2720792995488
10488000,-66.1709601732946
10492000,-66.0483812478596
10496000,-65.9878537610197
10500000,-65.9394027482764
10504000,-65.9991444233548
10508000,-66.1737915292728
10512000,-66.3780645361118
10516000,-66.4798902902469
10520000,-66.4467355054867
10524000,-66.363473598896
10528000,-66.265767776099
10532000,-66.1197658885787
10536000,-65.9740712298676
10540000,-65.9242328078333
10544000,-66.0252641499103
10548000,-66.2410699323057
10552000,-66.5511102412502
10556000,-66.632908926993
10560000,-66.5170536879545
10564000,-66.4783157006131
10568000,-66.4941046833457
10572000,-66.5690472691795
10576000,-66.58436173168
10580000,-66.5977840112595
10584000,-66.5955001521942
10588000,-66.5041175207124
10592000,-66.5432675088102
10596000,-66.4396087393349
10600000,-66.2149737509953
10604000,-65.9981289716343
10608000,-65.9176187768312
10612000,-66.0513339659713
10616000,-66.1914598406273
10620000,-66.2955969928177
10624000,-66.3568011155988
10628000,-66.3662902590802
10632000,-66.310685774694
10636000,-66.229647561253
10640000,-66.1560313676784
10644000,-66.1458783199478
10648000,-66.151659901054
10652000,-65.9982934299785
10656000,-65.7087997376882
10660000,-65.5242331720615
10664000,-65.6000845091854
10668000,-65.705121255567
10672000,-65.7712524038913
10676000,-65.9083207259176
10680000,-66.1151326367436
10684000,-66.3624302190495
10688000,-66.4300007226479
10692000,-66.4027829868427
10696000,-66.3344871282261
10700000,-66.2700069327977
10704000,-66.3216242477468
10708000,-66.4017453213222
10712000,-66.4381375911396
10716000,-66.5069004197113
10720000,-66.6117247329403
10724000,-66.7095977450902
10728000,-66.7179582529544
10732000,-66.6416489692951
10736000,-66.5473775698937
10740000,-66.3921372963526
10744000,-66.3748393836111
10748000,-66.3954128602332
10752000,-66.4102984719253
10756000,-66.4140844456114
10760000,-66.4405440080893
10764000,-66.5123131977702
