Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.01
Start Frequency,10000000
Stop Frequency,14000000
Average Count,0
Average Type,LogPower(Video)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,10000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,30
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10000000,-67.8605341943857
10004000,-67.6618028693446
10008000,-67.4246881824736
10012000,-67.213752864448
10016000,-67.1230775708731
10020000,-67.307486543847
10024000,-67.6127512792821
10028000,-67.7769028853309
10032000,-67.7600558140016
10036000,-67.6155415572536
10040000,-67.550134638565
10044000,-67.5346343522611
10048000,-67.4820184021969
10052000,-67.4074852959032
10056000,-67.3278698687813
10060000,-67.3559460004315
10064000,-67.4455357397869
10068000,-67.3678134487697
10072000,-67.3185230215419
10076000,-67.3092551603375
10080000,-67.3936689090543
10084000,-67.5402696913136
10088000,-67.7283188544
10092000,-67.9418211861623
10096000,-67.9927905708199
10100000,-67.9194337714576
10104000,-67.774046653845
10108000,-67.5340364008138
10112000,-67.3888622056945
10116000,-67.5073155467897
10120000,-67.6430518164526
10124000,-67.7437763807267
10128000,-67.6826008322941
10132000,-67.5008410882223
10136000,-67.3284089139124
10140000,-67.2603023620859
10144000,-67.2936845019891
10148000,-67.2603222949858
10152000,-67.3095884526863
10156000,-67.3998015038207
10160000,-67.5092017152503
10164000,-67.680620376821
10168000,-67.8836449941559
10172000,-67.902123502494
10176000,-67.7612479998168
10180000,-67.6971788002822
10184000,-67.656305791208
10188000,-67.5824542244943
10192000,-67.3879581187014
10196000,-67.2679292164722
10200000,-67.1596895513494
10204000,-66.8812644767904
10208000,-66.5767341069363
10212000,-66.3373952847528
10216000,-66.2392150180193
10220000,-66.3153656758931
10224000,-66.4599264454268
10228000,-66.4747070209432
10232000,-66.362190230623
10236000,-66.1070497041199
10240000,-65.712379700132
10244000,-65.3334337732952
10248000,-65.0568203702942
10252000,-64.9854249466408
10256000,-65.0757589053536
10260000,-65.1848654854135
10264000,-65.295331153035
10268000,-65.4631639629621
10272000,-65.7101268098188
10276000,-66.1191502468043
10280000,-66.4657250925052
10284000,-66.7717047380998
10288000,-66.9813193137025
10292000,-67.2900564801855
10296000,-67.508994896875
10300000,-67.7080343253928
10304000,-67.8762231515452
10308000,-67.85054758455
10312000,-67.6781667056685
10316000,-67.5268633754972
10320000,-67.4404680564875
10324000,-67.4616902469242
10328000,-67.5510429505257
10332000,-67.7767151512673
10336000,-67.9363189779795
10340000,-68.0698269880999
10344000,-68.0816212809137
10348000,-67.9428240960739
10352000,-67.7617661579872
10356000,-67.5509029361031
10360000,-67.4127255015815
10364000,-67.3601496829312
10368000,-67.3844949708404
10372000,-67.4271389607007
10376000,-67.5124545448427
10380000,-67.5951324618339
10384000,-67.5827923963655
10388000,-67.5625948664047
10392000,-67.6065283147091
10396000,-67.6278960911404
10400000,-67.4994347293348
10404000,-67.3445514685624
10408000,-67.1121902325523
10412000,-66.8701234226284
10416000,-66.6571900713989
10420000,-66.5155750604364
10424000,-66.4504968458697
10428000,-66.3719885246949
10432000,-66.4358391242947
10436000,-66.5952041851534
10440000,-66.6242976263706
10444000,-66.6456181479394
10448000,-66.7387567212189
10452000,-66.930471226593
10456000,-67.0813155231499
10460000,-67.1350601743825
10464000,-67.0689546136672
10468000,-66.9105659302238
10472000,-66.9328313891057
10476000,-67.148058463135
10480000,-67.3380676157979
10484000,-67.4283582906372
10488000,-67.4481604589624
10492000,-67.458843474916
10496000,-67.2957825684273
10500000,-67.1657717325734
10504000,-67.1609856172614
10508000,-67.2140245731607
10512000,-67.2241474236509
10516000,-67.1455565476506
10520000,-67.0179782189669
10524000,-66.9301334893405
10528000,-66.8810003585992
10532000,-66.8780737298105
10536000,-66.9783963947447
10540000,-67.2164789834434
10544000,-67.4363308246072
10548000,-67.4831078995007
10552000,-67.3703506442374
10556000,-67.2557750575888
10560000,-67.2306437087342
10564000,-67.2384066584642
10568000,-67.1274884513824
10572000,-66.9900981401981
10576000,-67.0174814477342
10580000,-67.1642624181693
10584000,-67.2111817490238
10588000,-67.176201124847
10592000,-67.203636693298
10596000,-67.3198361418319
10600000,-67.5679361401994
10604000,-67.7367017848378
10608000,-67.6258977911933
10612000,-67.4526262094848
10616000,-67.3321122174947
10620000,-67.3731268031712
10624000,-67.3972471347545
10628000,-67.2360889573608
10632000,-67.0781839493235
10636000,-66.9897343699533
10640000,-66.9511484245791
10644000,-67.007200728168
10648000,-66.9749053737681
10652000,-66.925738338545
10656000,-66.9787297614357
10660000,-66.9807680926757
10664000,-67.0032123046316
10668000,-67.1187741158056
10672000,-67.0566325690367
10676000,-66.9384344246151
10680000,-66.9877109466099
10684000,-67.0963026190895
10688000,-67.1720140222618
10692000,-67.2695888088985
10696000,-67.3095572650653
10700000,-67.2753984150214
10704000,-67.2162174927311
10708000,-67.2803046067643
10712000,-67.3102323161102
10716000,-67.2331042963949
10720000,-67.0772957783202
10724000,-66.8245436664947
10728000,-66.5871533813175
10732000,-66.5380195209099
10736000,-66.660754497155
10740000,-66.9231974816634
10744000,-67.1409288890574
10748000,-67.1781463615059
10752000,-67.1849083241385
10756000,-67.237920197965
10760000,-67.3572933880938
10764000,-67.3922140862521
10768000,-67.3551531483091
