"freq
References : ['horn_gain_smooth','(horn_gain_120cm+horn_gain_240cm)*0.5']
Dependency : [freq]
Num. Points : [1201]
Matrix Size : scalar
Type : Real","horn_gain_smooth
References : []
Dependency : [freq]
Num. Points : [1201]
Matrix Size : scalar
Type : Real","(horn_gain_120cm+horn_gain_240cm)*0.5
References : []
Dependency : [freq]
Num. Points : [1201]
Matrix Size : scalar
Type : Real"
110.00,20.69661,20.69661
110.05,20.84351,20.85449
110.10,20.86939,21.09671
110.15,20.88298,21.16769
110.20,20.89365,20.94108
110.25,20.89893,20.74765
110.30,20.90081,20.87355
110.35,20.90167,20.89485
110.40,20.90184,20.87513
110.45,20.90185,20.8803
110.50,20.90202,20.95459
110.55,20.90218,21.04984
110.60,20.90217,21.01071
110.65,20.90217,20.96174
110.70,20.90211,20.94114
110.75,20.90181,20.96284
110.80,20.90134,20.93963
110.85,20.90072,20.88632
110.90,20.90004,20.86686
110.95,20.89922,20.85825
111.00,20.8983,20.83696
111.05,20.89725,20.83807
111.10,20.89606,20.85376
111.15,20.89479,20.87639
111.20,20.89342,20.87929
111.25,20.89196,20.87742
111.30,20.89042,20.88963
111.35,20.88881,20.89669
111.40,20.88716,20.88479
111.45,20.88548,20.86435
111.50,20.88381,20.86408
111.55,20.88216,20.87359
111.60,20.88054,20.88502
111.65,20.87894,20.90004
111.70,20.87739,20.893
111.75,20.87591,20.89171
111.80,20.87452,20.89919
111.85,20.87319,20.91492
111.90,20.87194,20.93211
111.95,20.87075,20.93798
112.00,20.86964,20.92811
112.05,20.86864,20.90886
112.10,20.86775,20.89815
112.15,20.86699,20.89318
112.20,20.86634,20.87746
112.25,20.86582,20.86838
112.30,20.86543,20.87748
112.35,20.86518,20.89439
112.40,20.86508,20.90522
112.45,20.86512,20.90389
112.50,20.86532,20.90334
112.55,20.86564,20.90555
112.60,20.8661,20.90669
112.65,20.86667,20.90187
112.70,20.86735,20.88976
112.75,20.86812,20.87129
112.80,20.86899,20.85073
112.85,20.86995,20.83573
112.90,20.87098,20.83182
112.95,20.87209,20.83682
113.00,20.87327,20.84355
113.05,20.87452,20.85123
113.10,20.87584,20.85162
113.15,20.87721,20.83816
113.20,20.87863,20.83127
113.25,20.88011,20.8307
113.30,20.88162,20.83086
113.35,20.88318,20.83631
113.40,20.88476,20.84581
113.45,20.88637,20.85291
113.50,20.888,20.85438
113.55,20.88964,20.84541
113.60,20.89129,20.82986
113.65,20.89296,20.80974
113.70,20.89463,20.797
113.75,20.89632,20.79865
113.80,20.89802,20.80412
113.85,20.89971,20.81074
113.90,20.90141,20.81877
113.95,20.90311,20.81854
114.00,20.90482,20.80821
114.05,20.90652,20.78846
114.10,20.90821,20.76932
114.15,20.90989,20.75944
114.20,20.91155,20.75509
114.25,20.9132,20.75741
