AG31,LA14_P,ADC_CLK
AH31,LA14_N,AWG_Trigger
M12,HA15_N,DAC_CLK_MAIN
AJ30,LA11_P,DATA_CLK_MAIN
V15,HA01_P_CC,EXT_CLK_REF
U15,HA01_N_CC,JUMPER
L15,HA20_N,RX_0_N
M15,HA20_P,RX_0_P
AJ36,LA13_N,RX_1_N
AJ35,LA13_P,RX_1_P
T11,HA08_N,RX_10_N
U11,HA08_P,RX_10_P
Y12,HA02_N,RX_11_N
AA12,HA02_P,RX_11_P
V12,HA03_N,RX_12_N
W12,HA03_P,RX_12_P
AK32,LA02_N,RX_13_N
AJ32,LA02_P,RX_13_P
N13,HA00_N,RX_14_N
N14,HA00_P,RX_14_P
Y13,HA04_N,RX_15_N
AA13,HA04_P,RX_15_P
R13,HA16_N,RX_2_N
T14,HA16_P,RX_2_P
AR35,LA10_N,RX_3_N
AP35,LA10_P,RX_3_P
AK33,LA09_N,RX_4_N
AJ33,LA09_P,RX_4_P
T15,HA12_N,RX_5_N
T16,HA12_P,RX_5_P
U12,HA13_N,RX_6_N
V13,HA13_P,RX_6_P
AR38,LA05_N,RX_7_N
AP38,LA05_P,RX_7_P
AL31,LA01_N,RX_8_N
AL30,LA01_P,RX_8_P
V14,HA09_N,RX_9_N
W14,HA09_P,RX_9_P
AT36,LA06_N,RX_DCO_N
AT35,LA06_P,RX_DCO_P
P14,HA05_N,RX_OR_N
R14,HA05_P,RX_OR_P
K34,LA33_N,TX_I_0
L34,LA33_P,TX_I_1
U33,LA26_N,TX_I_10
W34,LA25_N,TX_I_11
L36,LA28_N,TX_I_12
M36,LA28_P,TX_I_13
T34,LA24_P,TX_I_14
T35,LA24_N,TX_I_15
P37,LA31_P,TX_I_2
N37,LA31_N,TX_I_3
K33,LA32_N,TX_I_4
L33,LA32_P,TX_I_5
N38,LA30_P,TX_I_6
M38,LA30_N,TX_I_7
T36,LA29_N,TX_I_8
U35,LA29_P,TX_I_9
V34,LA27_N,TX_Q_0
V32,LA26_P,TX_Q_1
J12,HA22_N,TX_Q_10
M33,LA19_N,TX_Q_11
W32,LA23_N,TX_Q_12
J11,HA23_N,TX_Q_13
K12,HA22_P,TX_Q_14
K11,HA23_P,TX_Q_15
N35,LA22_N,TX_Q_2
V33,LA27_P,TX_Q_3
Y34,LA25_P,TX_Q_4
L35,LA21_N,TX_Q_5
N34,LA22_P,TX_Q_6
M35,LA21_P,TX_Q_7
Y32,LA23_P,TX_Q_8
N33,LA19_P,TX_Q_9
P34,LA17_N,VM_I_0
L13,HA19_N,VM_I_1
P11,HA17_N,VM_I_10
AG34,LA16_P,VM_I_11
N32,LA20_P,VM_I_12
AG33,LA15_N,VM_I_13
AH35,LA16_N,VM_I_14
R34,LA17_P,VM_I_15
L14,HA19_P,VM_I_2
AG32,LA15_P,VM_I_3
P31,LA18_N,VM_I_4
M32,LA20_N,VM_I_5
K14,HA21_P,VM_I_6
K13,HA21_N,VM_I_7
N15,HA18_N,VM_I_8
P15,HA18_P,VM_I_9
U13,HA06_P,VM_Q_0
AJ31,LA11_N,VM_Q_1
AT39,LA03_P,VM_Q_10
AR37,LA04_P,VM_Q_11
AP37,LA07_N,VM_Q_12
P12,HA11_N,VM_Q_13
AP36,LA07_P,VM_Q_14
R12,HA11_P,VM_Q_15
AH33,LA12_P,VM_Q_2
L11,HA14_N,VM_Q_3
R11,HA17_P,VM_Q_4
M11,HA14_P,VM_Q_5
V16,HA10_P,VM_Q_6
U16,HA10_N,VM_Q_7
AK29,LA08_P,VM_Q_8
AT37,LA04_N,VM_Q_9
