N34,LA22_P,DATA_CLK_MAIN
N35,LA22_N,DAC_CLK_MAIN
Y34,LA25_P,VM_I_10
W34,LA25_N,VM_I_9
U35,LA29_P,VM_I_14
T46,LA29_N,VM_I_13
P37,LA31_P,VM_I_2
N37,LA31_N,VM_I_1
L34,LA33_P,VM_I_6
K34,LA33_N,VM_I_5
   ,LA02_P,
   ,LA02_N,
   ,LA04_P,
   ,LA04_N,
   ,LA07_P,
   ,LA07_N,
   ,LA11_P,
   ,LA11_N,
   ,LA15_P,
   ,LA15_N,
   ,LA19_P,
   ,LA19_N,
   ,LA21_P,
L35,LA21_N,AWG_Trigger
T34,LA24_P,VM_I_11
T35,LA24_N,VM_I_8
M36,LA28_P,VM_I_15
L36,LA28_N,VM_I_12
N38,LA30_P,VM_I_3
M38,LA30_N,VM_I_0
L33,LA32_P,VM_I_7
K33,LA32_N,VM_I_4
