Freq(Hz),S12(DB)
1.1E+11,-13.411434
1.101E+11,-13.336688
1.102E+11,-13.349407
1.103E+11,-13.366784
1.104E+11,-13.365178
1.105E+11,-13.408373
1.106E+11,-13.373602
1.107E+11,-13.372841
1.108E+11,-13.335548
1.109E+11,-13.327038
1.11E+11,-13.252197
1.111E+11,-13.295597
1.112E+11,-13.261255
1.113E+11,-13.24264
1.114E+11,-13.298831
1.115E+11,-13.238263
1.116E+11,-13.235181
1.117E+11,-13.254416
1.118E+11,-13.229872
1.119E+11,-13.24418
1.12E+11,-13.210746
1.121E+11,-13.180777
1.122E+11,-13.171859
1.123E+11,-13.096506
1.124E+11,-13.040712
1.125E+11,-13.06784
1.126E+11,-13.039112
1.127E+11,-13.028745
1.128E+11,-13.046409
1.129E+11,-13.025273
1.13E+11,-13.050607
1.131E+11,-13.092865
1.132E+11,-13.004223
1.133E+11,-13.026628
1.134E+11,-13.044351
1.135E+11,-12.940088
1.136E+11,-13.019267
1.137E+11,-13.047465
1.138E+11,-13.060436
1.139E+11,-13.135249
1.14E+11,-13.123154
1.141E+11,-13.093944
1.142E+11,-13.140062
1.143E+11,-13.100448
1.144E+11,-13.031232
1.145E+11,-13.183628
1.146E+11,-13.287929
1.147E+11,-13.327952
1.148E+11,-13.289356
1.149E+11,-13.275675
1.15E+11,-13.28313
1.151E+11,-13.348802
1.152E+11,-13.302489
1.153E+11,-13.372917
1.154E+11,-13.414091
1.155E+11,-13.351134
1.156E+11,-13.383567
1.157E+11,-13.386496
1.158E+11,-13.307371
1.159E+11,-13.268331
1.16E+11,-13.232328
1.161E+11,-13.201452
1.162E+11,-13.152031
1.163E+11,-13.1217
1.164E+11,-13.092668
1.165E+11,-13.022957
1.166E+11,-13.004777
1.167E+11,-13.013759
1.168E+11,-12.935896
1.169E+11,-12.942512
1.17E+11,-12.893837
1.171E+11,-12.921175
1.172E+11,-12.904238
1.173E+11,-12.83138
1.174E+11,-12.758504
1.175E+11,-12.783034
1.176E+11,-12.739821
1.177E+11,-12.751678
1.178E+11,-12.805439
1.179E+11,-12.708652
1.18E+11,-12.721735
1.181E+11,-12.728215
1.182E+11,-12.715402
1.183E+11,-12.735961
1.184E+11,-12.737086
