freq,S12
1.1E+11,-25.618685
1.101E+11,-25.637749
1.102E+11,-25.621227
1.103E+11,-25.583138
1.104E+11,-25.604565
1.105E+11,-25.621264
1.106E+11,-25.559563
1.107E+11,-25.56164
1.108E+11,-25.545237
1.109E+11,-25.566086
1.11E+11,-25.52335
1.111E+11,-25.504848
1.112E+11,-25.480503
1.113E+11,-25.432302
1.114E+11,-25.504427
1.115E+11,-25.463711
1.116E+11,-25.470455
1.117E+11,-25.496614
1.118E+11,-25.489294
1.119E+11,-25.463694
1.12E+11,-25.49663
1.121E+11,-25.462578
1.122E+11,-25.418095
1.123E+11,-25.426918
1.124E+11,-25.371111
1.125E+11,-25.374641
1.126E+11,-25.405867
1.127E+11,-25.384485
1.128E+11,-25.391539
1.129E+11,-25.399761
1.13E+11,-25.396196
1.131E+11,-25.344547
1.132E+11,-25.315804
1.133E+11,-25.31147
1.134E+11,-25.306692
1.135E+11,-25.190203
1.136E+11,-25.356482
1.137E+11,-25.305965
1.138E+11,-25.280712
1.139E+11,-25.389957
1.14E+11,-25.372427
1.141E+11,-25.317974
1.142E+11,-25.435497
1.143E+11,-25.383984
1.144E+11,-25.339268
1.145E+11,-25.459345
1.146E+11,-25.385786
1.147E+11,-25.49893
1.148E+11,-25.456903
1.149E+11,-25.415075
1.15E+11,-25.441599
1.151E+11,-25.502697
1.152E+11,-25.474003
1.153E+11,-25.476871
1.154E+11,-25.540567
1.155E+11,-25.447029
1.156E+11,-25.547586
1.157E+11,-25.544823
1.158E+11,-25.50469
1.159E+11,-25.488033
1.16E+11,-25.501919
1.161E+11,-25.421303
1.162E+11,-25.414831
1.163E+11,-25.448963
1.164E+11,-25.336105
1.165E+11,-25.382078
1.166E+11,-25.381653
1.167E+11,-25.356792
1.168E+11,-25.338121
1.169E+11,-25.351728
1.17E+11,-25.232939
1.171E+11,-25.277727
1.172E+11,-25.254898
1.173E+11,-25.171734
1.174E+11,-25.14032
1.175E+11,-25.150961
1.176E+11,-25.126102
1.177E+11,-25.176159
1.178E+11,-25.200108
1.179E+11,-25.14904
1.18E+11,-25.102089
1.181E+11,-25.147202
1.182E+11,-25.140814
1.183E+11,-25.161022
1.184E+11,-25.235016
1.185E+11,-25.062128
1.186E+11,-25.086908
1.187E+11,-25.07358
1.188E+11,-25.047523
1.189E+11,-25.093693
1.19E+11,-25.084965
1.191E+11,-25.161728
1.192E+11,-25.158394
1.193E+11,-25.1444
1.194E+11,-25.156384
1.195E+11,-25.176075
1.196E+11,-25.130299
1.197E+11,-25.07205
1.198E+11,-25.137602
1.199E+11,-25.079027
1.2E+11,-25.041115
1.201E+11,-25.050097
1.202E+11,-25.062353
1.203E+11,-25.03833
1.204E+11,-24.96748
1.205E+11,-25.055647
1.206E+11,-25.001793
1.207E+11,-24.88525
1.208E+11,-25.002266
1.209E+11,-24.93395
1.21E+11,-24.979843
1.211E+11,-24.994614
1.212E+11,-24.885986
1.213E+11,-24.972927
1.214E+11,-24.943769
1.215E+11,-24.78298
1.216E+11,-24.913481
1.217E+11,-24.832747
1.218E+11,-24.760015
1.219E+11,-24.815607
1.22E+11,-24.751314
1.221E+11,-24.75672
1.222E+11,-24.681517
1.223E+11,-24.687588
1.224E+11,-24.816998
1.225E+11,-24.747223
1.226E+11,-24.7591
1.227E+11,-24.813139
1.228E+11,-24.762995
1.229E+11,-24.746309
1.23E+11,-24.779375
1.231E+11,-24.771357
1.232E+11,-24.712914
1.233E+11,-24.722435
1.234E+11,-24.769979
1.235E+11,-24.765457
1.236E+11,-24.732542
1.237E+11,-24.796713
1.238E+11,-24.758457
1.239E+11,-24.752871
1.24E+11,-24.766788
1.241E+11,-24.741619
1.242E+11,-24.683655
1.243E+11,-24.711416
1.244E+11,-24.719746
1.245E+11,-24.657406
1.246E+11,-24.736221
1.247E+11,-24.683334
1.248E+11,-24.683971
1.249E+11,-24.70693
1.25E+11,-24.656841
1.251E+11,-24.658524
1.252E+11,-24.655499
1.253E+11,-24.649532
1.254E+11,-24.583853
1.255E+11,-24.670898
1.256E+11,-24.644922
1.257E+11,-24.58074
1.258E+11,-24.64864
1.259E+11,-24.680897
1.26E+11,-24.607353
1.261E+11,-24.641714
1.262E+11,-24.643911
1.263E+11,-24.620916
1.264E+11,-24.603474
1.265E+11,-24.610514
1.266E+11,-24.637833
1.267E+11,-24.683434
1.268E+11,-24.649462
1.269E+11,-24.647577
1.27E+11,-24.726969
1.271E+11,-24.68297
1.272E+11,-24.69828
1.273E+11,-24.7551
1.274E+11,-24.74185
1.275E+11,-24.758596
1.276E+11,-24.762478
1.277E+11,-24.775499
1.278E+11,-24.85829
1.279E+11,-24.806751
1.28E+11,-24.845341
1.281E+11,-24.808569
1.282E+11,-24.796871
1.283E+11,-24.819426
1.284E+11,-24.791765
1.285E+11,-24.806686
1.286E+11,-24.784739
1.287E+11,-24.774418
1.288E+11,-24.804865
1.289E+11,-24.821667
1.29E+11,-24.846691
1.291E+11,-24.937696
1.292E+11,-24.912201
1.293E+11,-24.882696
1.294E+11,-24.924173
1.295E+11,-24.924671
1.296E+11,-24.909443
1.297E+11,-24.960144
1.298E+11,-25.036425
1.299E+11,-25.046955
1.3E+11,-25.096273
1.301E+11,-25.198065
1.302E+11,-25.168972
1.303E+11,-25.189472
1.304E+11,-25.194614
1.305E+11,-25.192167
1.306E+11,-25.180925
1.307E+11,-25.182104
1.308E+11,-25.220173
1.309E+11,-25.222973
1.31E+11,-25.200119
1.311E+11,-25.186661
1.312E+11,-25.218395
1.313E+11,-25.214773
1.314E+11,-25.223333
1.315E+11,-25.243137
1.316E+11,-25.32165
1.317E+11,-25.249151
1.318E+11,-25.201262
1.319E+11,-25.269445
1.32E+11,-25.257206
1.321E+11,-25.20656
1.322E+11,-25.160326
1.323E+11,-25.206158
1.324E+11,-25.13316
1.325E+11,-25.047388
1.326E+11,-25.011711
1.327E+11,-25.052334
1.328E+11,-25.042328
1.329E+11,-25.009972
1.33E+11,-25.035614
1.331E+11,-25.024906
1.332E+11,-25.026602
1.333E+11,-25.081831
1.334E+11,-25.133512
1.335E+11,-25.083321
1.336E+11,-25.041845
1.337E+11,-25.072989
1.338E+11,-25.085022
1.339E+11,-25.062376
1.34E+11,-25.07819
1.341E+11,-25.146315
1.342E+11,-25.154528
1.343E+11,-25.261276
1.344E+11,-25.273851
1.345E+11,-25.327433
1.346E+11,-25.326902
