Trace
Swept SA
A.14.04,N9030A
550 B25 B40 B85 DP2 EP1 FS1 FS2 FSA LFE LNP MPB NFE NUL P50 PFR RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.5
Start Frequency,2000000000
Stop Frequency,18000000000
Average Count,0
Average Type,LogPower(Video)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,3000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,High
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
2000000000,-78.172879360721
2016000000,-77.9962256426369
2032000000,-77.9580276115283
2048000000,-78.1590385900598
2064000000,-77.9592329268452
2080000000,-77.5454897365704
2096000000,-77.9389842071018
2112000000,-77.6931006511576
2128000000,-77.6325430929739
2144000000,-78.0688961358256
2160000000,-78.0973589890667
2176000000,-78.0236107411794
2192000000,-79.0238969099371
2208000000,-78.4170086634291
2224000000,-78.0431319763674
2240000000,-78.9075766110869
2256000000,-78.296181006476
2272000000,-78.9002856546983
2288000000,-78.2492800663414
2304000000,-78.7524073250004
2320000000,-78.2894321637697
2336000000,-78.8838389507302
2352000000,-78.6944049589974
2368000000,-78.3700619702503
2384000000,-79.2719875939372
2400000000,-78.6222810133754
2416000000,-79.1128306841469
2432000000,-80.5180255992875
2448000000,-80.860234985723
2464000000,-80.9593150173355
2480000000,-81.8424262715291
2496000000,-81.2893675420673
2512000000,-80.8534327129513
2528000000,-80.952403088193
2544000000,-79.6564003904417
2560000000,-78.0168387393691
2576000000,-77.3985016537308
2592000000,-76.9967122066069
2608000000,-76.299777901226
2624000000,-77.5243700867574
2640000000,-78.0812513304333
2656000000,-78.3008129561671
2672000000,-81.2090210225595
2688000000,-79.9211104204238
2704000000,-80.3388519957758
2720000000,-80.7856554804052
2736000000,-81.5113269377924
2752000000,-80.5159988874451
2768000000,-81.2720568023407
2784000000,-81.1419232101347
2800000000,-80.3170885301226
2816000000,-81.7814114135017
2832000000,-80.5608529644114
2848000000,-79.9666032564561
2864000000,-81.4881023455174
2880000000,-80.6623030802157
2896000000,-80.2351415899695
2912000000,-81.6168917170311
2928000000,-80.8340469683961
2944000000,-80.8193523080731
2960000000,-81.6149702977288
2976000000,-81.7291773422454
2992000000,-81.9823930064961
3008000000,-81.7004280332304
3024000000,-81.7701707015537
3040000000,-80.7707354286539
3056000000,-81.9098916068495
3072000000,-81.5533862975952
3088000000,-80.6838995045756
3104000000,-82.1274692452596
3120000000,-80.3196705116428
3136000000,-81.0568151420921
3152000000,-82.1596938149267
3168000000,-81.9260472443406
3184000000,-82.2028632345305
3200000000,-82.6222523785571
3216000000,-82.497101757454
3232000000,-81.7014119753543
3248000000,-82.9338281662302
3264000000,-81.7658906952833
3280000000,-80.3431232025856
3296000000,-80.1725805582358
3312000000,-79.3409849531571
3328000000,-79.1152886745687
3344000000,-78.8566841458975
3360000000,-79.1156583478032
3376000000,-78.374948341446
3392000000,-78.9763938920887
3408000000,-78.4436833959856
3424000000,-78.7330622693108
3440000000,-78.4747350777121
3456000000,-78.4332539434515
3472000000,-78.6362672719204
3488000000,-78.3901018644136
3504000000,-77.8315419757309
3520000000,-77.7732592420535
3536000000,-78.1834200201259
3552000000,-77.6247284785082
3568000000,-77.5396606782457
3584000000,-76.9215497352081
3600000000,-76.689842715968
3616000000,-77.2957559726592
3632000000,-77.5522854768542
3648000000,-76.6049681423724
3664000000,-77.373219766075
3680000000,-76.9814159619696
3696000000,-76.4002220751923
3712000000,-76.4662878086425
3728000000,-75.9710232392546
3744000000,-75.7888186010171
3760000000,-75.6724097568666
3776000000,-75.7275540479725
3792000000,-75.7536051486018
3808000000,-76.0490811061863
3824000000,-76.8529933763797
3840000000,-77.3354692851547
3856000000,-77.1129146994154
3872000000,-77.456080741417
3888000000,-77.2767154767943
3904000000,-76.8623559669147
3920000000,-77.5918901101773
3936000000,-76.7274348771486
3952000000,-77.4923514185623
3968000000,-77.1203649703654
3984000000,-76.1845226288019
4000000000,-75.8443210397314
4016000000,-74.918765925431
4032000000,-75.471664378042
4048000000,-75.1882291878577
4064000000,-75.5082919862992
4080000000,-75.3494269232107
4096000000,-75.5027462149081
4112000000,-76.1366989976219
4128000000,-75.6949307020392
4144000000,-76.4098213625032
4160000000,-77.1495633168306
4176000000,-76.522000416444
4192000000,-76.083257524807
