Trace
Swept SA
A.14.04,N9030A
550 B25 B40 B85 DP2 EP1 FS1 FS2 FSA LFE LNP MPB NFE NUL P50 PFR RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.5
Start Frequency,0
Stop Frequency,20000000000
Average Count,0
Average Type,Power(RMS)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,300000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Average
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
0,-43.3631923961479
20000000,-101.628409988908
40000000,-102.049180600077
60000000,-102.055496992152
80000000,-102.152283680843
100000000,-102.032101241087
120000000,-102.281496007119
140000000,-102.007682499165
160000000,-102.235311925496
180000000,-102.213645211295
200000000,-101.886887177568
220000000,-102.139654272404
240000000,-101.924731032671
260000000,-102.098663356835
280000000,-101.990171862761
300000000,-102.256801100352
320000000,-101.922453830689
340000000,-102.174593467858
360000000,-102.452050509354
380000000,-101.702726979878
400000000,-101.864904418952
420000000,-101.653410317641
440000000,-101.505036258424
460000000,-101.629837291264
480000000,-101.50966274242
500000000,-101.541660317144
520000000,-101.405364023559
540000000,-101.384720380811
560000000,-101.714623696821
580000000,-101.456293495993
600000000,-101.672406108492
620000000,-101.778186492822
640000000,-101.476980317536
660000000,-101.638878357984
680000000,-101.375391489075
700000000,-101.171771104582
720000000,-100.931719779156
740000000,-100.977756390287
760000000,-100.78611217202
780000000,-100.853313346577
800000000,-100.755589160367
820000000,-100.707988393196
840000000,-100.578226023785
860000000,-100.427656142484
880000000,-100.167578421103
900000000,-100.097695739765
920000000,-100.397142525364
940000000,-100.614626167068
960000000,-100.91969500597
980000000,-100.660622822256
1000000000,-100.831503335605
1020000000,-100.722844830014
1040000000,-100.69313065458
1060000000,-100.771432421891
1080000000,-100.744201361559
1100000000,-100.527106232027
1120000000,-100.745486782281
1140000000,-100.595859464109
1160000000,-100.559592917143
1180000000,-100.382843371145
1200000000,-100.278355466406
1220000000,-100.335395541376
1240000000,-100.324706647811
1260000000,-100.317095567656
1280000000,-100.201014906997
1300000000,-100.101447775508
1320000000,-100.13094381091
1340000000,-99.8252520067479
1360000000,-99.8350670302025
1380000000,-100.037446200745
1400000000,-99.7328616995615
1420000000,-100.013160350958
1440000000,-99.8595721050164
1460000000,-99.879564443614
1480000000,-99.8572067125131
1500000000,-99.7035558232395
1520000000,-99.7915114869534
1540000000,-99.6303273312432
1560000000,-99.6905905643908
1580000000,-99.6669714135264
1600000000,-99.7597164552038
1620000000,-99.4925285412175
1640000000,-99.485127685291
1660000000,-99.494375533209
1680000000,-99.5621870220232
1700000000,-99.4587945227333
1720000000,-99.3966662698251
1740000000,-99.5563975329048
1760000000,-99.4896832563071
1780000000,-99.4631245182492
1800000000,-99.4104656722146
1820000000,-99.2747958546774
1840000000,-99.1871902213133
1860000000,-99.0480171938982
1880000000,-98.9764520893401
1900000000,-98.9680166235635
1920000000,-99.0221049254031
1940000000,-98.9347398551584
1960000000,-98.6876536660318
1980000000,-98.5894163483011
2000000000,-98.5503192838718
2020000000,-98.6745895545241
2040000000,-98.4379466286899
2060000000,-98.1947741035795
2080000000,-98.3525284351347
2100000000,-98.5148478635722
2120000000,-98.306745923475
2140000000,-98.4026494220821
2160000000,-98.1755403913435
2180000000,-98.2277768848429
2200000000,-98.1499727737734
2220000000,-97.8899047962582
2240000000,-97.9779530143224
2260000000,-98.0707221638297
2280000000,-98.0329610375414
2300000000,-97.8916047238599
2320000000,-97.7307135237631
2340000000,-97.5682181435345
2360000000,-97.4600713222475
2380000000,-97.5399235169386
2400000000,-97.4186535596051
2420000000,-97.3693023605373
2440000000,-97.4398586309362
2460000000,-97.2553384347748
2480000000,-97.0495964973665
2500000000,-97.0378985170668
2520000000,-97.2666723053488
2540000000,-97.18144669521
2560000000,-97.2488939802817
2580000000,-97.0727832209651
2600000000,-96.7962320528269
2620000000,-96.8266722160595
2640000000,-96.6887060949961
2660000000,-96.8374030744528
2680000000,-97.0134010001317
2700000000,-97.1030813383065
2720000000,-97.3183393833096
2740000000,-97.1049660746392
2760000000,-97.1995672141194
2780000000,-97.2923781216048
2800000000,-97.4020503850267
2820000000,-97.3035715851653
2840000000,-97.604965024085
2860000000,-97.5391910785442
2880000000,-97.5836410089138
2900000000,-97.349670453488
2920000000,-97.2409545138001
