Trace
Swept SA
A.14.04,N9030A
550 B25 B40 B85 DP2 EP1 FS1 FS2 FSA LFE LNP MPB NFE NUL P50 PFR RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.033333333333
Start Frequency,0
Stop Frequency,20000000000
Average Count,0
Average Type,Power(RMS)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,3000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Average
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
0,-43.1413981193689
20000000,-101.852842851195
40000000,-101.968272790184
60000000,-101.033657676072
80000000,-101.678494055792
100000000,-101.183104670353
120000000,-100.710564522867
140000000,-101.453819947406
160000000,-101.279076549339
180000000,-101.487168297211
200000000,-101.44333390638
220000000,-102.058660297222
240000000,-101.63387377489
260000000,-101.107379415895
280000000,-101.625853329464
300000000,-101.653645570257
320000000,-101.452193921431
340000000,-101.103884273189
360000000,-101.161786295463
380000000,-101.247720693739
400000000,-100.555658571971
420000000,-100.781396833951
440000000,-100.092874500238
460000000,-100.887079599079
480000000,-100.519182770173
500000000,-100.05000503189
520000000,-100.175600006626
540000000,-100.474984967916
560000000,-100.6886729025
580000000,-100.794099762603
600000000,-100.595729177145
620000000,-100.184969493538
640000000,-100.659563886458
660000000,-100.688420316544
680000000,-100.013310243393
700000000,-99.9395365194349
720000000,-99.5785174352275
740000000,-99.3225710774291
760000000,-99.7903440953035
780000000,-100.327404733767
800000000,-99.7407187861279
820000000,-100.248707150277
840000000,-99.2276877736248
860000000,-99.1771933583013
880000000,-99.6457164826486
900000000,-99.9230889168503
920000000,-100.168925716611
940000000,-99.1858935297548
960000000,-100.297273165702
980000000,-99.3037522725751
1000000000,-98.8166683873785
1020000000,-99.2987564379313
1040000000,-99.8635071345901
1060000000,-100.04569737721
1080000000,-100.005623615038
1100000000,-99.9461017081916
1120000000,-99.567904607312
1140000000,-100.182958154331
1160000000,-99.7126258936793
1180000000,-99.9507349179194
1200000000,-99.3925096557931
1220000000,-99.0370080271394
1240000000,-99.5697049366606
1260000000,-99.7840921458168
1280000000,-98.7709905572199
1300000000,-99.0540207296066
1320000000,-99.2429194166801
1340000000,-99.4062605707868
1360000000,-98.8431184204209
1380000000,-99.2603882166486
1400000000,-99.595444234481
1420000000,-98.8806198154841
1440000000,-100.003691751215
1460000000,-98.3803065447127
1480000000,-99.0022027188693
1500000000,-98.7389719861107
1520000000,-98.7733740851864
1540000000,-98.108069902272
1560000000,-98.4951087662005
1580000000,-98.0762908852223
1600000000,-98.5170783331757
1620000000,-98.5528312698348
1640000000,-99.2545562145932
1660000000,-98.8532138653401
1680000000,-98.7831772908671
1700000000,-98.280522738819
1720000000,-98.6607613342433
1740000000,-99.2599713540704
1760000000,-98.4487859735997
1780000000,-98.6393145710302
1800000000,-98.0400574668197
1820000000,-98.7785942271657
1840000000,-98.8985084188695
1860000000,-97.8916254798242
1880000000,-97.2016971696385
1900000000,-98.3020209613656
1920000000,-98.4689915741407
1940000000,-97.3160872604391
1960000000,-98.2589780527727
1980000000,-98.5346925842514
2000000000,-97.4516110142356
2020000000,-96.8395177307366
2040000000,-97.532899652137
2060000000,-97.4101052392585
2080000000,-97.720148775152
2100000000,-97.7721464129038
2120000000,-97.6123379371261
2140000000,-97.1041304249931
2160000000,-97.1609716380691
2180000000,-97.0822171713288
2200000000,-97.1886825816563
2220000000,-97.3558605514511
2240000000,-96.7904232601695
2260000000,-96.6601354996251
2280000000,-97.3777991084802
2300000000,-96.7935982852164
2320000000,-97.007475495448
2340000000,-96.6134762210627
2360000000,-96.094412739151
2380000000,-96.6738840880879
2400000000,-96.7695388079485
2420000000,-96.50068766989
2440000000,-97.0186358335131
2460000000,-96.7440153017477
2480000000,-96.076309534257
2500000000,-96.1125777520257
2520000000,-96.1666191593403
2540000000,-95.6609928658537
2560000000,-95.9608738319581
2580000000,-95.743606623497
2600000000,-96.1508546458179
2620000000,-95.51067241023
2640000000,-96.2340602746866
2660000000,-95.4064270876162
2680000000,-96.3034514242623
2700000000,-95.9303124804491
2720000000,-96.1856523466592
2740000000,-96.5194814376598
2760000000,-96.0387255214191
2780000000,-96.511752680982
2800000000,-95.7648099742401
2820000000,-96.5497028582192
2840000000,-96.9029453308802
2860000000,-96.6563054054985
2880000000,-96.4175993462718
