Trace
Swept SA
A.14.04,N9030A
550 B25 B40 B85 DP2 EP1 FS1 FS2 FSA LFE LNP MPB NFE NUL P50 PFR RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.5
Start Frequency,0
Stop Frequency,20000000000
Average Count,0
Average Type,LogPower(Video)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,3000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
0,-34.9658820771514
20000000,-87.8240178514059
40000000,-88.5920932619729
60000000,-88.599560207438
80000000,-88.9871641618104
100000000,-88.6226463479272
120000000,-88.4091029804334
140000000,-87.9869419162506
160000000,-88.834159917846
180000000,-89.28783389608
200000000,-88.970492306009
220000000,-88.8627015761761
240000000,-88.7611801614446
260000000,-89.4433844378963
280000000,-88.5949783912221
300000000,-88.4885819594535
320000000,-88.6153515500243
340000000,-89.4722721214813
360000000,-88.8034772695593
380000000,-88.2754628886808
400000000,-88.4363361638243
420000000,-87.3363301921697
440000000,-87.9382555272494
460000000,-88.2006305374531
480000000,-87.7230320394728
500000000,-87.6780738947885
520000000,-87.6357108907548
540000000,-87.9923067096473
560000000,-88.1220050066209
580000000,-87.0519859134271
600000000,-87.9578095810084
620000000,-88.4317935334953
640000000,-88.3640358949652
660000000,-87.4326488829046
680000000,-87.4501177371793
700000000,-86.9686914927407
720000000,-87.6454056005207
740000000,-87.4901837652505
760000000,-87.154472578128
780000000,-86.5623327648723
800000000,-87.977393848195
820000000,-86.7484475242142
840000000,-87.3370831835944
860000000,-87.2850648523449
880000000,-86.7920920645623
900000000,-86.8144126691023
920000000,-86.3893267125331
940000000,-87.1873420784238
960000000,-87.4963534806466
980000000,-87.0413319844523
1000000000,-87.0467898797284
1020000000,-87.6134597580968
1040000000,-87.3050015222633
1060000000,-87.753311782601
1080000000,-86.8479212024726
1100000000,-87.47111272997
1120000000,-87.0030765222007
1140000000,-87.147342193185
1160000000,-86.6309109145666
1180000000,-85.5020927303408
1200000000,-86.4337756470666
1220000000,-85.9792107821755
1240000000,-85.9583561445281
1260000000,-86.8889833267975
1280000000,-86.8669688364459
1300000000,-86.6435093742999
1320000000,-86.5810313159705
1340000000,-86.9506394616649
1360000000,-85.7546673362694
1380000000,-87.0902608179036
1400000000,-86.5730002601067
1420000000,-85.8945007888564
1440000000,-86.2634443434711
1460000000,-86.2639965700844
1480000000,-86.0994570722846
1500000000,-85.6624089532746
1520000000,-85.4746410502458
1540000000,-86.0301733775927
1560000000,-86.5356997922562
1580000000,-85.8526947171284
1600000000,-84.7221280170177
1620000000,-86.0578552466969
1640000000,-85.3683785046971
1660000000,-84.7779358904223
1680000000,-85.526276412378
1700000000,-84.9967291907135
1720000000,-86.0439495492587
1740000000,-86.5948581210055
1760000000,-86.3390983018572
1780000000,-84.9288427381951
1800000000,-84.8773734410224
1820000000,-85.1778410916329
1840000000,-85.5683153677093
1860000000,-85.6311264251613
1880000000,-84.9385498920283
1900000000,-85.3958268935842
1920000000,-85.9753300539423
1940000000,-85.9220290617732
1960000000,-85.3257009273581
1980000000,-83.8338769468301
2000000000,-85.261953792284
2020000000,-84.3987924926779
2040000000,-83.8228294230527
2060000000,-84.7486258343474
2080000000,-84.8640420685381
2100000000,-83.6286554883021
2120000000,-84.6815353782213
2140000000,-84.4815620647821
2160000000,-84.2100219834356
2180000000,-83.9502628278152
2200000000,-84.8540011419211
2220000000,-83.6823084646503
2240000000,-84.6733859514386
2260000000,-83.6975282669155
2280000000,-83.2467531150805
2300000000,-84.1342395376432
2320000000,-83.4428249317951
2340000000,-83.6234758868763
2360000000,-83.9561681895407
2380000000,-83.8764520895716
2400000000,-83.362526149469
2420000000,-84.4416100237401
2440000000,-83.1361108232903
2460000000,-82.4313965434438
2480000000,-83.5718904370006
2500000000,-83.0283153811825
2520000000,-83.0173384846344
2540000000,-83.5078597592522
2560000000,-82.6316538490815
2580000000,-82.8123221093923
2600000000,-82.3892034782051
2620000000,-82.7157576072181
2640000000,-82.9883497686241
2660000000,-81.6103431954416
2680000000,-83.015188909824
2700000000,-82.8794334353529
2720000000,-83.7455341913174
2740000000,-83.0423065122986
2760000000,-83.7498879200901
2780000000,-83.8627123844814
2800000000,-83.4194063480725
2820000000,-84.996282818606
