Trace
Swept SA
A.14.04,N9030A
550 B25 B40 B85 DP2 EP1 FS1 FS2 FSA LFE LNP MPB NFE NUL P50 PFR RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.5
Start Frequency,0
Stop Frequency,20000000000
Average Count,0
Average Type,Power(RMS)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,3000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Average
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
0,-43.1700448084736
20000000,-95.848284438933
40000000,-95.969351768595
60000000,-95.7357945266098
80000000,-96.1764556892032
100000000,-95.8636771954437
120000000,-96.2724230974079
140000000,-95.9373156118485
160000000,-96.276448824298
180000000,-96.1771945208769
200000000,-96.1767542136016
220000000,-96.1204060565033
240000000,-96.0893995813684
260000000,-96.1377378309092
280000000,-96.2997875162698
300000000,-96.0773938204326
320000000,-96.518074217521
340000000,-96.0598637711571
360000000,-96.553644814963
380000000,-96.1779352001484
400000000,-96.4603620569372
420000000,-96.4476407887729
440000000,-96.3440009975761
460000000,-95.9709821269906
480000000,-96.1239184032055
500000000,-96.1387715791819
520000000,-95.8712926191759
540000000,-95.9587974286655
560000000,-96.1683300036019
580000000,-95.8115770870332
600000000,-95.9299763994252
620000000,-95.7393406520195
640000000,-95.9602225813337
660000000,-96.0293465309436
680000000,-95.6640607594178
700000000,-96.5364274676457
720000000,-95.5804392791688
740000000,-96.0973611644346
760000000,-95.7388835026519
780000000,-95.8378140367751
800000000,-96.1031171572173
820000000,-95.9064824148735
840000000,-95.6199510734935
860000000,-95.6892614916304
880000000,-95.7617856229534
900000000,-95.632224685522
920000000,-95.4925483436371
940000000,-95.9986846070969
960000000,-95.447501371261
980000000,-95.7529068072102
1000000000,-95.3373427255945
1020000000,-95.6926040560693
1040000000,-95.8418793886305
1060000000,-95.4440323155764
1080000000,-95.697259075375
1100000000,-95.7872213587375
1120000000,-95.7196332237925
1140000000,-95.674047965095
1160000000,-95.4936059967562
1180000000,-95.3545178128041
1200000000,-95.3232476618857
1220000000,-95.5186575243431
1240000000,-95.5156730880239
1260000000,-94.9488556953441
1280000000,-95.5288794128366
1300000000,-95.4843490244597
1320000000,-95.3593058953395
1340000000,-95.2316187300943
1360000000,-95.3161483803214
1380000000,-95.0135069659591
1400000000,-95.1934936203905
1420000000,-95.4727568281383
1440000000,-95.5400508082508
1460000000,-95.105264031252
1480000000,-95.4162627185431
1500000000,-95.365096091045
1520000000,-95.7039717596076
1540000000,-95.1416526046896
1560000000,-95.4948835706604
1580000000,-95.3856521748516
1600000000,-95.7146083385772
1620000000,-95.0735533333507
1640000000,-95.646226754025
1660000000,-94.6853309691623
1680000000,-95.0383768761627
1700000000,-94.680610840438
1720000000,-95.1752631192339
1740000000,-95.091992259218
1760000000,-95.3531899436704
1780000000,-94.9251493286779
1800000000,-95.0452617813141
1820000000,-94.9464384692302
1840000000,-95.1748576094446
1860000000,-95.010602144332
1880000000,-94.7088782699307
1900000000,-95.4307090928035
1920000000,-95.0806984356999
1940000000,-94.9539422606901
1960000000,-94.4414352146811
1980000000,-95.1326664007702
2000000000,-94.572383525542
2020000000,-94.7452432356362
2040000000,-94.86540013639
2060000000,-95.0261931160907
2080000000,-94.8818247710485
2100000000,-95.0788914692051
2120000000,-94.8430443730037
2140000000,-94.7243687658007
2160000000,-95.1683124622088
2180000000,-95.3248673730996
2200000000,-95.2553240054916
2220000000,-94.8004240147992
2240000000,-95.6483986281149
2260000000,-94.8863401945669
2280000000,-95.1438093494973
2300000000,-95.4093762716233
2320000000,-94.8433382253264
2340000000,-95.3044845828324
2360000000,-94.9954248673908
2380000000,-95.3667288090533
2400000000,-94.533893430225
2420000000,-96.2397080100651
2440000000,-95.8927864504013
2460000000,-95.8573535865858
2480000000,-95.4231053755387
2500000000,-95.4467069471787
2520000000,-95.5442763312794
2540000000,-95.7422678701351
2560000000,-95.4679876455985
2580000000,-95.7695109081627
2600000000,-95.1763832835875
2620000000,-95.1439672770976
2640000000,-95.5538933102852
2660000000,-95.2928404112188
2680000000,-95.2254062462988
2700000000,-95.7174074510439
2720000000,-95.5564775695358
2740000000,-96.1006996947418
2760000000,-96.3714266744818
2780000000,-95.9208148428277
2800000000,-95.8650896427767
2820000000,-96.3917148284201
2840000000,-96.2708079062954
