Trace
Swept SA
A.14.04,N9030A
550 B25 B40 B85 DP2 EP1 FS1 FS2 FSA LFE LNP MPB NFE NUL P50 PFR RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.5
Start Frequency,0
Stop Frequency,20000000000
Average Count,0
Average Type,LogPower(Video)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,3000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
0,-34.9395879304747
20000000,-73.373793321015
40000000,-73.7096042835889
60000000,-73.0830382506461
80000000,-73.8755907581709
100000000,-72.955180547333
120000000,-73.934131853585
140000000,-72.9920314389266
160000000,-73.8235029905319
180000000,-73.4241655843381
200000000,-73.6112019673238
220000000,-73.5887903697017
240000000,-73.6685842128023
260000000,-72.2683895871359
280000000,-73.7734796369227
300000000,-73.5373131558993
320000000,-74.0712085472878
340000000,-73.5368285849834
360000000,-74.2641624075365
380000000,-73.7530189549449
400000000,-74.1809999151421
420000000,-73.5994938915871
440000000,-73.7832115468363
460000000,-73.7356555044848
480000000,-73.603509689492
500000000,-73.4641130488246
520000000,-73.3601685506627
540000000,-73.3616714495511
560000000,-73.6059930892052
580000000,-73.2041293912317
600000000,-73.2903688890377
620000000,-73.2704589386768
640000000,-73.478289255843
660000000,-73.4570250730275
680000000,-73.1175892253846
700000000,-73.7328763916484
720000000,-73.1005958422913
740000000,-74.0079159303114
760000000,-73.4975355501678
780000000,-73.4883898521789
800000000,-73.372498806732
820000000,-73.3905888493718
840000000,-73.1160556095835
860000000,-73.2959959719361
880000000,-73.0653062768592
900000000,-73.0666705882081
920000000,-73.0181091926755
940000000,-73.3325777000871
960000000,-72.9964526729398
980000000,-73.4503054278588
1000000000,-72.7876168330343
1020000000,-73.4213788468086
1040000000,-73.2730396258702
1060000000,-73.2460310064845
1080000000,-73.3011645503535
1100000000,-73.5538835660075
1120000000,-73.3246187261108
1140000000,-73.4528692515969
1160000000,-73.0365137926465
1180000000,-73.343715748468
1200000000,-72.9615965623692
1220000000,-73.1658107975063
1240000000,-73.0623235407749
1260000000,-72.9097005576229
1280000000,-73.3820170082338
1300000000,-73.0017714559239
1320000000,-73.7987438734387
1340000000,-72.8591733016974
1360000000,-73.6061134344238
1380000000,-72.9389843403322
1400000000,-73.1522013642318
1420000000,-72.9530010712905
1440000000,-73.3574616033555
1460000000,-72.8429665721685
1480000000,-73.4108415601679
1500000000,-73.1899686825965
1520000000,-73.4847931950869
1540000000,-72.8451665720903
1560000000,-73.5160548610786
1580000000,-72.7179613082025
1600000000,-72.9795427680649
1620000000,-72.8540523048156
1640000000,-73.3865564905263
1660000000,-72.3953059283288
1680000000,-73.4381662195985
1700000000,-72.4392151655475
1720000000,-73.0316397751513
1740000000,-72.5028215082048
1760000000,-73.2948942534822
1780000000,-72.9651493365892
1800000000,-72.8582855368839
1820000000,-72.6483947506633
1840000000,-72.9269258719229
1860000000,-72.5994466946651
1880000000,-72.8187058550441
1900000000,-72.6571234889949
1920000000,-72.3029880874873
1940000000,-72.5231704703172
1960000000,-72.0897443309239
1980000000,-73.0239422136318
2000000000,-72.2501539465561
2020000000,-73.3241909269853
2040000000,-72.7004843372134
2060000000,-73.3932244472507
2080000000,-72.7128427681511
2100000000,-73.1166136306347
2120000000,-72.981501734478
2140000000,-73.131976871524
2160000000,-73.1886935414846
2180000000,-72.911050688664
2200000000,-73.616903445895
2220000000,-73.3569978770495
2240000000,-73.6500020195623
2260000000,-73.5803194358508
2280000000,-73.9172390131633
2300000000,-73.8017564765416
2320000000,-73.9164541444311
2340000000,-73.752513086625
2360000000,-73.5359224578611
2380000000,-73.3605796378789
2400000000,-73.551517571816
2420000000,-74.8714537017524
2440000000,-76.0317854228114
2460000000,-75.8442741591521
2480000000,-75.8313545934513
2500000000,-75.7630677025742
2520000000,-76.186239207773
2540000000,-76.6622570242716
2560000000,-76.2218863420499
2580000000,-76.353571806978
2600000000,-75.9496090749655
2620000000,-75.1337249779438
2640000000,-74.3307915598906
2660000000,-72.5699634316878
2680000000,-74.6410864486592
2700000000,-72.8012686306573
2720000000,-73.3990903185475
2740000000,-75.2967865983489
2760000000,-75.9635089578366
2780000000,-76.8643897390906
2800000000,-76.0641096993606
2820000000,-76.3734986664691
