Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.02
Start Frequency,12000000
Stop Frequency,16000000
Average Count,0
Average Type,LogPower(Video)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,10000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,30
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
12000000,-20.6172225985841
12004000,-18.3388161826975
12008000,-16.2551693854216
12012000,-15.6135864099095
12016000,-13.8710077275865
12020000,-12.8514322811761
12024000,-13.5116261435752
12028000,-13.1760249075825
12032000,-13.4200359997907
12036000,-15.5721084714755
12040000,-18.471539411421
12044000,-20.4960252004456
12048000,-23.6606732910559
12052000,-26.7276848934476
12056000,-29.5827879940726
12060000,-33.5376428665985
12064000,-36.3063643647346
12068000,-36.3160169899929
12072000,-35.3263823647114
12076000,-33.314103688138
12080000,-32.3512603684806
12084000,-33.1886187806736
12088000,-35.8603306985284
12092000,-37.8022168441494
12096000,-37.4248664559834
12100000,-36.7442827629031
12104000,-37.763795476646
12108000,-40.7442110171071
12112000,-41.727181948537
12116000,-38.8441812969817
12120000,-33.8080326023349
12124000,-29.462714383221
12128000,-26.9049111910087
12132000,-26.5747649315295
12136000,-28.2937054776919
12140000,-28.974132154147
12144000,-30.1059207781533
12148000,-32.9761990910183
12152000,-36.9277859369032
12156000,-39.8497000923259
12160000,-41.3894323574714
12164000,-43.1405776082176
12168000,-44.6448336302598
12172000,-43.1921125192479
12176000,-40.7344842161364
12180000,-39.4492822394313
12184000,-40.0485398107514
12188000,-42.1611357523811
12192000,-43.6747122751427
12196000,-46.0353029316776
12200000,-48.9047028969414
12204000,-49.7471662274345
12208000,-49.0590768456587
12212000,-49.1986602777284
12216000,-49.7644821470797
12220000,-49.0269856145806
12224000,-46.6621591463351
12228000,-44.8198770976807
12232000,-44.7110451092643
12236000,-46.60561957697
12240000,-48.6832527833015
12244000,-50.1668567500687
12248000,-51.1662860868262
12252000,-51.7359732675231
12256000,-51.5948056266123
12260000,-51.1327693104045
12264000,-52.1305745031178
12268000,-53.5874865321074
12272000,-52.2834739798466
12276000,-49.6652755125596
12280000,-48.2456027685733
12284000,-48.9449378243254
12288000,-50.6857535973148
12292000,-51.9518131267058
12296000,-52.1833170115579
12300000,-51.8522960574169
12304000,-52.903345017857
12308000,-54.5584629284683
12312000,-54.9840763230188
12316000,-53.7963851101238
12320000,-52.720161961076
12324000,-51.9242248839341
12328000,-50.7724516142614
12332000,-50.7983556526727
12336000,-51.9816436240146
12340000,-52.4052221206854
12344000,-53.5647456131483
12348000,-54.2393717076544
12352000,-54.5726536988941
12356000,-54.1233321498601
12360000,-53.2798470115061
12364000,-53.6682778127226
12368000,-53.9881074085093
12372000,-54.3508064981215
12376000,-54.839848125806
12380000,-54.7826821887585
12384000,-55.7488061132857
12388000,-56.6454287731582
12392000,-56.0333182304673
12396000,-53.9355439817507
12400000,-52.8116302647861
12404000,-53.4989040319529
12408000,-54.7315374471738
12412000,-55.265255896826
12416000,-55.1751612949508
12420000,-54.8441164311174
12424000,-55.2552718296502
12428000,-55.2473639432019
12432000,-55.519152647534
12436000,-56.1030010977022
12440000,-55.9850093536135
12444000,-56.4744342353296
12448000,-56.4116398257704
12452000,-56.6050269801335
12456000,-56.5906077974672
12460000,-56.2171848250857
12464000,-56.3321289928939
12468000,-56.0667438256053
12472000,-56.23671680499
12476000,-56.7031067155401
12480000,-56.3677168999877
12484000,-56.8188734589457
12488000,-56.8495051466892
12492000,-56.8632884872606
12496000,-56.54153828788
12500000,-56.0371116401555
12504000,-56.5624000227073
12508000,-56.9167935628665
12512000,-57.4214797443864
12516000,-57.3187730686307
12520000,-56.7976106130815
12524000,-57.4558462072843
12528000,-58.1377518516762
12532000,-58.308943664936
12536000,-58.1295545620882
12540000,-57.6358657937197
12544000,-57.4118982191752
12548000,-57.110557120417
12552000,-57.4217341714614
12556000,-58.0086850200645
12560000,-57.6626147621695
12564000,-57.9512666512819
12568000,-58.2203446637981
12572000,-58.7345632039415
12576000,-58.6042933761703
12580000,-58.15182918998
12584000,-57.9232945920682
12588000,-57.3651570644387
12592000,-57.5623047526309
12596000,-58.0044583454688
12600000,-57.9533241747408
12604000,-58.265366450127
12608000,-58.391873429407
12612000,-58.4531058487836
12616000,-58.5492216012139
12620000,-58.4451049533959
12624000,-58.7099340770676
12628000,-58.6127554096162
12632000,-59.0612694170415
12636000,-59.162447086777
12640000,-59.0893875298393
12644000,-59.3043800601366
12648000,-59.2694380247808
12652000,-59.295052215846
12656000,-59.3786506304245
12660000,-59.075591825454
12664000,-59.1877639569078
12668000,-59.3172696363612
12672000,-59.8096171434425
12676000,-60.1101567361297
12680000,-59.7143668955283
12684000,-59.5531712879568
12688000,-59.029839129941
12692000,-59.1166117160042
12696000,-59.6993074067523
12700000,-59.5783256551449
12704000,-59.7075752967572
12708000,-59.6206280156563
12712000,-60.0067211790367
12716000,-60.0317540396273
12720000,-59.9653932114937
12724000,-60.1393404419684
12728000,-60.1963545257383
12732000,-60.2924744551682
12736000,-60.220997724568
12740000,-59.9534951264674
12744000,-60.3257648204858
12748000,-60.5736883278029
12752000,-60.9717405005884
12756000,-60.7682440895203
12760000,-60.3111063502307
12764000,-60.3270888123944
12768000,-60.1890279842827
