Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.02
Start Frequency,12000000
Stop Frequency,16000000
Average Count,0
Average Type,LogPower(Video)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,10000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,30
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
12000000,-20.6783225376102
12004000,-18.9967483463256
12008000,-17.1786651152563
12012000,-16.7209587873981
12016000,-16.0983223545742
12020000,-15.4799413397465
12024000,-15.8853104051419
12028000,-15.5809319842891
12032000,-15.8772514159084
12036000,-17.9255009061372
12040000,-20.3527315483194
12044000,-22.2188312772199
12048000,-25.262343272003
12052000,-27.7877019373822
12056000,-30.4352077194963
12060000,-34.2385996620516
12064000,-37.1121568402175
12068000,-38.8941345732861
12072000,-37.4115059775114
12076000,-34.9594073074725
12080000,-33.7842864855726
12084000,-34.6408958386268
12088000,-37.3674251539623
12092000,-38.7602814343733
12096000,-38.1488166944495
12100000,-37.5813372553419
12104000,-38.5671459823598
12108000,-41.4136249134554
12112000,-42.4764897507
12116000,-40.3270146858188
12120000,-36.1253133295272
12124000,-32.1159023584041
12128000,-29.6905808428173
12132000,-29.3330329279551
12136000,-30.8701942607331
12140000,-31.2348526395744
12144000,-32.4250198057332
12148000,-35.4130041022571
12152000,-38.9985681250464
12156000,-41.9486649918741
12160000,-43.7716439094886
12164000,-45.3269266895482
12168000,-46.4453124210408
12172000,-44.5363628359483
12176000,-41.9604317367969
12180000,-40.7329750441264
12184000,-41.5543378509082
12188000,-43.6126902792546
12192000,-44.8165473840797
12196000,-47.1150594911576
12200000,-50.1927996279899
12204000,-50.4947532027251
12208000,-49.2640608960475
12212000,-49.1524461947119
12216000,-49.7352888307813
12220000,-49.5346256026273
12224000,-47.3917478472607
12228000,-45.5111775176525
12232000,-45.2764205791423
12236000,-47.0377182101817
12240000,-49.8739373240908
12244000,-51.6033141539936
12248000,-51.8026939817121
12252000,-51.9255965726142
12256000,-51.292858071772
12260000,-50.7488111013937
12264000,-51.5140798556488
12268000,-51.9992537626567
12272000,-51.5791656178394
12276000,-50.1210341028488
12280000,-49.3213187651831
12284000,-50.2531150938164
12288000,-51.9999224532357
12292000,-53.0201470123358
12296000,-53.3865986164622
12300000,-53.1321609273062
12304000,-53.6759749441209
12308000,-53.5390801988709
12312000,-53.5103429870692
12316000,-53.5159469275825
12320000,-53.3971658337876
12324000,-52.8221331667775
12328000,-51.411098024456
12332000,-51.2605037419685
12336000,-52.8167193561463
12340000,-53.7831305604928
12344000,-54.2589728416984
12348000,-53.8294891793016
12352000,-53.8715738208393
12356000,-53.9035999622798
12360000,-53.6968112104916
12364000,-54.2160361730029
12368000,-53.8383306316859
12372000,-53.9437433360187
12376000,-54.7974676487134
12380000,-55.1176995275397
12384000,-56.0177771639483
12388000,-56.6438973494669
12392000,-55.8772359792643
12396000,-53.9945440525073
12400000,-53.1321062224132
12404000,-53.8479324575692
12408000,-54.5193477275954
12412000,-54.8076511312785
12416000,-54.7552590975206
12420000,-54.5348785573432
12424000,-55.3448390421978
12428000,-55.7428217008818
12432000,-56.1531982306545
12436000,-56.3853389973257
12440000,-56.2405517603321
12444000,-56.223831933036
12448000,-55.5043783669888
12452000,-55.3597184102607
12456000,-56.2217487282456
12460000,-56.52580902205
12464000,-56.526850462003
12468000,-55.9341065613251
12472000,-56.0486758141609
12476000,-56.9576073108525
12480000,-57.2770462839594
12484000,-57.1550436289422
12488000,-56.5505090856335
12492000,-56.2762115219444
12496000,-55.9462849580175
12500000,-55.8116726207936
12504000,-56.6070266561216
12508000,-56.8494796190723
12512000,-56.8346140363978
12516000,-56.7468447900672
12520000,-56.5950345191937
12524000,-57.4007563687682
12528000,-58.1240629666508
12532000,-58.1360793054755
12536000,-57.7613760442896
12540000,-57.2872093269339
12544000,-57.3929568640024
12548000,-57.0929024329244
12552000,-57.1989814463432
12556000,-57.5363048240653
12560000,-57.5660117878135
12564000,-58.0726609912613
12568000,-58.0271324090395
12572000,-58.0929583181386
12576000,-58.5055719041759
12580000,-58.3999030879096
12584000,-58.0060671794625
12588000,-57.0981284204708
12592000,-57.0654202507764
12596000,-57.9604066742513
12600000,-58.3605995732388
12604000,-58.7346452220506
12608000,-58.6298498610162
12612000,-58.7900845253287
12616000,-58.7763256745901
12620000,-58.6206456366391
12624000,-58.768726287188
12628000,-58.2516747515331
12632000,-58.3324793715684
12636000,-58.7395732915343
12640000,-58.7966905484369
12644000,-59.1656971761703
12648000,-59.4359864716226
12652000,-59.5171789858007
12656000,-59.553176569517
12660000,-59.2930814927007
12664000,-59.3595520102468
12668000,-58.830926691435
12672000,-58.8028957901404
12676000,-59.0811126317078
12680000,-59.0678417350339
12684000,-59.3594983133488
12688000,-59.0890931337102
12692000,-59.4297683824654
12696000,-59.844724635644
12700000,-59.8294699005058
12704000,-59.9093675606511
12708000,-59.2330922001976
12712000,-59.1924626533392
12716000,-59.565980230742
12720000,-59.8198158937157
12724000,-60.5172394951998
12728000,-60.5549320012701
12732000,-60.4679544995498
12736000,-60.306311386182
12740000,-60.3476850255969
12744000,-60.7596659264654
12748000,-60.388985691184
12752000,-60.2587615499383
12756000,-60.4614048439037
12760000,-60.5366303941954
12764000,-60.5672562785871
