Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.02
Start Frequency,12000000
Stop Frequency,16000000
Average Count,0
Average Type,LogPower(Video)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,10000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,30
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
12000000,-19.3600785386778
12004000,-17.2584329540098
12008000,-15.5505655226616
12012000,-15.2057481383352
12016000,-13.9373111661986
12020000,-13.0937922787373
12024000,-13.5898205545735
12028000,-13.2640537548856
12032000,-13.2859242657201
12036000,-14.9489989532669
12040000,-18.0987333393049
12044000,-20.7895286600415
12048000,-24.0245600333651
12052000,-27.5312772110537
12056000,-30.6774375624156
12060000,-34.2541222658738
12064000,-36.7665708903289
12068000,-38.3540573596293
12072000,-36.8174155101317
12076000,-34.0751919233902
12080000,-32.6988328930965
12084000,-33.4474597749426
12088000,-36.4280875575158
12092000,-39.9437567307747
12096000,-40.6458784841422
12100000,-40.1677857417271
12104000,-40.6917014306475
12108000,-40.9099934996885
12112000,-41.4914189398124
12116000,-43.7696330350636
12120000,-44.5578326955467
12124000,-41.909757904111
12128000,-39.8011495604116
12132000,-39.549224456689
12136000,-41.5131270635319
12140000,-45.6481607774474
12144000,-46.9681071994216
12148000,-45.9910131307428
12152000,-46.1814159584091
12156000,-46.2813981561054
12160000,-45.6595691525726
12164000,-46.3139993918588
12168000,-48.0809481831261
12172000,-47.0778115465387
12176000,-45.114216748296
12180000,-44.0981382926232
12184000,-44.6507924544664
12188000,-46.7405115597565
12192000,-48.8279547137123
12196000,-49.8427313346011
12200000,-49.9894153233242
12204000,-50.0700994037265
12208000,-49.2888034791403
12212000,-49.5605163099882
12216000,-50.7454325163533
12220000,-50.9426547361887
12224000,-50.0314913576985
12228000,-48.3920493443333
12232000,-48.4318920234284
12236000,-50.7553467321389
12240000,-52.97496880524
12244000,-53.4339773647785
12248000,-52.5608312285242
12252000,-52.2685855259091
12256000,-51.0597229471398
12260000,-50.1476131178831
12264000,-50.535599667527
12268000,-50.5348319010425
12272000,-51.2511877534939
12276000,-52.6255782250647
12280000,-53.1786227404025
12284000,-53.4804928641919
12288000,-52.6055010298663
12292000,-52.5590368808081
12296000,-52.4213066167733
12300000,-51.8856056152891
12304000,-52.3562542039152
12308000,-53.1816224332409
12312000,-53.7936022524944
12316000,-53.6138918952104
12320000,-53.2737818793953
12324000,-53.5305733842033
12328000,-52.6846873361426
12332000,-52.8766758114318
12336000,-54.6360053908416
12340000,-55.270615813233
12344000,-54.8862274815262
12348000,-53.5914124435591
12352000,-53.4810992774909
12356000,-54.500773740641
12360000,-55.0189986713594
12364000,-55.0023270717888
12368000,-53.9901812271831
12372000,-54.3022446009437
12376000,-56.5134040730314
12380000,-57.7002659962336
12384000,-57.0683100902454
12388000,-55.6712505898351
12392000,-55.4268679153291
12396000,-54.7781638946288
12400000,-53.9708894569124
12404000,-54.376413399749
12408000,-54.5209788273727
12412000,-55.0162375871624
12416000,-55.8886541624167
12420000,-55.6185852286494
12424000,-55.8988468956316
12428000,-55.8815814672997
12432000,-56.2384190305159
12436000,-56.4487664393573
12440000,-56.2172052165777
12444000,-56.3405729710989
12448000,-55.6800600163685
12452000,-56.0542425687999
12456000,-57.5273771032221
12460000,-58.1751492523772
12464000,-57.5780254069429
12468000,-56.2752728405737
12472000,-56.3871397934599
12476000,-57.4575186632723
12480000,-57.7176517487727
12484000,-57.623834749325
12488000,-57.1825277921058
12492000,-56.9969684747131
12496000,-56.46659368378
12500000,-55.9165017569863
12504000,-56.4859243869274
12508000,-57.2174147704559
12512000,-57.1571234433349
12516000,-56.0806760008429
12520000,-55.2655974950614
12524000,-55.7451825268625
12528000,-56.932948571528
12532000,-57.8989676127504
12536000,-57.6086733657159
12540000,-57.2060759535142
12544000,-57.4531564701401
12548000,-57.3371409337671
12552000,-57.7820907276375
12556000,-58.5751832651435
12560000,-58.7339254730312
12564000,-58.5630040948484
12568000,-58.1834378017325
12572000,-58.7041159641372
12576000,-59.6850951259605
12580000,-59.6171474669978
12584000,-59.0007008316852
12588000,-57.9650611549047
12592000,-57.8486739578006
12596000,-58.5658312049525
12600000,-58.8137914934624
12604000,-59.2145350860588
12608000,-59.098900568679
12612000,-59.4897445034864
12616000,-59.7509515746468
12620000,-59.3980131549292
12624000,-59.1973810931858
12628000,-58.62894323611
12632000,-58.7281625092895
12636000,-59.3799047121947
12640000,-59.5339073645075
12644000,-59.4606846664898
12648000,-59.0439479804711
12652000,-59.3982492571549
12656000,-60.1711827266178
12660000,-60.5712165058489
12664000,-60.0699442231587
12668000,-59.1781712247742
12672000,-59.3581783313307
12676000,-60.067107137748
12680000,-60.4769601441861
12684000,-60.4040582417595
12688000,-59.6960830434826
12692000,-59.870589865289
12696000,-60.5902612538609
12700000,-60.5402216723898
12704000,-60.3103650108347
12708000,-59.9066607284018
12712000,-60.2695633931083
12716000,-60.985073350103
12720000,-61.0638176747259
12724000,-61.0072239169363
12728000,-60.2051886598444
12732000,-60.2156843278034
12736000,-60.753334225014
12740000,-60.5164600441342
12744000,-60.5452499992201
12748000,-60.4358361917603
12752000,-60.9348618061346
12756000,-61.603846783804
12760000,-61.3645900235432
12764000,-61.1027488816845
