Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.02
Start Frequency,12000000
Stop Frequency,16000000
Average Count,0
Average Type,LogPower(Video)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,10000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,30
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
12000000,-23.5795483033327
12004000,-24.7389744511719
12008000,-26.0818887494096
12012000,-23.9290121807016
12016000,-21.4505461272259
12020000,-20.3439296780274
12024000,-20.945297107025
12028000,-20.8721770486887
12032000,-21.4321808974262
12036000,-23.5475235964791
12040000,-27.414134994979
12044000,-32.6934058980516
12048000,-37.3097650248022
12052000,-41.7110855606877
12056000,-44.7910528516808
12060000,-47.8179363658319
12064000,-47.9297882810692
12068000,-46.7504631138075
12072000,-46.7175626939559
12076000,-48.4015923312279
12080000,-50.5749499619279
12084000,-52.821570343069
12088000,-54.9724806646776
12092000,-54.4939322605361
12096000,-52.3286320474657
12100000,-51.1684644575562
12104000,-51.8983417466479
12108000,-53.7291511427646
12112000,-55.5525536660701
12116000,-57.5393214943224
12120000,-58.4233817874777
12124000,-59.3295868089661
12128000,-60.4185319063561
12132000,-61.1818551359299
12136000,-61.0834422085071
12140000,-60.7551729883868
12144000,-60.6780375853607
12148000,-59.9973512333199
12152000,-60.1239602804271
12156000,-61.7643598741409
12160000,-63.462917721429
12164000,-64.3383332063113
12168000,-64.7623002740999
12172000,-64.0372068113472
12176000,-62.7500158511562
12180000,-62.3458941034087
12184000,-62.8879756110889
12188000,-63.9054104988206
12192000,-64.7444104368863
12196000,-65.2115572631891
12200000,-65.2282196788497
12204000,-65.293637086805
12208000,-65.6333121048233
12212000,-65.7126228694327
12216000,-65.4855157700294
12220000,-65.1420937121357
12224000,-65.4656060630588
12228000,-65.4439056752588
12232000,-65.9028917713309
12236000,-66.4274830768239
12240000,-66.5605385204889
12244000,-66.4756300391059
12248000,-66.4073838630447
12252000,-66.1988032995986
12256000,-65.7696742704315
12260000,-65.8129009415212
12264000,-66.0703060195635
12268000,-66.2337211843949
12272000,-66.4102614363324
12276000,-66.2276842290431
12280000,-65.9304549135096
12284000,-66.1177680620045
12288000,-66.5354856441498
12292000,-66.4389940322765
12296000,-66.2502997081921
12300000,-65.8596570011391
12304000,-65.1874014500739
12308000,-64.5690920273413
12312000,-64.2795783853332
12316000,-64.6611754761726
12320000,-65.1523664122444
12324000,-65.7280010579975
12328000,-66.0860355108374
12332000,-66.2095425940657
12336000,-66.0237574738195
12340000,-65.9742196817779
12344000,-66.0232908507289
12348000,-66.1657852120814
12352000,-66.344455154458
12356000,-66.4583316636825
12360000,-66.9959552476252
12364000,-67.3592093249752
12368000,-67.0662207532756
12372000,-66.9547784989212
12376000,-66.7342037048143
12380000,-66.6503702009506
12384000,-66.730269234474
12388000,-66.7293418017015
12392000,-66.3858061413519
12396000,-65.9466849183186
12400000,-66.0012070512142
12404000,-66.3147189821839
12408000,-66.414905423552
12412000,-66.950222223447
12416000,-66.8885064463612
12420000,-66.6952850459966
12424000,-66.9124518245588
12428000,-67.1908032908194
12432000,-67.1650855929636
12436000,-66.9033700182513
12440000,-66.7621915822224
12444000,-66.8248517223611
12448000,-66.7462394297962
12452000,-66.7331218463961
12456000,-66.9400290175907
12460000,-67.2299262068465
12464000,-67.2660329931203
12468000,-67.1808894460021
12472000,-67.2712406498866
12476000,-67.28757070571
12480000,-67.1826755508341
12484000,-66.9045666131665
12488000,-66.447833041261
12492000,-66.4895021388872
12496000,-66.9518192159479
12500000,-67.1262316282172
12504000,-67.3514393058788
12508000,-67.2246038722495
12512000,-67.0030587082579
12516000,-66.7793824821329
12520000,-66.5784053388513
12524000,-66.6391203399946
12528000,-66.4288748936705
12532000,-66.2732187618085
12536000,-66.4539589117609
12540000,-66.7002022389422
12544000,-67.158419229837
12548000,-67.3613071781116
12552000,-67.1606340290931
12556000,-67.0199342690963
12560000,-67.0085586996824
12564000,-67.1462581912313
12568000,-67.3029869440143
12572000,-67.3140864271595
12576000,-67.3155619767537
12580000,-67.2550201839751
12584000,-66.8954206190428
12588000,-67.0649001302366
12592000,-67.4779903545881
12596000,-67.5737748660179
12600000,-67.0215462096662
12604000,-66.6707429255005
12608000,-66.4580371643539
12612000,-66.6850371008864
12616000,-66.9918403568162
12620000,-67.148810913775
12624000,-67.4157648830804
12628000,-67.2361305580199
12632000,-67.158734959213
12636000,-67.0934239955271
12640000,-67.1599848127843
12644000,-67.5996934477156
12648000,-67.4638986479308
12652000,-67.196674681592
12656000,-66.9392725814544
12660000,-67.0410265505046
12664000,-67.1071547955071
12668000,-66.8913538402894
12672000,-67.0136430684074
12676000,-67.0658791550552
12680000,-66.9515382799314
12684000,-67.1694768796627
12688000,-67.2139225353102
12692000,-67.3426405279591
12696000,-67.2558381129308
12700000,-66.9608601675922
12704000,-66.6809865049425
12708000,-66.6739656187007
12712000,-66.8361993743262
12716000,-67.1207311844728
12720000,-67.1570475280163
12724000,-67.486305293228
12728000,-67.671838705952
12732000,-67.4449282185042
12736000,-67.2380016984507
12740000,-67.2191937132581
12744000,-67.336560895527
12748000,-67.1395653305142
12752000,-67.0844367639145
12756000,-67.1725758367537
12760000,-67.1055795372763
12764000,-67.0906439569308
