Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.01
Start Frequency,10000000
Stop Frequency,14000000
Average Count,0
Average Type,LogPower(Video)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,10000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,30
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10000000,-69.3388561838386
10004000,-69.3901714301577
10008000,-69.4649837228249
10012000,-69.494820750351
10016000,-69.4929659809322
10020000,-69.4802852537
10024000,-69.512348476763
10028000,-69.6006864544125
10032000,-69.5543142308328
10036000,-69.5140161359787
10040000,-69.4793495548487
10044000,-69.4643631690553
10048000,-69.3975383517911
10052000,-69.2796733210879
10056000,-69.1105294430653
10060000,-68.9930274374027
10064000,-68.8983333276797
10068000,-68.960820218284
10072000,-69.2457109579612
10076000,-69.4609210886601
10080000,-69.5038655810529
10084000,-69.5178851385282
10088000,-69.5093077674517
10092000,-69.466529585295
10096000,-69.2873640546771
10100000,-69.1259100643158
10104000,-69.09082659567
10108000,-69.1641387589587
10112000,-69.2993021046469
10116000,-69.3321913683387
10120000,-69.3722747676107
10124000,-69.4720573099586
10128000,-69.3916935263452
10132000,-69.194207741951
10136000,-68.9581443887665
10140000,-68.8488582914827
10144000,-68.8960828037723
10148000,-69.1612050203922
10152000,-69.5680232528848
10156000,-69.8411084520544
10160000,-70.0429524988715
10164000,-70.1208619388097
10168000,-70.0673193222121
10172000,-69.9394459002882
10176000,-69.8071076775597
10180000,-69.7485626867575
10184000,-69.6695623788968
10188000,-69.4754787243156
10192000,-69.2630787426938
10196000,-68.9344998669077
10200000,-68.5165838792527
10204000,-68.1771188731254
10208000,-68.03478599808
10212000,-68.11290761582
10216000,-68.2298156044806
10220000,-68.0898100903626
10224000,-67.7726177004274
10228000,-67.2561392474486
10232000,-66.4152260161553
10236000,-65.2383887140376
10240000,-63.9749158406268
10244000,-62.9097001003742
10248000,-62.3376559776044
10252000,-62.3463913824753
10256000,-62.7907319579117
10260000,-63.5528783919149
10264000,-64.4020689546722
10268000,-65.148832660943
10272000,-65.927438728835
10276000,-66.7826974521393
10280000,-67.4636520790225
10284000,-68.0211493419095
10288000,-68.4999749081662
10292000,-68.8418151488953
10296000,-69.1498783673005
10300000,-69.3585940684033
10304000,-69.4049049500125
10308000,-69.4412565704265
10312000,-69.4595404253052
10316000,-69.4892732451868
10320000,-69.4744582408974
10324000,-69.403287153754
10328000,-69.3159758296067
10332000,-69.3680568700204
10336000,-69.5464666726858
10340000,-69.7132075808064
10344000,-69.8337267348219
10348000,-69.9562341864552
10352000,-70.0567685714779
10356000,-70.1687470767092
10360000,-70.1310003077624
10364000,-70.1189912933541
10368000,-70.1853785616944
10372000,-70.1423632344052
10376000,-69.8863563747283
10380000,-69.5815875033304
10384000,-69.3800224339814
10388000,-69.3703062679863
10392000,-69.3345975989029
10396000,-69.3309961902486
10400000,-69.3737552549551
10404000,-69.4457792915417
10408000,-69.6230580237173
10412000,-69.861554486814
10416000,-69.7803249517377
10420000,-69.5432795322036
10424000,-69.324210299215
10428000,-69.2145972549143
10432000,-69.3128656516308
10436000,-69.5803922635654
10440000,-69.7858695689086
10444000,-69.8486817683289
10448000,-69.8469924338433
10452000,-69.7550658852149
10456000,-69.5861367660016
10460000,-69.4025088735483
10464000,-69.2988590583168
10468000,-69.1920980679924
10472000,-69.1490517138744
10476000,-69.2442739057785
10480000,-69.4621446507315
10484000,-69.6102855562485
10488000,-69.7188279019552
10492000,-69.8153050889261
10496000,-69.8440519174135
10500000,-69.9103692721539
10504000,-69.9883968207405
10508000,-69.8655712276051
10512000,-69.6898888369936
10516000,-69.6022187282468
10520000,-69.4563840771881
10524000,-69.3648870085007
10528000,-69.3307070680475
10532000,-69.2879704488117
10536000,-69.2535872438926
10540000,-69.2945457919374
10544000,-69.3581287609039
10548000,-69.3755257202351
10552000,-69.4177381979031
10556000,-69.4465901062707
10560000,-69.4135130646976
10564000,-69.3330471402488
10568000,-69.2450748561448
10572000,-69.1582557273785
10576000,-69.1194027704976
10580000,-69.1273751473792
10584000,-69.1297469396704
10588000,-69.1860868932262
10592000,-69.3618785945237
10596000,-69.5311265057314
10600000,-69.588225977506
10604000,-69.615777394767
10608000,-69.8002370684618
10612000,-70.022279656937
10616000,-69.9147165578523
10620000,-69.6438372726926
10624000,-69.3581142845621
10628000,-69.1308147050793
10632000,-68.9853984457786
10636000,-68.842741653484
10640000,-68.8840967406961
10644000,-68.9273958703917
10648000,-68.7708684895519
10652000,-68.6679769687835
10656000,-68.7153798599712
10660000,-68.9578518913167
10664000,-69.3110010890765
10668000,-69.5265766845127
10672000,-69.6125055305611
10676000,-69.5847488365111
10680000,-69.4874683764128
10684000,-69.3480518841957
10688000,-69.2457181434903
10692000,-69.2123651682182
10696000,-69.2687216623669
10700000,-69.4209199930181
10704000,-69.5545046500676
10708000,-69.6981268480777
10712000,-69.7747276557185
10716000,-69.8368866942521
10720000,-69.89534860446
10724000,-69.9390877830551
10728000,-69.9324056671009
10732000,-69.8466495585105
10736000,-69.7357069014551
10740000,-69.6939473574848
10744000,-69.7163019080566
10748000,-69.6239599851745
10752000,-69.5903317474489
10756000,-69.6364460333705
10760000,-69.6328642940045
10764000,-69.6163811586411
