Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.01
Start Frequency,10000000
Stop Frequency,14000000
Average Count,0
Average Type,LogPower(Video)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,10000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,30
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10000000,-65.4571368857424
10004000,-65.4506209309495
10008000,-65.532162951959
10012000,-65.4987617173991
10016000,-65.3601855054094
10020000,-65.2698130466841
10024000,-65.2258055749358
10028000,-65.2205412995118
10032000,-65.207535205291
10036000,-65.229160290884
10040000,-65.3168287503331
10044000,-65.5070274316556
10048000,-65.7042162855012
10052000,-65.792172838252
10056000,-65.7937793118021
10060000,-65.6381343773057
10064000,-65.4437975224166
10068000,-65.2466550141587
10072000,-65.1225655964138
10076000,-64.9624519128028
10080000,-64.8728517248179
10084000,-64.9912424586578
10088000,-65.1372035877365
10092000,-65.1660371936819
10096000,-65.1887833197355
10100000,-65.1353786585623
10104000,-65.0751273798996
10108000,-64.965945000547
10112000,-64.7484343062487
10116000,-64.6075339860442
10120000,-64.6686250610733
10124000,-64.7464507963547
10128000,-64.739695934301
10132000,-64.6926205351388
10136000,-64.5996332892378
10140000,-64.5593808572324
10144000,-64.6323573337334
10148000,-64.7125673138003
10152000,-64.8033257781068
10156000,-64.7985457737918
10160000,-64.741051631177
10164000,-64.6725542230103
10168000,-64.5797195583501
10172000,-64.5109317286036
10176000,-64.5815639815941
10180000,-64.7495088229416
10184000,-64.9319098321482
10188000,-65.0761064294293
10192000,-65.0582393332961
10196000,-64.7746086532171
10200000,-64.3924080909075
10204000,-63.9871937931511
10208000,-63.6401412835985
10212000,-63.4059642000091
10216000,-63.2319069854487
10220000,-63.057976875144
10224000,-62.7791355241007
10228000,-62.3143839792894
10232000,-61.4399294008586
10236000,-60.0416610652899
10240000,-58.5139830693609
10244000,-57.2786952799951
10248000,-56.6136722760163
10252000,-56.6623945892528
10256000,-57.4552866169666
10260000,-58.8535155616453
10264000,-60.5972985714896
10268000,-62.2988783280663
10272000,-63.4955901065407
10276000,-64.0097222201308
10280000,-63.9635558205861
10284000,-63.7422667056968
10288000,-63.6001180759976
10292000,-63.7461733531351
10296000,-64.1553899837429
10300000,-64.5189453661488
10304000,-64.6783218469438
10308000,-64.7615863107246
10312000,-64.8026261142356
10316000,-64.8123866488263
10320000,-64.7999501918653
10324000,-64.965722604625
10328000,-65.062808840278
10332000,-65.0417026271469
10336000,-65.0035980605818
10340000,-64.9453385236659
10344000,-64.8096653020141
10348000,-64.6209306103355
10352000,-64.4811972180813
10356000,-64.3929183034992
10360000,-64.3449238380725
10364000,-64.3324173688813
10368000,-64.3081013273172
10372000,-64.2911201203327
10376000,-64.2086426590205
10380000,-63.969293523062
10384000,-63.699216423755
10388000,-63.6399143512852
10392000,-63.7187180674478
10396000,-63.8846549943477
10400000,-64.1239584564363
10404000,-64.3442107926804
10408000,-64.442823351917
10412000,-64.4676535870356
10416000,-64.4082472264876
10420000,-64.2616904013533
10424000,-64.0755601572107
10428000,-63.9476791986967
10432000,-63.9921605629356
10436000,-64.1158455889099
10440000,-64.3236693796117
10444000,-64.5255102171169
10448000,-64.6788155175109
10452000,-64.6412779744187
10456000,-64.3979520603312
10460000,-63.9325842428693
10464000,-63.4197926965594
10468000,-63.0667407754133
10472000,-63.0370368941791
10476000,-63.348143163476
10480000,-63.7738165545678
10484000,-64.1003337961229
10488000,-64.2633634368555
10492000,-64.3606976202255
10496000,-64.5208929035439
10500000,-64.750097707826
10504000,-65.0103203813868
10508000,-65.1976149256396
10512000,-65.2144194287123
10516000,-65.0527359773821
10520000,-64.5475014160223
10524000,-63.9082541205706
10528000,-63.3954316636965
10532000,-63.1453787318385
10536000,-63.1150650693716
10540000,-63.2073245758699
10544000,-63.4892231952014
10548000,-63.8664749375767
10552000,-64.1351696914038
10556000,-64.2670221926392
10560000,-64.3734803107731
10564000,-64.3873901329203
10568000,-64.2527459848678
10572000,-64.0587206614609
10576000,-63.8324443175099
10580000,-63.7243235890814
10584000,-63.7305941898714
10588000,-63.7443388640283
10592000,-63.753929708392
10596000,-63.7952782881097
10600000,-63.8651705016122
10604000,-63.8670421497785
10608000,-63.7991073345098
10612000,-63.7337448904574
10616000,-63.7900757721491
10620000,-63.9667285587535
10624000,-64.0145834226097
10628000,-63.8655301011012
10632000,-63.6157358235518
10636000,-63.4167607173572
10640000,-63.3300968601607
10644000,-63.2925151993467
10648000,-63.2012995917231
10652000,-63.1771177974465
10656000,-63.1642628988357
10660000,-63.1682486211179
10664000,-63.1428657200857
10668000,-63.0331804106357
10672000,-62.949350365946
10676000,-62.8714064710421
10680000,-62.744114931385
10684000,-62.5808994991228
10688000,-62.6498762027574
10692000,-62.9651088130523
10696000,-63.2963611603632
10700000,-63.4882336836536
10704000,-63.526721343678
10708000,-63.4677249781263
10712000,-63.3040683675799
10716000,-63.0993512414562
10720000,-62.9561609131638
10724000,-62.8771608524681
10728000,-62.8199368838621
10732000,-62.9270727074099
10736000,-63.1163368614593
10740000,-63.2063938712167
10744000,-63.2176771812564
10748000,-63.1949153963117
10752000,-63.1058826639515
10756000,-62.9615211338824
10760000,-62.8699842723435
10764000,-62.9520248798912
