Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.02
Start Frequency,10029283
Stop Frequency,14029283
Average Count,0
Average Type,LogPower(Video)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,10000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,30
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10029283,-66.39895706133
10033283,-66.2642250216998
10037283,-66.0558268272398
10041283,-66.252987474751
10045283,-66.1876246788507
10049283,-65.8345796871976
10053283,-65.8561701395173
10057283,-65.9422444749922
10061283,-65.721207727691
10065283,-65.8391558105048
10069283,-65.8521619911381
10073283,-65.7749356660056
10077283,-65.770569354528
10081283,-65.5800160160557
10085283,-65.2242587945522
10089283,-65.2572794411985
10093283,-65.5193625986148
10097283,-66.1285714329513
10101283,-66.2295042445267
10105283,-66.0437625673335
10109283,-66.1001856821697
10113283,-65.9493398254693
10117283,-65.9750610307774
10121283,-66.2864017243073
10125283,-66.1711685087272
10129283,-65.8340466361892
10133283,-65.4224581545654
10137283,-65.4174194981163
10141283,-65.5094823890334
10145283,-65.6227535002429
10149283,-65.8802574110318
10153283,-66.1204009875761
10157283,-66.5506234967873
10161283,-66.3817614678172
10165283,-65.9860787252565
10169283,-65.8149775377147
10173283,-66.0700680749003
10177283,-65.7991980365684
10181283,-65.6172425923059
10185283,-65.6323981412696
10189283,-65.8189038935163
10193283,-65.884122456888
10197283,-65.8494240980665
10201283,-65.2764436999768
10205283,-65.2273305466345
10209283,-65.6642648534161
10213283,-65.4326499999934
10217283,-64.9713348815015
10221283,-64.389938875384
10225283,-63.2260057658786
10229283,-62.2424078179321
10233283,-62.4632058726572
10237283,-63.5499153618192
10241283,-63.7044848724135
10245283,-62.6638026936818
10249283,-61.8249709455245
10253283,-62.4131409201801
10257283,-63.8068057826319
10261283,-64.4154595807497
10265283,-64.339955359669
10269283,-64.3568452546342
10273283,-64.8572884121038
10277283,-65.4111782978932
10281283,-64.9676029451574
10285283,-63.9288518546246
10289283,-63.3448576105693
10293283,-64.2742471234862
10297283,-65.181340051168
10301283,-65.7882577100151
10305283,-66.4047532134071
10309283,-66.6628023756313
10313283,-66.786984312643
10317283,-66.445136034117
10321283,-65.9041199642709
10325283,-65.7180774826282
10329283,-65.7197869809769
10333283,-65.5353922324362
10337283,-65.3336699938507
10341283,-65.6203102969689
10345283,-66.3627718634465
10349283,-66.7320286399876
10353283,-66.3687725465673
10357283,-65.9091984459872
10361283,-65.5500889304174
10365283,-65.6991690855732
10369283,-65.8863615968617
10373283,-65.7391655686279
10377283,-65.558211062461
10381283,-65.3642081521675
10385283,-65.0393620765102
10389283,-64.7865767507781
10393283,-65.3265028349703
10397283,-65.9888107661179
10401283,-66.1916103658446
10405283,-66.062960567776
10409283,-66.216481245078
10413283,-65.9661505164321
10417283,-65.5519033466722
10421283,-65.1520526601102
10425283,-64.8057189456797
10429283,-65.0849888717269
10433283,-65.5172906163938
10437283,-65.4123122528202
10441283,-65.3080144466935
10445283,-65.3966667124752
10449283,-65.9887260788796
10453283,-66.4076562755488
10457283,-66.4527664158652
10461283,-65.5911257877334
10465283,-64.6590283882152
10469283,-64.2576158121949
10473283,-64.580154055438
10477283,-64.9989329709744
10481283,-65.0703442196087
10485283,-65.5484601731759
10489283,-66.2319723662755
10493283,-66.5987389301467
10497283,-66.4962490310976
10501283,-66.2134701444637
10505283,-65.8659343171225
10509283,-65.7584499453955
10513283,-65.878538101697
10517283,-65.922239019311
10521283,-65.2938818328752
10525283,-64.7148807276004
10529283,-64.5905943337029
10533283,-64.8500287366239
10537283,-65.1297943065011
10541283,-64.9996964187519
10545283,-64.9962847000589
10549283,-65.2658499931335
10553283,-65.6626872973699
10557283,-65.4306123288724
10561283,-65.0293547075805
10565283,-64.9260697471375
10569283,-65.2645847670228
10573283,-65.8198424838896
10577283,-66.2649962155351
10581283,-65.8269074387067
10585283,-65.6570487184065
10589283,-65.6635770019703
10593283,-65.4620274336162
10597283,-65.2296473862354
10601283,-64.8715944715243
10605283,-64.9134363773407
10609283,-65.2075224080047
10613283,-65.7500426997813
10617283,-65.8806717473187
10621283,-65.6765481252458
10625283,-65.7927640977423
10629283,-65.6086312641847
10633283,-65.5007383716168
10637283,-65.1316136384772
10641283,-65.0233009553512
10645283,-65.1505815539266
10649283,-65.5699769192425
10653283,-65.8976320303388
10657283,-65.7758256702349
10661283,-65.6852772444312
10665283,-65.9161977020933
10669283,-65.8475952998381
10673283,-65.755769880765
10677283,-65.3910865927017
10681283,-64.5673815362364
10685283,-64.1825081697207
10689283,-64.0942878214317
10693283,-64.4602622025836
10697283,-64.9860086946075
10701283,-65.0681650838476
10705283,-64.9844005878209
10709283,-64.751176095224
10713283,-64.5508501775765
10717283,-64.6286924449505
10721283,-64.9834246273133
10725283,-65.2203702838587
10729283,-65.1032153444381
10733283,-65.2380273377924
10737283,-65.0742020395511
10741283,-65.0614423762159
10745283,-65.3668184367939
10749283,-65.7529704185021
10753283,-65.9213839396844
10757283,-65.8633475125719
10761283,-65.5989933413105
10765283,-65.1447415642486
10769283,-64.9946101237048
10773283,-65.2048588983189
10777283,-65.3566975704492
10781283,-65.3555581068489
10785283,-65.231288808963
10789283,-65.4732414120802
10793283,-65.5652779362625
