Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.01
Start Frequency,10000000
Stop Frequency,14000000
Average Count,0
Average Type,LogPower(Video)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,10000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,30
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10000000,-64.6409642154874
10004000,-64.5379192211995
10008000,-64.4430402896496
10012000,-64.2070970334037
10016000,-64.0551121514486
10020000,-64.1234602475975
10024000,-64.248013952877
10028000,-64.3774403451105
10032000,-64.5116125469752
10036000,-64.5895214414414
10040000,-64.7118056325865
10044000,-64.7892115295426
10048000,-64.5971427101787
10052000,-64.3029235806858
10056000,-64.0361652739783
10060000,-63.9237806798609
10064000,-63.944683585828
10068000,-64.0095859996022
10072000,-64.2323019430321
10076000,-64.5502720089218
10080000,-64.7965233350178
10084000,-64.8765930992053
10088000,-64.7846829050461
10092000,-64.7165992088788
10096000,-64.704793145078
10100000,-64.6051692079064
10104000,-64.377757390461
10108000,-64.2572107275711
10112000,-64.2615793262495
10116000,-64.2877028993172
10120000,-64.3525014452287
10124000,-64.3990542053839
10128000,-64.3525283254542
10132000,-64.1587304280235
10136000,-63.8304897240945
10140000,-63.6681379465668
10144000,-63.8420933779915
10148000,-64.3354501826384
10152000,-64.8331743759008
10156000,-65.0835419567654
10160000,-64.9806372319604
10164000,-64.618931783324
10168000,-64.2271040510002
10172000,-63.8989766539514
10176000,-63.7002743226402
10180000,-63.6932328950638
10184000,-63.9047467212971
10188000,-64.1672807495233
10192000,-64.2701180456471
10196000,-64.2383908300158
10200000,-64.1016493912817
10204000,-63.9005526460089
10208000,-63.6650439945541
10212000,-63.342960577215
10216000,-62.8058442540398
10220000,-62.2919959830088
10224000,-61.887697365088
10228000,-61.5846325014011
10232000,-61.5425471218835
10236000,-61.7465879821133
10240000,-61.842695841469
10244000,-61.5731157595595
10248000,-61.3136341275594
10252000,-61.4206760702821
10256000,-61.9486226841811
10260000,-62.5503432087758
10264000,-63.0315461564749
10268000,-63.3947630877627
10272000,-63.6446410043922
10276000,-63.8055387898627
10280000,-63.7346021919232
10284000,-63.4694585068782
10288000,-63.2477176754439
10292000,-63.1086735998549
10296000,-63.1171411497864
10300000,-63.2484135181308
10304000,-63.5652555215926
10308000,-63.9099907021488
10312000,-64.2329377648343
10316000,-64.4378386607889
10320000,-64.414413346523
10324000,-64.2921316022779
10328000,-64.0750480692496
10332000,-63.8626650000454
10336000,-63.7006836850308
10340000,-63.6504744535766
10344000,-63.8051995081346
10348000,-63.9820137852468
10352000,-64.1326540504974
10356000,-64.2316840492635
10360000,-64.2559230668038
10364000,-64.251616666681
10368000,-64.2225361871993
10372000,-64.126280275051
10376000,-63.8867297780951
10380000,-63.5608211987623
10384000,-63.3203262233304
10388000,-63.2787007595501
10392000,-63.4578949547038
10396000,-63.7153889065968
10400000,-63.8293865880665
10404000,-63.6504894996691
10408000,-63.3486059402866
10412000,-63.0885141564634
10416000,-62.8550753460742
10420000,-62.5811222251802
10424000,-62.4304504689183
10428000,-62.4254829352594
10432000,-62.5380361214468
10436000,-62.5455615826864
10440000,-62.6665163944845
10444000,-62.935292357706
10448000,-63.1843137271446
10452000,-63.3059029439282
10456000,-63.2545779168805
10460000,-63.0864136181818
10464000,-62.8519120556065
10468000,-62.705897258973
10472000,-62.8610946209561
10476000,-63.2561646989315
10480000,-63.598313818831
10484000,-63.8661718526457
10488000,-64.0121311531006
10492000,-63.8294986038439
10496000,-63.4923659377128
10500000,-63.3015425103419
10504000,-63.2807699970006
10508000,-63.5114552199777
10512000,-63.8291172214096
10516000,-63.9328715491635
10520000,-63.8895393130107
10524000,-63.7434330405707
10528000,-63.4637516613657
10532000,-63.1455527861923
10536000,-62.9891738575254
10540000,-63.0725288103393
10544000,-63.3003122017698
10548000,-63.475963525191
10552000,-63.5712260394891
10556000,-63.5829172303356
10560000,-63.5944407988562
10564000,-63.5655544095349
10568000,-63.4165267077676
10572000,-63.1971033202483
10576000,-63.0363764666256
10580000,-63.120842737055
10584000,-63.3161988770951
10588000,-63.4315083475401
10592000,-63.4174223062878
10596000,-63.3343052189121
10600000,-63.2960885674769
10604000,-63.3026534729834
10608000,-63.2268681565025
10612000,-63.1953745983378
10616000,-63.1621397272434
10620000,-63.0954025482412
10624000,-63.0746600543636
10628000,-63.1147207449244
10632000,-63.0750290591942
10636000,-63.0938053969703
10640000,-63.1708951559665
10644000,-63.1537271117641
10648000,-63.0039213777723
10652000,-62.7253717934268
10656000,-62.4169541559625
10660000,-62.1854742157393
10664000,-62.0854726978037
10668000,-62.2222695174864
10672000,-62.571106858316
10676000,-62.9549926057193
10680000,-63.0210304872805
10684000,-62.7653267350416
10688000,-62.3592966361668
10692000,-61.960578928548
10696000,-61.6978842246533
10700000,-61.6299548364681
10704000,-61.7522230074632
10708000,-62.0549362408892
10712000,-62.5024510810617
10716000,-62.748531886399
10720000,-62.7675107493101
10724000,-62.6256356262627
10728000,-62.3968372713408
10732000,-62.2598658119398
10736000,-62.2030121684723
10740000,-62.2752650934608
10744000,-62.3707605284142
10748000,-62.4948607102716
10752000,-62.5508386665576
10756000,-62.5272459329058
10760000,-62.5650581208557
10764000,-62.7061210120707
