Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.01
Start Frequency,10000000
Stop Frequency,14000000
Average Count,0
Average Type,LogPower(Video)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,10000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,30
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10000000,-64.6760960273401
10004000,-64.5725792358804
10008000,-64.3482520048473
10012000,-64.2328536238162
10016000,-64.2662278509161
10020000,-64.3730384634601
10024000,-64.5597808798542
10028000,-64.7117982426543
10032000,-64.7529370586996
10036000,-64.7463117559265
10040000,-64.8645472801528
10044000,-65.0220485219918
10048000,-65.0017737827623
10052000,-64.9415431875982
10056000,-64.8691218223745
10060000,-64.7910221387054
10064000,-64.6860221717492
10068000,-64.5115578849421
10072000,-64.4518680149853
10076000,-64.5175274160411
10080000,-64.590625678856
10084000,-64.5675383394983
10088000,-64.5384848725841
10092000,-64.5346607678226
10096000,-64.6191169349504
10100000,-64.6062233965634
10104000,-64.5254204379833
10108000,-64.4564926486275
10112000,-64.45773430854
10116000,-64.4258605171978
10120000,-64.4317700629548
10124000,-64.5943581700179
10128000,-64.7448442698266
10132000,-64.5705496785893
10136000,-64.2263885367086
10140000,-64.0373270427473
10144000,-64.0752452171255
10148000,-64.30099647589
10152000,-64.6319179341668
10156000,-64.8055239235412
10160000,-64.6834052268061
10164000,-64.3729298044219
10168000,-64.1286317340708
10172000,-64.0580388315555
10176000,-64.1666286119737
10180000,-64.2428214558432
10184000,-64.2220243885279
10188000,-64.0580486748802
10192000,-63.6261429811063
10196000,-63.1090581384118
10200000,-62.7031556829792
10204000,-62.4652446349712
10208000,-62.33926721914
10212000,-62.0524687351201
10216000,-61.5202760369712
10220000,-60.7449199085737
10224000,-59.9466876975644
10228000,-59.4650777076003
10232000,-59.494821783601
10236000,-59.9270739898437
10240000,-60.23301586374
10244000,-60.255752078099
10248000,-60.3236402143429
10252000,-60.656895427227
10256000,-61.2753184833113
10260000,-62.0770416517868
10264000,-62.9121237381033
10268000,-63.5256919451501
10272000,-63.7937698660087
10276000,-63.7620105302859
10280000,-63.4191839945911
10284000,-63.0135093397386
10288000,-62.6604383503062
10292000,-62.531815712862
10296000,-62.6824535082053
10300000,-63.035042012989
10304000,-63.427397635435
10308000,-63.7311268815477
10312000,-63.8144576185918
10316000,-63.7841670626713
10320000,-63.7030092873192
10324000,-63.5733487759304
10328000,-63.5403310023043
10332000,-63.5889168416909
10336000,-63.7261760087482
10340000,-63.9799634815781
10344000,-64.2452502134265
10348000,-64.4399830926803
10352000,-64.5339057094635
10356000,-64.4677207907376
10360000,-64.2912879089188
10364000,-64.1793498219259
10368000,-64.1076508477717
10372000,-63.997179163738
10376000,-63.7411321229696
10380000,-63.3783078971718
10384000,-63.0937313149018
10388000,-63.0386990599296
10392000,-63.2439451742039
10396000,-63.7162149606025
10400000,-64.0983251918425
10404000,-64.3222612768287
10408000,-64.4499116477073
10412000,-64.3407643761648
10416000,-64.0410386562441
10420000,-63.5755475873689
10424000,-63.0372146853191
10428000,-62.5845801518464
10432000,-62.2287358902949
10436000,-62.0836206604368
10440000,-62.2541445335024
10444000,-62.653591719475
10448000,-63.1688006724226
10452000,-63.6786097170589
10456000,-63.8740672743424
10460000,-63.7107190480029
10464000,-63.2644947101402
10468000,-63.0093355321748
10472000,-63.0612249906669
10476000,-63.1876202819821
10480000,-63.3264260651223
10484000,-63.4402649527569
10488000,-63.4133978371773
10492000,-63.3135199807779
10496000,-63.1769114331656
10500000,-63.1144260819394
10504000,-63.1973825263023
10508000,-63.3609243731244
10512000,-63.4843859403802
10516000,-63.4872833686946
10520000,-63.208936467119
10524000,-62.8203664983903
10528000,-62.446020784235
10532000,-62.246134616617
10536000,-62.3711356334587
10540000,-62.7283734262098
10544000,-63.0452067142636
10548000,-63.2119674347439
10552000,-63.1178716789101
10556000,-62.9079297974728
10560000,-62.7053607472907
10564000,-62.5446711374988
10568000,-62.560289425417
10572000,-62.6451885849535
10576000,-62.7296075122132
10580000,-62.9748881173941
10584000,-63.2703096693602
10588000,-63.4692282976337
10592000,-63.4620970605823
10596000,-63.3177997042739
10600000,-63.1652772869879
10604000,-63.0001952863003
10608000,-62.9260876535131
10612000,-62.8588242446417
10616000,-62.9097494311412
10620000,-63.0814676881903
10624000,-63.2853726480128
10628000,-63.5274398666552
10632000,-63.6823867305102
10636000,-63.6396701415476
10640000,-63.5532074055157
10644000,-63.4970184605332
10648000,-63.3772655104598
10652000,-63.0382460459941
10656000,-62.6038510387413
10660000,-62.2404338036644
10664000,-62.0786102115687
10668000,-62.064470685757
10672000,-62.1808325284652
10676000,-62.2408655710692
10680000,-62.0732069479377
10684000,-61.8186022674197
10688000,-61.6590184803728
10692000,-61.7236389658903
10696000,-62.0006938201629
10700000,-62.2721793832097
10704000,-62.4230961703705
10708000,-62.6947451202648
10712000,-62.9396779416819
10716000,-62.9557529842194
10720000,-62.7346923012538
10724000,-62.3749598437349
10728000,-62.1374752774809
10732000,-62.2490688140552
10736000,-62.4845054509921
10740000,-62.6214242965289
10744000,-62.6651770230371
10748000,-62.7104705675492
10752000,-62.6743229878628
10756000,-62.596932418744
10760000,-62.5060699483904
10764000,-62.4745061735524
