Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.001
Start Frequency,0
Stop Frequency,20000000
Average Count,0
Average Type,LogPower(Video)
RBW,180000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,180000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext1
Trigger Level,0.5
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
0,27.8394658815573
20000,24.3490657621135
40000,19.7989070656407
60000,16.6305320524696
80000,13.9816582987817
100000,11.4843411808419
120000,8.99109749564649
140000,6.42411121301162
160000,3.73505082710903
180000,0.880024261267717
200000,-2.18615436873684
220000,-5.5205360376025
240000,-9.05903457181469
260000,-12.7987448939055
280000,-16.8260396844976
300000,-21.1146364334647
320000,-25.3744489213832
340000,-29.8004906290503
360000,-35.1162290165125
380000,-40.6086672486335
400000,-45.838735600626
420000,-52.879131688813
440000,-60.2256556684989
460000,-62.6890083195518
480000,-66.9575663984836
500000,-75.4066007492918
520000,-70.5203946063481
540000,-70.6007076749653
560000,-71.473987904548
580000,-77.282806722029
600000,-79.8279491429865
620000,-79.5895680602875
640000,-75.5282339348778
660000,-75.4655120452619
680000,-74.997496993803
700000,-73.3328631976587
720000,-71.7602818943099
740000,-71.0692879314597
760000,-70.3456406270321
780000,-69.261715593834
800000,-68.6082747748276
820000,-68.6765682663711
840000,-68.9602962167289
860000,-69.8503567816042
880000,-71.2920973104628
900000,-73.4882417098268
920000,-76.9981897973342
940000,-79.7159594980695
960000,-77.518238540711
980000,-76.468904391134
1000000,-76.0703119368859
1020000,-76.1245416626695
1040000,-76.0419395727369
1060000,-76.1531915917754
1080000,-76.6112854756959
1100000,-78.6039932331046
1120000,-81.5147301754041
1140000,-82.0145004400856
1160000,-80.4705437456431
1180000,-78.9747460556648
1200000,-77.6630778465946
1220000,-77.6684059806006
1240000,-78.5282912373139
1260000,-82.5815420884311
1280000,-88.6052979286399
1300000,-90.8050631984173
1320000,-88.8764783730188
1340000,-88.420804248274
1360000,-68.6991743772257
1380000,-58.045573874975
1400000,-51.0352484450897
1420000,-47.8746884058324
1440000,-47.7329782291382
1460000,-48.7509425314072
1480000,-53.526059022877
1500000,-62.7795923492746
1520000,-76.1575116625771
1540000,-78.1902635971578
1560000,-66.0269898155871
1580000,-57.6080210894707
1600000,-51.5223184887819
1620000,-48.6936533835829
1640000,-48.5824556166842
1660000,-49.6195894234104
1680000,-54.2574904690779
1700000,-62.6595110580393
1720000,-72.9586178347482
1740000,-80.4107449691154
1760000,-85.5581423284766
1780000,-88.8633590714848
1800000,-83.2749525778959
1820000,-81.2705389910703
1840000,-80.4473924354396
1860000,-79.9980884390176
1880000,-79.4522926574077
1900000,-79.2712428813832
1920000,-79.3373728747818
1940000,-79.674223543719
1960000,-79.9982950092808
1980000,-79.4224589194979
2000000,-78.6653409442112
2020000,-78.5596963598214
2040000,-78.884277528634
2060000,-81.2239536280693
2080000,-84.6589296907313
2100000,-84.2818080619226
2120000,-84.2200101188814
2140000,-84.5441072337534
2160000,-86.5593636700779
2180000,-92.719504047073
2200000,-90.4568035530513
2220000,-90.0760677550293
2240000,-88.2325343034983
2260000,-87.830687284583
2280000,-83.7279455771446
2300000,-79.9681074565234
2320000,-78.0014615651298
2340000,-77.7195775308525
2360000,-77.8969211608685
2380000,-79.2011544014133
2400000,-81.1553977674176
2420000,-82.0702895540495
2440000,-82.2045394821356
2460000,-82.7353643138907
2480000,-83.3217650281655
2500000,-84.205465334958
2520000,-86.3624719234078
2540000,-89.0754975127751
2560000,-90.2828107233652
2580000,-90.3724683118545
2600000,-91.2925520414724
2620000,-94.9258157638289
2640000,-100.655575699724
2660000,-102.262645175308
2680000,-87.8926707827402
2700000,-84.3274012683269
2720000,-84.1103429148427
2740000,-85.3875045011683
2760000,-92.7697228136984
2780000,-93.9949987157921
2800000,-84.7334210025108
2820000,-83.7314314746972
2840000,-83.79907232854
2860000,-85.0173574831762
2880000,-84.2374997122661
2900000,-84.1209563744891
2920000,-83.5362590039248
2940000,-83.8644419416387
2960000,-84.0537362147913
2980000,-84.2935988193531
3000000,-85.7311905493528
3020000,-88.6239089301283
3040000,-90.9701198414575
3060000,-91.6657914959789
3080000,-91.7169763664825
3100000,-91.1694097641142
3120000,-85.3848315176261
3140000,-87.3268741042187
3160000,-85.4599796275294
3180000,-90.561915839557
3200000,-88.6251248421376
3220000,-88.3643257291281
3240000,-84.6669786507242
3260000,-84.0710838717677
3280000,-84.0889679247176
3300000,-83.7799169431823
3320000,-82.9113691259054
3340000,-82.8421451061206
3360000,-83.3161649339157
3380000,-85.4126465535099
3400000,-87.4605120796331
3420000,-87.7507934835124
3440000,-85.8248946392713
3460000,-85.5384599814146
3480000,-82.4152402982059
3500000,-83.7118394052964
3520000,-82.4747819393851
3540000,-94.6675460764901
3560000,-77.0993867282844
3580000,-75.5571789165378
3600000,-58.0891531825927
3620000,-54.7094669662894
3640000,-54.4482981142186
3660000,-55.3170752143941
3680000,-59.846596378308
3700000,-68.3556640762751
3720000,-79.7402436325539
3740000,-89.3346346596951
3760000,-74.0193708730899
3780000,-64.4644992307717
3800000,-57.9667629795477
3820000,-55.0135096859776
3840000,-54.8521673093395
3860000,-55.9005020952067
3880000,-60.7389606376861
3900000,-69.8692623886351
3920000,-80.9892623009275
