Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.44
Start Frequency,0
Stop Frequency,20000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext1
Trigger Level,0.5
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
0,27.6889343558473
20000,-28.3193114719215
40000,-39.1663216009344
60000,-41.4806378325067
80000,-43.0530086468596
100000,-45.9970839174695
120000,-49.1435791075433
140000,-52.8406769005164
160000,-54.454329267614
180000,-60.7710473556636
200000,-64.1972821617521
220000,-63.1805720656243
240000,-58.0433866135673
260000,-57.457850422521
280000,-61.1543914987236
300000,-75.2390305485082
320000,-62.1354900829112
340000,-58.0221241562839
360000,-58.772507435808
380000,-62.9318539007143
400000,-80.3044753092913
420000,-62.9079414335006
440000,-59.320846912401
460000,-59.769393084208
480000,-64.7684275860248
500000,-80.5651223181903
520000,-64.4852009698715
540000,-60.6079884947098
560000,-60.9515027599377
580000,-65.1719693677247
600000,-85.9281262416637
620000,-65.4690989245622
640000,-61.7456960988487
660000,-61.8781403242235
680000,-66.591895311314
700000,-85.9794416376515
720000,-66.5725714966825
740000,-62.7698704833188
760000,-63.0284491435482
780000,-67.4299886113005
800000,-86.4141534452483
820000,-67.4964140799921
840000,-63.5507954674311
860000,-63.8814699393466
880000,-68.5424274604546
900000,-87.3971612386787
920000,-68.3826532312613
940000,-64.2800798703398
960000,-64.3972990769395
980000,-68.7682491347078
1000000,-88.1002836202315
1020000,-68.5977647086417
1040000,-64.8831239468786
1060000,-65.2921115498144
1080000,-69.6250947611509
1100000,-89.0256965193112
1120000,-69.2644717517087
1140000,-65.6080534200687
1160000,-65.774069807315
1180000,-69.6470388389167
1200000,-90.2122769954044
1220000,-69.9795687733453
1240000,-66.1740905261121
1260000,-66.4579878754671
1280000,-70.8977432096196
1300000,-89.6163601210142
1320000,-70.2037902435249
1340000,-66.6062393091105
1360000,-66.6393137723345
1380000,-71.2151018776516
1400000,-90.5744404793821
1420000,-70.8792121002727
1440000,-66.9818226210115
1460000,-67.1762999157316
1480000,-71.3334613416355
1500000,-91.7695305475374
1520000,-71.3556665810658
1540000,-67.1404581217868
1560000,-67.3261432932421
1580000,-71.8829308682716
1600000,-90.0926979510557
1620000,-71.3974592116069
1640000,-67.4234237714938
1660000,-67.7177894299103
1680000,-72.2637856860081
1700000,-91.6843762071553
1720000,-71.4370151009843
1740000,-67.6055161928212
1760000,-67.8053259250528
1780000,-72.6475174622172
1800000,-89.7379777934978
1820000,-71.6138100783158
1840000,-67.7260258736139
1860000,-68.2279520240031
1880000,-72.4872730321608
1900000,-91.6911065488939
1920000,-71.9232793713624
1940000,-67.9614487246078
1960000,-68.2976460447113
1980000,-72.7860974726603
2000000,-91.7512166783115
2020000,-72.0614779158919
2040000,-68.0567195698498
2060000,-68.1583237596008
2080000,-72.5142712388971
2100000,-90.0914301298266
2120000,-72.1622571964366
2140000,-68.1954470225821
2160000,-68.4380260431301
2180000,-72.8154328945384
2200000,-89.2858090130902
2220000,-72.0897091989477
2240000,-68.1303742203925
2260000,-68.2739446043683
2280000,-72.9756898728904
2300000,-89.5806753232034
2320000,-71.9225328849747
2340000,-68.1124557129588
2360000,-68.3368451222278
2380000,-72.8661987610697
2400000,-90.3400201605469
2420000,-71.8893244554518
2440000,-68.1351697421218
2460000,-68.3422780386407
2480000,-72.5667344721992
2500000,-89.1056265524791
2520000,-71.6228143958736
2540000,-67.8776089633701
2560000,-68.1051156520471
2580000,-72.4566691188438
2600000,-89.1663571327469
2620000,-71.3961197333639
2640000,-67.651729947805
2660000,-67.9793389919144
2680000,-72.3497696177312
2700000,-89.0509328026526
2720000,-71.3034347875826
2740000,-67.5007282914529
2760000,-67.5106966693259
2780000,-72.1841240362321
2800000,-87.9319513920326
2820000,-70.6979053178601
2840000,-67.1262126650861
2860000,-67.3739687057373
2880000,-71.8498503799014
2900000,-88.33997819594
2920000,-70.3410563355513
2940000,-66.7851905990139
2960000,-66.9947153153438
2980000,-71.5024739534359
3000000,-87.6941526132043
3020000,-70.0499280170179
3040000,-66.1976203353098
3060000,-66.4933922437248
3080000,-71.1394258464059
3100000,-86.6903138557751
3120000,-69.6514710327161
3140000,-65.6153298776234
3160000,-65.7830384049461
3180000,-70.4324342371533
3200000,-86.1904964931313
3220000,-68.824089890308
3240000,-65.0815390372344
3260000,-65.2300226075895
3280000,-69.733302698132
3300000,-86.0722907440568
3320000,-67.9009106742253
3340000,-64.1215925379977
3360000,-64.2780867672705
3380000,-68.6987568021581
3400000,-83.6753360625175
3420000,-66.9237600702167
3440000,-62.9962869225383
3460000,-63.1707739247896
3480000,-67.6971774075712
3500000,-82.6473006512531
3520000,-65.4907378741051
3540000,-61.7423352444161
3560000,-61.7491978126726
3580000,-66.2629044824747
3600000,-80.846019423602
3620000,-63.857498526843
3640000,-59.8585903794646
3660000,-59.9011834538105
3680000,-64.2605582247873
3700000,-78.4814898393867
3720000,-61.6531857536174
3740000,-57.3876095584902
3760000,-57.2327191977064
3780000,-61.2599598724036
3800000,-75.5244273915814
3820000,-58.0007566468058
3840000,-53.5787415879435
3860000,-53.0136370271252
3880000,-56.3725140951471
3900000,-69.5436412683152
