Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.44
Start Frequency,0
Stop Frequency,20000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext1
Trigger Level,0.5
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
0,27.7167760405979
20000,-26.1631776546603
40000,-36.0373582426582
60000,-41.1962761516996
80000,-46.0189716579485
100000,-47.5024108297349
120000,-49.0391488775915
140000,-50.5706812179419
160000,-53.3232370665636
180000,-59.3472769046532
200000,-64.3041788049957
220000,-56.8441315073705
240000,-54.6868405239168
260000,-55.1484799345544
280000,-59.0413213909248
300000,-74.243802771639
320000,-56.3108361694094
340000,-52.5283586696089
360000,-52.5345115660782
380000,-56.8245992769751
400000,-66.3218931836328
420000,-51.4251389131684
440000,-46.4429142881492
460000,-44.1613052594541
480000,-44.6617572527091
500000,-24.5552191316035
520000,-40.7739409201447
540000,-44.4002368160613
560000,-49.5651277677562
580000,-58.282045447447
600000,-68.345557300731
620000,-58.4975258318827
640000,-57.3966470521634
660000,-60.3460420588864
680000,-68.0625594687963
700000,-74.2419249867505
720000,-65.2564939009467
740000,-64.0553941282556
760000,-66.0882848165355
780000,-73.8315080926463
800000,-78.5048007224202
820000,-70.1551676783728
840000,-68.757013107573
860000,-71.1439510698224
880000,-78.202608654983
900000,-82.3103150017844
920000,-73.3051430211665
940000,-72.6693484296991
960000,-74.7191584687463
980000,-83.7793461024655
1000000,-83.1049801107182
1020000,-77.2959266410858
1040000,-75.1924123738776
1060000,-78.0705994741401
1080000,-84.9379926576718
1100000,-84.8265322762227
1120000,-79.5563262619844
1140000,-78.8646445521485
1160000,-80.998922391164
1180000,-89.2803057624404
1200000,-87.9488204372357
1220000,-82.0372210177072
1240000,-80.1862572789739
1260000,-83.5886220038959
1280000,-93.4921990104242
1300000,-90.3958230253535
1320000,-82.7812855391464
1340000,-81.0607462347731
1360000,-85.6627347933628
1380000,-97.7201494963622
1400000,-89.5241932338649
1420000,-83.9052610877015
1440000,-85.4136558418795
1460000,-87.1670222826818
1480000,-94.7572635106472
1500000,-91.4480809865489
1520000,-86.39941766327
1540000,-86.3752260014678
1560000,-92.5052400430294
1580000,-99.9773132995495
1600000,-93.7726360777965
1620000,-88.9663598732438
1640000,-89.0792298018408
1660000,-91.4706689216166
1680000,-100.063104922928
1700000,-94.0536396240989
1720000,-89.8363060459974
1740000,-89.4267310527268
1760000,-93.4805922173948
1780000,-96.9157902515005
1800000,-92.9981685879789
1820000,-88.9148874386996
1840000,-90.6381929333611
1860000,-95.5930828630462
1880000,-100.88297611456
1900000,-95.0847250253431
1920000,-91.1612715894255
1940000,-90.4078291199263
1960000,-97.1675995772303
1980000,-101.021498435547
2000000,-98.8749630392675
2020000,-93.0633583321539
2040000,-93.0299013334093
2060000,-96.315087655245
2080000,-98.0026460948834
2100000,-95.5484761298799
2120000,-92.9585591776134
2140000,-93.6037270677729
2160000,-98.4804324931118
2180000,-100.315614721553
2200000,-94.7783379352635
2220000,-95.3835698369117
2240000,-94.0899514363012
2260000,-100.610309519209
2280000,-100.264457771709
2300000,-94.8329319382272
2320000,-96.6284195452083
2340000,-96.7564171979977
2360000,-97.8259035215416
2380000,-101.75253743548
2400000,-101.427595087581
2420000,-95.2039226677527
2440000,-100.375034121218
2460000,-98.5340383094478
2480000,-100.377897786366
2500000,-102.507872470783
2520000,-95.5475176883691
2540000,-99.3254254509982
2560000,-100.267699672353
2580000,-96.9287583900728
2600000,-96.0982963404813
2620000,-98.0141952283649
2640000,-100.046006546273
2660000,-100.197302489772
2680000,-101.214023569869
2700000,-100.405674403383
2720000,-97.6405988869638
2740000,-98.9199484303592
2760000,-101.666457935442
2780000,-101.487891194157
2800000,-98.90010613356
2820000,-96.8392842936428
2840000,-99.1282984243432
2860000,-101.244677717833
2880000,-100.207129427653
2900000,-99.3984018237582
2920000,-99.8742872013772
2940000,-101.86054818085
2960000,-100.218175122103
2980000,-100.791410058817
3000000,-99.7617132596084
3020000,-95.744147064986
3040000,-98.6286925784149
3060000,-103.022168198095
3080000,-100.929316998046
3100000,-103.097672013536
3120000,-98.4193336222884
3140000,-100.492731251666
3160000,-100.125125205972
3180000,-101.042856738378
3200000,-101.440486634245
3220000,-98.4613926164751
3240000,-100.333158237422
3260000,-102.42074451539
3280000,-98.0092114474775
3300000,-102.403751254413
3320000,-97.440862391015
3340000,-100.726877748788
3360000,-96.4497259126517
3380000,-102.984467293115
3400000,-96.4256065025594
3420000,-99.3962084291778
3440000,-99.1810727199758
3460000,-106.29253720406
3480000,-101.654318969907
3500000,-100.423266010484
3520000,-99.5022258983081
3540000,-100.232823071238
3560000,-101.453101847251
3580000,-106.727543994283
3600000,-100.139504824881
3620000,-102.30586801326
3640000,-102.340200237714
3660000,-104.23198329912
3680000,-102.826742791643
3700000,-102.403104564304
3720000,-100.39240962024
3740000,-102.549382464265
3760000,-107.3252170398
3780000,-101.386000214691
3800000,-101.650509827469
3820000,-96.0810298627755
3840000,-104.430849506165
3860000,-100.134060568353
3880000,-101.462035728919
3900000,-98.8274090120314
3920000,-102.046353226371
3940000,-100.477796783636
3960000,-102.586272393098
3980000,-101.067107738985
