Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.11
Start Frequency,0
Stop Frequency,80000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,91000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext1
Trigger Level,0.5
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
0,12.2531540574178
80000,-4.89096796769696
160000,-39.0871791421097
240000,-39.2318895541971
320000,-38.624835409524
400000,-51.4294746909754
480000,-54.2412704118712
560000,-32.7647217250277
640000,-27.5749068920024
720000,-47.829443034939
800000,-51.4219528757924
880000,-28.9804956740124
960000,-27.0680243766556
1040000,-52.3034454661424
1120000,-54.0492928335727
1200000,-26.0811950707311
1280000,-25.1570614882072
1360000,-48.7041929512811
1440000,-48.5725762662523
1520000,-25.2243734660296
1600000,-25.4590793162752
1680000,-55.3153850407821
1760000,-57.1478563586565
1840000,-25.6496142961129
1920000,-26.1091712732397
2000000,-48.1493549496796
2080000,-47.0323065605289
2160000,-24.6243161945452
2240000,-26.1600411602203
2320000,-56.7173869789475
2400000,-52.9211701091765
2480000,-24.8892648357963
2560000,-28.9214231498518
2640000,-50.543177683161
2720000,-42.8887389372865
2800000,-24.5897844635183
2880000,-31.5581958908668
2960000,-55.3939480845956
3040000,-47.6413513971117
3120000,-30.577334054351
3200000,-37.184779908782
3280000,-49.6778833920778
3360000,-38.1426878960366
3440000,-27.1834373280414
3520000,-42.8961914519055
3600000,-52.5234339235758
3680000,-35.6417160293941
3760000,-30.8267891806584
3840000,-43.870782418024
3920000,-49.4541574048983
4000000,-29.9076285133316
4080000,-25.554026975294
4160000,-49.3869724809597
4240000,-51.8290638197862
4320000,-26.7595931708725
4400000,-23.908149033299
4480000,-48.9743681017244
4560000,-49.3720824934728
4640000,-24.8836862892261
4720000,-24.2958673997343
4800000,-48.7434500217293
4880000,-50.9928434248613
4960000,-24.8669022679879
5040000,-24.8983092272449
5120000,-51.8052509597176
5200000,-51.2846358262872
5280000,-24.6020410701258
5360000,-24.9561963460389
5440000,-48.1355550235034
5520000,-45.9675377301728
5600000,-23.3897423102777
5680000,-25.78225098633
5760000,-52.0307318208933
5840000,-53.6446496625754
5920000,-24.8313298361117
6000000,-28.8572269903512
6080000,-49.0975945590129
6160000,-42.0675702123907
6240000,-25.5008585853843
6320000,-32.9360205595096
6400000,-54.1996169083463
6480000,-44.741740569056
6560000,-28.285365542079
6640000,-36.4527610319607
6720000,-50.0607269131938
6800000,-37.1103598952487
6880000,-29.8183112823066
6960000,-45.829782072374
7040000,-57.4208991493044
7120000,-33.2826810305026
7200000,-26.407073865323
7280000,-44.6730289428661
7360000,-48.7782919735009
7440000,-28.7616350789925
7520000,-26.0428885144021
7600000,-56.6320997836255
7680000,-54.4843655450991
7760000,-25.5780093650764
7840000,-23.195508406517
7920000,-46.4143623125821
8000000,-48.1175922413064
8080000,-24.4424472210431
8160000,-24.187707493046
8240000,-53.4045236414171
8320000,-52.5439401861768
8400000,-25.2372768664208
8480000,-25.3073578546319
8560000,-48.930232815926
8640000,-47.4563607905241
8720000,-24.5648303176547
8800000,-25.203404665056
8880000,-51.2625336492113
8960000,-46.703970700802
9040000,-23.5352476056646
9120000,-26.9829160938769
9200000,-50.8353013641076
9280000,-48.2855335997202
9360000,-24.3894182431968
9440000,-29.6321336930267
9520000,-50.030355874705
9600000,-44.4845674882866
9680000,-28.7988476458306
9760000,-35.9987909564194
9840000,-50.6170668454708
9920000,-39.8379640494936
10000000,-26.6107163072743
10080000,-39.0876625610901
10160000,-50.0585601734761
10240000,-36.5389422896727
10320000,-33.2475004975144
10400000,-45.4091914316847
10480000,-51.7577055632117
10560000,-31.3744369976032
10640000,-25.1513845134898
10720000,-46.4892409272711
10800000,-50.6086224309536
10880000,-27.8521384822217
10960000,-25.3782859846574
11040000,-52.3557956629528
11120000,-53.9179593198214
11200000,-25.2016254996138
11280000,-23.7917043054201
11360000,-46.7984977995061
11440000,-48.3047532282178
11520000,-24.4669365850708
11600000,-24.3739264495313
11680000,-54.347824397864
11760000,-55.7426013158929
11840000,-24.9895968640814
11920000,-25.1978246719544
12000000,-47.5901162388817
12080000,-46.99317906139
12160000,-24.2363350426502
12240000,-25.5477376478568
12320000,-56.8477492659842
12400000,-52.8471628484891
12480000,-24.6012358023824
12560000,-28.4763480513811
12640000,-49.7788853437753
12720000,-42.9071900957198
12800000,-24.4296599506002
12880000,-31.329757396814
12960000,-54.3541785919525
13040000,-47.4353114800809
13120000,-30.3899209496971
13200000,-36.8113578948733
13280000,-50.0231567420814
13360000,-38.3114482374624
13440000,-27.2003504429284
13520000,-43.0182420729538
13600000,-52.4458649043157
13680000,-35.765128621688
13760000,-30.9618845656227
13840000,-43.6949336022749
13920000,-49.5819432818083
14000000,-30.2885901116919
14080000,-25.8203828823895
14160000,-50.5529924966522
14240000,-51.793640665722
14320000,-27.0324395857538
14400000,-24.1264243234885
14480000,-48.6466865357767
14560000,-49.6131237185151
14640000,-25.1955931487104
14720000,-24.5745967656349
14800000,-49.1707085402721
14880000,-51.222434853211
14960000,-25.2158527527664
15040000,-25.2141956977598
15120000,-52.3467182518985
15200000,-50.9095588700738
15280000,-24.9780564842433
15360000,-25.3177407836535
15440000,-48.6763292833549
