Trace
Swept SA
A.14.04,N9030A
550 B25 B40 B85 DP2 EP1 FS1 FS2 FSA LFE LNP MPB NFE NUL P50 PFR RTL ,01
Segment,0
Number of Points,1001
Sweep Time,1.1
Start Frequency,9600500
Stop Frequency,10400500
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext1
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,1E-06
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,NegPeak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
9600500,-58.6175947570801
9601300,-57.7189151000977
9602100,-57.2351866149902
9602900,-56.8712190246582
9603700,-56.6005920410156
9604500,-55.9486869812012
9605300,-56.569171295166
9606100,-55.9768202209473
9606900,-55.9737799072266
9607700,-54.6662516784668
9608500,-55.9059591674805
9609300,-54.5764682006836
9610100,-55.5742379760742
9610900,-56.9952922058106
9611700,-56.4286288452148
9612500,-57.1093183898926
9613300,-57.2776815795898
9614100,-59.7975735473633
9614900,-57.9618215942383
9615700,-58.1191648864746
9616500,-58.4946786499023
9617300,-57.2162168884277
9618100,-57.9575729370117
9618900,-54.886639251709
9619700,-57.364409942627
9620500,-56.5916307067871
9621300,-58.5525823974609
9622100,-58.5939289855957
9622900,-56.684416809082
9623700,-60.0214671325684
9624500,-59.6048181152344
9625300,-60.6856785583496
9626100,-63.9507354736328
9626900,-62.9514547729492
9627700,-63.3831799316406
9628500,-64.8761151123047
9629300,-62.3028771972656
9630100,-64.2891316223144
9630900,-62.9120672607422
9631700,-59.0323449707031
9632500,-59.7494735717773
9633300,-59.0221565246582
9634100,-60.4120343017578
9634900,-57.3643681335449
9635700,-56.2972415161133
9636500,-57.1549784851074
9637300,-54.9937384033203
9638100,-55.7466523742676
9638900,-54.4674992370605
9639700,-54.721180267334
9640500,-54.1588539123535
9641300,-53.9860244750977
9642100,-52.4608636474609
9642900,-53.5333923339844
9643700,-52.864093170166
9644500,-52.9987442016602
9645300,-51.5299110412598
9646100,-52.3819653320312
9646900,-51.6067697143555
9647700,-51.2198399353027
9648500,-54.0763931274414
9649300,-53.7639524841309
9650100,-54.5092654418945
9650900,-54.8200032043457
9651700,-56.3596653747559
9652500,-56.3572789001465
9653300,-55.9900079345703
9654100,-56.1979202270508
9654900,-56.1472300720215
9655700,-57.7283222961426
9656500,-58.6675769042969
9657300,-58.5416284179688
9658100,-57.5972175598145
9658900,-57.8071269226074
9659700,-56.9065264892578
9660500,-56.5947383117676
9661300,-57.3301823425293
9662100,-56.6469458007812
9662900,-57.2577153015137
9663700,-57.4963059997559
9664500,-56.7660342407227
9665300,-57.3655526733398
9666100,-56.7821476745605
9666900,-59.0872483825684
9667700,-58.9434846496582
9668500,-57.9150624084473
9669300,-58.4895848083496
9670100,-56.4672634887695
9670900,-56.630020904541
9671700,-56.9063943481445
9672500,-56.0063697814941
9673300,-55.5967858886719
9674100,-54.8922773742676
9674900,-56.3590631103516
9675700,-57.0996142578125
9676500,-56.1626902770996
9677300,-56.0253007507324
9678100,-56.8774327087402
9678900,-56.3521971130371
9679700,-55.1712245178223
9680500,-55.1828527832031
9681300,-55.6248690795899
9682100,-54.6586872863769
9682900,-56.2583258056641
9683700,-55.9052223205566
9684500,-55.7973225402832
9685300,-58.2560095214844
9686100,-58.2402600097656
9686900,-56.4956999206543
9687700,-58.2103750610352
9688500,-55.4297575378418
9689300,-55.6474226379394
9690100,-56.1892320251465
9690900,-56.0385960388184
9691700,-57.2434776306152
9692500,-57.2296862792969
9693300,-56.6119165039063
9694100,-56.2620013427734
9694900,-54.5412092590332
9695700,-56.5929296875
9696500,-54.1542353820801
9697300,-53.7485299682617
9698100,-54.41236328125
9698900,-55.0740090942383
9699700,-52.4693644714356
9700500,-53.5431979370117
9701300,-54.0956428527832
9702100,-53.6511576843262
9702900,-52.9064083862305
9703700,-54.2426066589356
9704500,-53.4525122070312
9705300,-53.516322479248
9706100,-52.5883450317383
9706900,-52.1804499816895
9707700,-52.2051329040527
9708500,-51.5686248779297
9709300,-51.705771484375
9710100,-52.2176692199707
9710900,-53.3609246826172
9711700,-53.3489015197754
9712500,-53.7133561706543
9713300,-53.3923921203613
9714100,-53.1290223693848
9714900,-53.4374185180664
9715700,-54.8408111572266
9716500,-52.8515496826172
9717300,-55.1704719543457
9718100,-54.7690673828125
