Trace
Swept SA
A.14.04,N9030A
550 B25 B40 B85 DP2 EP1 FS1 FS2 FSA LFE LNP MPB NFE NUL P50 PFR RTL ,01
Segment,0
Number of Points,1001
Sweep Time,1.1
Start Frequency,3000000
Stop Frequency,5000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext1
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,1E-06
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,NegPeak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
3000000,-71.4854888916016
3002000,-66.1286061604818
3004000,-72.7077543470595
3006000,-66.0454898410373
3008000,-65.0217768351237
3010000,-66.145502726237
3012000,-67.3052817450629
3014000,-66.7300635443793
3016000,-66.1476991441515
3018000,-66.1003282335069
3020000,-65.7593307495117
3022000,-73.3724161783854
3024000,-68.9999779595269
3026000,-67.3863453335232
3028000,-66.9764455159505
3030000,-65.0027347140842
3032000,-70.6214336819119
3034000,-67.5471250745985
3036000,-66.4138743082682
3038000,-67.0931604173448
3040000,-70.6588117811415
3042000,-67.9827601114909
3044000,-72.0351969401042
3046000,-71.2660742865668
3048000,-67.1896107991536
3050000,-68.0087263319227
3052000,-66.3885832892524
3054000,-67.7887674967448
3056000,-67.7354244656033
3058000,-74.0300123426649
3060000,-69.4461822509766
3062000,-67.3669857449002
3064000,-66.9435407850477
3066000,-63.9158426920573
3068000,-63.0642738342285
3070000,-67.5193396674262
3072000,-68.9764802720812
3074000,-71.6099455091688
3076000,-66.2451655069987
3078000,-69.4015714857313
3080000,-71.903315226237
3082000,-66.6452988518609
3084000,-66.9111811319987
3086000,-69.1470277574327
3088000,-67.848030090332
3090000,-63.8917728000217
3092000,-74.1614837646484
3094000,-70.4680269029405
3096000,-71.4109717475043
3098000,-67.9860797458225
3100000,-68.5894266764323
3102000,-66.602912902832
3104000,-68.3170996771918
3106000,-68.1894158257378
3108000,-66.4796812269423
3110000,-73.1647423638238
3112000,-69.3523644341363
3114000,-70.1181496514214
3116000,-66.8483378092448
3118000,-67.6747038099501
3120000,-67.2830437554253
3122000,-67.1501346164279
3124000,-68.7307840983073
3126000,-69.1449169582791
3128000,-67.1172383626302
3130000,-68.1526531643338
3132000,-66.9277852376302
3134000,-69.5580495198568
3136000,-68.6691504584418
3138000,-70.3624301486545
3140000,-70.5892757839627
3142000,-64.4849353366428
3144000,-68.6512824164497
3146000,-66.5553410847982
3148000,-63.5543039109972
3150000,-67.4785363939073
3152000,-68.5733608669705
3154000,-70.5631484985352
3156000,-70.2754779391819
3158000,-65.0496758355035
3160000,-70.0501878526476
3162000,-67.9828330145942
3164000,-66.3328264024523
3166000,-67.362375471327
3168000,-68.4722374810113
3170000,-66.8341785007053
3172000,-68.2538799709744
3174000,-71.4902793036567
3176000,-70.9905751546224
3178000,-68.4178755018446
3180000,-69.9331436157227
3182000,-72.3764360215929
3184000,-70.0139584011502
3186000,-69.6086451212565
3188000,-69.8015764024523
3190000,-64.0297910902235
3192000,-72.2929568820529
3194000,-68.9784537421333
3196000,-73.3074535793728
3198000,-67.1734602186415
3200000,-73.2492955525716
3202000,-74.4940787421333
3204000,-67.6156192355686
3206000,-71.6165390014648
3208000,-67.1995196872287
3210000,-66.8830507066515
3212000,-68.4317016601563
3214000,-76.6468717787001
3216000,-67.952032301161
3218000,-70.7187118530273
3220000,-69.088865492079
3222000,-68.8321253458659
3224000,-67.518197801378
3226000,-69.585205078125
3228000,-70.4266094631619
3230000,-74.2152820163303
3232000,-65.7851685418023
3234000,-69.579600016276
3236000,-68.7479748196072
3238000,-67.4969787597656
3240000,-66.9486346774631
3242000,-71.7476721869575
3244000,-66.3593232896593
3246000,-68.8757841322157
3248000,-72.7231174045139
3250000,-69.6318486531575
3252000,-75.4383739895291
3254000,-70.2920286390517
3256000,-64.6035457187229
3258000,-66.9821005927192
3260000,-67.1787609524197
3262000,-69.2696596781413
3264000,-68.631724887424
3266000,-69.0922571818034
3268000,-68.8526916503906
3270000,-70.750109354655
3272000,-67.2022433810764
3274000,-64.6707144843207
3276000,-65.9294679429796
3278000,-66.781861199273
3280000,-65.2448060777452
3282000,-67.8360337151421
3284000,-68.0687459309896
3286000,-69.5678024291992
3288000,-65.4834459092882
3290000,-67.3383102416992
3292000,-64.2822401258681
3294000,-64.6655519273546
3296000,-67.329094780816
