Trace
Swept SA
A.14.04,N9030A
550 B25 B40 B85 DP2 EP1 FS1 FS2 FSA LFE LNP MPB NFE NUL P50 PFR RTL ,01
Segment,0
Number of Points,1001
Sweep Time,1.1
Start Frequency,3000000
Stop Frequency,5000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext1
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,1E-06
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,NegPeak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
3000000,-59.0217905103281
3002000,-59.7122062641817
3004000,-56.7796753387407
3006000,-59.6098564268711
3008000,-56.957796055733
3010000,-60.1161006503195
3012000,-58.0493514822511
3014000,-57.53624888093
3016000,-57.7358370164228
3018000,-58.9570564793345
3020000,-58.9346301800106
3022000,-58.5663537133433
3024000,-59.0909373512259
3026000,-57.1937469775375
3028000,-58.9560321261201
3030000,-58.3785466726921
3032000,-58.4266998983609
3034000,-59.4017431774539
3036000,-56.4724287601291
3038000,-57.6533050906793
3040000,-60.065579017275
3042000,-61.0784768015017
3044000,-62.7204079640926
3046000,-59.1527768835658
3048000,-61.1634438311319
3050000,-61.2148157447292
3052000,-60.2200885371745
3054000,-58.6847067023627
3056000,-65.2463040834991
3058000,-63.9626926628795
3060000,-59.672380958244
3062000,-61.7326225231971
3064000,-58.8535266992921
3066000,-62.0718676864894
3068000,-61.2751786567711
3070000,-62.0622088693781
3072000,-59.3164736582742
3074000,-58.9139978097778
3076000,-59.600726572137
3078000,-59.1338236599954
3080000,-58.5198261594115
3082000,-58.4556326809753
3084000,-58.5890850151191
3086000,-57.5143044889232
3088000,-58.1419355609687
3090000,-56.1215907202309
3092000,-57.5000075782494
3094000,-55.502122874113
3096000,-58.0172205700591
3098000,-57.3910414766029
3100000,-57.3736230443723
3102000,-57.9815360230342
3104000,-57.5616642787354
3106000,-57.3715279575101
3108000,-55.8076745432207
3110000,-56.5052951010617
3112000,-56.5079890867281
3114000,-57.8488895464042
3116000,-58.17961565929
3118000,-57.1284846327164
3120000,-57.3644965874393
3122000,-59.1716916647662
3124000,-58.4459263755448
3126000,-58.9406401359399
3128000,-57.361573220748
3130000,-58.4632214889991
3132000,-59.0113507949928
3134000,-60.2148604936148
3136000,-57.1386335217394
3138000,-58.8483072517362
3140000,-59.9300122752191
3142000,-60.4513639834477
3144000,-62.1023064766778
3146000,-59.4439860863689
3148000,-59.4861305783917
3150000,-62.5975696360692
3152000,-62.6367744193412
3154000,-61.1221059683917
3156000,-66.0265486699839
3158000,-61.9971048262151
3160000,-59.8478869904583
3162000,-58.5114247676037
3164000,-56.5839908126638
3166000,-56.5513609685262
3168000,-60.8730048648884
3170000,-58.2674987354031
3172000,-56.2139420576471
3174000,-56.5627713728463
3176000,-56.3586284736973
3178000,-58.8142030324088
3180000,-58.4055081428313
3182000,-58.5429813866504
3184000,-59.187004977475
3186000,-58.2769925676467
3188000,-56.1362766471122
3190000,-57.2309738592012
3192000,-56.7909326740515
3194000,-57.874231483244
3196000,-57.9745115551632
3198000,-56.4108391038737
3200000,-55.46672468864
3202000,-54.8963733139034
3204000,-56.3948025823855
3206000,-57.3897637348596
3208000,-56.2381209225471
3210000,-57.864849346858
3212000,-56.2215145988933
3214000,-58.7320248828942
3216000,-57.300547342437
3218000,-59.4217662687232
3220000,-57.8649536916572
3222000,-60.2882519068921
3224000,-59.0636778482132
3226000,-58.7580181956032
3228000,-58.277000256025
3230000,-60.5149242147777
3232000,-62.1127565557189
3234000,-61.5223392355903
3236000,-61.7938936078766
3238000,-59.760153780963
3240000,-61.7159356187589
3242000,-61.0568804398903
3244000,-60.2160993970465
3246000,-59.1829271959529
3248000,-60.6833992251842
3250000,-61.2448326193521
3252000,-62.6744979646885
3254000,-59.4724506387202
3256000,-61.6474417972818
3258000,-61.4420691903474
3260000,-60.7242745638877
3262000,-59.063402755574
3264000,-59.0856075057268
3266000,-59.7709057555508
3268000,-58.0404065877406
3270000,-59.7246885043957
3272000,-55.7962153078212
3274000,-56.1502531658237
3276000,-56.3717682505052
3278000,-58.8655938883312
3280000,-56.751390787747
3282000,-58.3659297166418
3284000,-58.1002178647969
3286000,-57.4053309662397
3288000,-57.4105573234847
3290000,-57.8163759390979
3292000,-56.4476931458857
3294000,-56.0447391636489
3296000,-55.2373665578974
