Trace
Swept SA
A.14.04,N9030A
550 B25 B40 B85 DP2 EP1 FS1 FS2 FSA LFE LNP MPB NFE NUL P50 PFR RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.0022
Start Frequency,2500000
Stop Frequency,5500000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext1
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,1E-06
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,NegPeak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
2500000,-66.1999009195361
2503000,-65.8175338793674
2506000,-65.7449658852374
2509000,-65.8014945623326
2512000,-65.6671507864652
2515000,-65.6081759372993
2518000,-65.9237460856694
2521000,-65.7755068774102
2524000,-65.8407526586736
2527000,-65.882395963424
2530000,-65.4846852912501
2533000,-65.4640164031406
2536000,-65.7635127647979
2539000,-65.5441017622612
2542000,-65.3260098985731
2545000,-64.9077138877541
2548000,-64.7585225973383
2551000,-64.8345068416468
2554000,-64.9805530725471
2557000,-64.444938264198
2560000,-63.8960734242373
2563000,-63.1689899373913
2566000,-62.3041267226756
2569000,-61.5762855550444
2572000,-61.0414406321704
2575000,-60.8094800991224
2578000,-60.7077684098437
2581000,-60.5577551392414
2584000,-60.7246625132388
2587000,-61.793126193481
2590000,-62.8411248691064
2593000,-62.7997281782435
2596000,-64.0940915286416
2599000,-65.3313436570339
2602000,-65.6532650965367
2605000,-65.9495539057503
2608000,-66.1831579773011
2611000,-66.3808542997892
2614000,-66.8962921148713
2617000,-66.920052471042
2620000,-66.7186047023064
2623000,-66.9584717836623
2626000,-66.8881704690293
2629000,-67.0174779102383
2632000,-67.1845931127264
2635000,-66.9567021272862
2638000,-67.0959491341646
2641000,-66.6977852942322
2644000,-66.376348367608
2647000,-66.3715218030032
2650000,-66.4710029483191
2653000,-66.5506203665172
2656000,-66.5349436880232
2659000,-66.3370853299462
2662000,-66.2463093815903
2665000,-66.2144881487946
2668000,-66.0943042401412
2671000,-66.330234154018
2674000,-66.0281503172308
2677000,-65.4264422588818
2680000,-65.5219745449881
2683000,-65.4193707104902
2686000,-65.5967581904204
2689000,-65.4234101351584
2692000,-65.0573495948955
2695000,-64.5640088878459
2698000,-64.4609866611432
2701000,-64.8777150907975
2704000,-65.3442007010266
2707000,-65.3610134455562
2710000,-65.1042455883209
2713000,-64.8574362171224
2716000,-64.7949964178665
2719000,-64.620106114959
2722000,-64.4500373614744
2725000,-64.4576014437017
2728000,-64.4182505335613
2731000,-64.6108005555299
2734000,-65.1381156386011
2737000,-65.3807658107873
2740000,-65.6733476420894
2743000,-65.4675157965735
2746000,-65.4690629049565
2749000,-65.684890039195
2752000,-65.9859337415202
2755000,-66.6401368046931
2758000,-67.2512673419517
2761000,-67.5209158828552
2764000,-66.9115848599768
2767000,-66.3712137810325
2770000,-66.4273859205497
2773000,-66.4806951840307
2776000,-66.7626344182882
2779000,-67.3526593249941
2782000,-67.202986715313
2785000,-67.557845462953
2788000,-68.0060638372159
2791000,-66.8188973896173
2794000,-66.1729128950133
2797000,-66.1169063540875
2800000,-66.6099575052534
2803000,-67.1733025640454
2806000,-67.0774825188816
2809000,-66.6805708939859
2812000,-66.0196982880026
2815000,-65.5748012691683
2818000,-65.1423952550001
2821000,-64.9061920503995
2824000,-64.6771500517738
2827000,-64.8364249055594
2830000,-64.6974440134962
2833000,-64.8933998558207
2836000,-65.3297876209474
2839000,-65.6051127105268
2842000,-65.859636547282
2845000,-65.6308471344706
2848000,-65.4975614680704
2851000,-65.4184122013968
2854000,-65.4487600757104
2857000,-65.4715546550038
2860000,-65.4122035968294
2863000,-65.3081826686129
2866000,-65.4076945261467
2869000,-65.3634453764688
2872000,-65.6251893245379
2875000,-65.9591941779375
2878000,-66.3280652512071
2881000,-66.5977114152092
2884000,-66.3675245653542
2887000,-66.2992466130132
2890000,-66.5113877698445
2893000,-67.1621039736398
2896000,-67.0735475804258
2899000,-66.8669474898781
2902000,-67.1462375400849
2905000,-67.1929534201126
2908000,-66.9049492918816
2911000,-67.4192042563769
2914000,-67.7895733808877
2917000,-67.9143083521351
2920000,-67.8582297451197
2923000,-67.8527830864968
2926000,-67.2384107177197
2929000,-67.5151578816911
2932000,-67.3322312456884
2935000,-67.6601492623778
2938000,-67.2957031141333
2941000,-67.0020341527741
