Trace
Swept SA
A.14.04,N9030A
550 B25 B40 B85 DP2 EP1 FS1 FS2 FSA LFE LNP MPB NFE NUL P50 PFR RTL ,01
Segment,0
Number of Points,1001
Sweep Time,1.1
Start Frequency,2500000
Stop Frequency,5500000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext1
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,1E-06
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,NegPeak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
2500000,-60.6771435459895
2503000,-67.0688204100978
2506000,-65.2516922470472
2509000,-66.6153407580559
2512000,-65.0593065485246
2515000,-63.7214260380662
2518000,-66.7890989496945
2521000,-65.5678450540228
2524000,-66.3171920112269
2527000,-63.0573451554402
2530000,-66.4547712478316
2533000,-64.4062046659998
2536000,-65.7764421316147
2539000,-69.0212290253651
2542000,-67.195024430764
2545000,-67.1670957855217
2548000,-70.5633274901997
2551000,-63.4439013260246
2554000,-63.955455404945
2557000,-72.2114538373573
2560000,-65.3262143559901
2563000,-65.9382660503793
2566000,-66.2068930402053
2569000,-62.0260712913223
2572000,-65.3503071509708
2575000,-63.6183266955804
2578000,-61.5778361840741
2581000,-63.8500361908857
2584000,-62.6274011266073
2587000,-62.6379664905137
2590000,-64.9699763559412
2593000,-60.9238437161873
2596000,-63.7118030177307
2599000,-65.1446942251037
2602000,-63.3756256038847
2605000,-66.0115433346103
2608000,-65.7013906949709
2611000,-63.6347757916745
2614000,-64.3850184675675
2617000,-65.6239680765948
2620000,-67.0007933826413
2623000,-66.7312517140594
2626000,-61.9504290539805
2629000,-64.0766324400028
2632000,-63.0622247990139
2635000,-64.6907167009805
2638000,-64.1211333484878
2641000,-66.8869230626451
2644000,-67.4245540226105
2647000,-65.8640511976878
2650000,-63.6249001936767
2653000,-66.7196249485741
2656000,-68.9409438998118
2659000,-64.1499187090736
2662000,-69.1017405770204
2665000,-66.2184945055311
2668000,-67.3992692168735
2671000,-66.9324148157241
2674000,-63.6424833298526
2677000,-67.4417542521823
2680000,-70.8195984307957
2683000,-64.94977259731
2686000,-66.3153286562989
2689000,-67.7834940450058
2692000,-65.4781089784845
2695000,-68.0058032822376
2698000,-64.8176186344473
2701000,-63.3659508732176
2704000,-65.2407990928027
2707000,-71.7514512459442
2710000,-67.387219539315
2713000,-68.5004697608221
2716000,-67.0112935388222
2719000,-70.6499498455663
2722000,-66.6849412451805
2725000,-65.2814776083319
2728000,-64.1817721881302
2731000,-66.104250795289
2734000,-69.9923053226345
2737000,-68.089010149914
2740000,-67.8804555871453
2743000,-66.6162855533597
2746000,-63.7380504799272
2749000,-65.4599720050186
2752000,-66.2225683001954
2755000,-64.2571339448283
2758000,-68.0200410734603
2761000,-67.4524349724703
2764000,-65.2988728390103
2767000,-70.1807083121504
2770000,-67.0127344965809
2773000,-68.9409812583686
2776000,-68.1746698231555
2779000,-63.6813594950721
2782000,-68.7315284739704
2785000,-65.7346689916428
2788000,-65.8076084105061
2791000,-65.0297246299918
2794000,-66.4977681738994
2797000,-65.0246749643184
2800000,-64.1922376324362
2803000,-67.1751781141214
2806000,-65.1813325909712
2809000,-67.1319297417619
2812000,-69.0388867865302
2815000,-63.8553387458976
2818000,-65.718249048066
2821000,-65.0807145650437
2824000,-67.6652178181021
2827000,-63.4070671891963
2830000,-63.0597003134527
2833000,-67.5466764074228
2836000,-66.7893735505063
2839000,-65.4387331175608
2842000,-67.962989678969
2845000,-62.4160287119886
2848000,-67.0645017329877
2851000,-64.157605252954
2854000,-64.5758374082533
2857000,-69.6208863489554
2860000,-68.4843286702498
2863000,-66.0956878500778
2866000,-64.2838560868839
2869000,-71.1634878293124
2872000,-69.9180613795969
2875000,-64.8309275624132
2878000,-67.7729150079503
2881000,-65.3081935624326
2884000,-65.0186977036644
2887000,-66.4416468174249
2890000,-65.0022573770895
2893000,-68.0060098659993
2896000,-69.2914565747262
2899000,-68.5162264201736
2902000,-66.3200872878615
2905000,-65.0556760090855
2908000,-64.391927554446
2911000,-68.8327789268439
2914000,-65.0782867815246
2917000,-68.1031452206294
2920000,-63.3917623354674
2923000,-66.7302573471333
2926000,-64.1707180413635
2929000,-68.7166382828119
2932000,-66.4814644651603
2935000,-68.8725281678778
2938000,-68.6630452794687
2941000,-68.8051621634985
