Trace
Swept SA
A.14.04,N9030A
550 B25 B40 B85 DP2 EP1 FS1 FS2 FSA LFE LNP MPB NFE NUL P50 PFR RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.0022
Start Frequency,2500000
Stop Frequency,5500000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext1
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,1E-06
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,NegPeak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
2500000,-66.1248531468827
2503000,-66.1270811919542
2506000,-65.9000418684418
2509000,-65.6016287031737
2512000,-65.3120730135657
2515000,-65.1686893327811
2518000,-65.0854246928017
2521000,-65.1912189812372
2524000,-65.209118762516
2527000,-65.6369165933021
2530000,-66.1318470758003
2533000,-66.1266512251424
2536000,-66.0866858576918
2539000,-65.3757861844915
2542000,-64.8551450125998
2545000,-64.740139590511
2548000,-64.9975727957165
2551000,-65.4821362761634
2554000,-65.267450725357
2557000,-64.5447756869771
2560000,-63.740727950563
2563000,-62.8028405671894
2566000,-62.0987200590066
2569000,-61.1589361254832
2572000,-60.6767722149287
2575000,-60.4542163592445
2578000,-60.2962471433229
2581000,-60.1588201117528
2584000,-60.4020133309981
2587000,-61.6305264665512
2590000,-62.7262966019716
2593000,-62.7929399258228
2596000,-63.9740977282708
2599000,-64.6793465086608
2602000,-64.6611702384171
2605000,-65.4247914109686
2608000,-65.9488818933625
2611000,-66.2782043776883
2614000,-66.7026172302684
2617000,-67.1944019578299
2620000,-67.2889022394599
2623000,-67.112837373789
2626000,-67.0104832718025
2629000,-66.6054671688205
2632000,-66.8588385810608
2635000,-66.9749882231432
2638000,-66.7726311573744
2641000,-66.4467639182355
2644000,-65.8646058865598
2647000,-65.7832508669657
2650000,-65.7548653750731
2653000,-66.1787626732078
2656000,-65.5047265076001
2659000,-65.2306208598267
2662000,-65.0343923919768
2665000,-65.0782515049962
2668000,-65.0622023712768
2671000,-64.8829128640971
2674000,-64.9351121892351
2677000,-64.6491399329381
2680000,-64.3019352948589
2683000,-64.5195031660971
2686000,-64.9259875915602
2689000,-65.4346521632124
2692000,-65.8074220311526
2695000,-65.2598524980515
2698000,-65.0934293087505
2701000,-65.0466019595822
2704000,-64.6155016205234
2707000,-64.2785896089105
2710000,-63.8701039540307
2713000,-63.6557183489976
2716000,-63.4456658408125
2719000,-63.6263732842815
2722000,-63.7284248715399
2725000,-63.6342680994299
2728000,-63.8191698391778
2731000,-63.9674962176167
2734000,-63.8248084298602
2737000,-64.4058078250663
2740000,-64.7829695913123
2743000,-65.0891546478151
2746000,-65.3097717360657
2749000,-65.4319534380752
2752000,-65.8478108809381
2755000,-65.9040903555227
2758000,-66.0058230009727
2761000,-66.0509912375103
2764000,-66.3409726101311
2767000,-67.0829070548959
2770000,-66.9055501354716
2773000,-66.93248156392
2776000,-67.4439902925533
2779000,-67.8322901401824
2782000,-67.7578869705807
2785000,-67.2304440145892
2788000,-67.6589687379502
2791000,-67.3682343953774
2794000,-67.3653158210819
2797000,-66.9015245141642
2800000,-67.0396147436922
2803000,-66.9534622274442
2806000,-66.3754736549588
2809000,-66.0765356958244
2812000,-66.1687850224947
2815000,-66.0708393771266
2818000,-65.6191518146917
2821000,-65.4178817392371
2824000,-65.5250962280109
2827000,-65.6982013375989
2830000,-65.7128940240843
2833000,-65.8482407647419
2836000,-65.4940266345202
2839000,-65.2170529179607
2842000,-64.6532204606526
2845000,-64.879582964259
2848000,-65.2483080287886
2851000,-65.3765478442724
2854000,-65.3200153418972
2857000,-65.0507272219205
2860000,-65.2292721575329
2863000,-65.5229401637417
2866000,-65.6333157871282
2869000,-65.1970632525536
2872000,-65.3001542859617
2875000,-65.3441920639797
2878000,-65.699453073468
2881000,-66.1065275884639
2884000,-66.1743748104274
2887000,-65.8540898164051
2890000,-66.2036015321097
2893000,-66.6533942917655
2896000,-66.4920390806621
2899000,-66.343670756575
2902000,-66.1779608419904
2905000,-66.739950088573
2908000,-67.0887012684707
2911000,-67.1870253797438
2914000,-67.0590710113101
2917000,-66.5431876552542
2920000,-66.4041411491953
2923000,-66.8243949238432
2926000,-66.7115273174785
2929000,-66.4121549679163
2932000,-67.0095351800657
2935000,-67.2829996053739
2938000,-66.2522262750148
2941000,-65.8092224830145
