Trace
Swept SA
A.14.04,N9030A
550 B25 B40 B85 DP2 EP1 FS1 FS2 FSA LFE LNP MPB NFE NUL P50 PFR RTL ,01
Segment,0
Number of Points,1001
Sweep Time,1.1
Start Frequency,2500000
Stop Frequency,5500000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext1
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,1E-06
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,NegPeak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
2500000,-66.2224924540741
2503000,-66.6546703728756
2506000,-68.219034074883
2509000,-65.3512250007498
2512000,-64.6722625339382
2515000,-66.7359435330475
2518000,-63.2848508811873
2521000,-65.0230659213922
2524000,-67.2253893948314
2527000,-65.0847087000187
2530000,-64.2242988641079
2533000,-65.4629891361701
2536000,-68.5509336692788
2539000,-63.4608054839153
2542000,-66.2416950476422
2545000,-66.0150881201697
2548000,-66.6385335859739
2551000,-66.2378851203471
2554000,-67.1657072281514
2557000,-68.5925361919359
2560000,-66.1001972883981
2563000,-61.6084729162518
2566000,-65.394502594129
2569000,-61.8177198466141
2572000,-60.7358675606275
2575000,-63.5858117446469
2578000,-65.9848727897943
2581000,-63.5411689693182
2584000,-63.813667961345
2587000,-60.1210639725697
2590000,-63.0455396431573
2593000,-63.4236408827273
2596000,-65.8052068726898
2599000,-61.8317844598436
2602000,-62.4998313323551
2605000,-66.5066303252592
2608000,-69.1751301025149
2611000,-63.7641589899213
2614000,-61.9076296180291
2617000,-66.5350996999184
2620000,-65.2811035205089
2623000,-65.8015657601388
2626000,-68.4786645348271
2629000,-70.0598304631088
2632000,-62.7504342586016
2635000,-68.358254686032
2638000,-69.2500810685672
2641000,-67.517086926184
2644000,-67.0768143523486
2647000,-64.5267145581006
2650000,-66.6555987013457
2653000,-67.4657825132166
2656000,-68.0060180631503
2659000,-64.7912860539533
2662000,-63.8440532524436
2665000,-68.7297784868963
2668000,-67.4245560577304
2671000,-62.6489962772741
2674000,-66.3412478446524
2677000,-66.33772622963
2680000,-63.042637492876
2683000,-65.6736634982248
2686000,-69.0378636257112
2689000,-65.7941039163444
2692000,-64.5796627549932
2695000,-66.4876855397584
2698000,-65.6842738382519
2701000,-68.1102396949474
2704000,-64.9614684458568
2707000,-64.8119038542748
2710000,-66.8210798896426
2713000,-63.1213539360755
2716000,-67.8397815531664
2719000,-65.4669722824667
2722000,-66.1777327842346
2725000,-62.9448294486238
2728000,-63.3859082544528
2731000,-66.7421485064797
2734000,-66.0010245250068
2737000,-65.036526969976
2740000,-70.2097374710109
2743000,-66.9154887955975
2746000,-65.5980636743198
2749000,-65.4642370555699
2752000,-65.5434227821177
2755000,-65.0551091225986
2758000,-66.6181769549093
2761000,-63.6294818401991
2764000,-64.3706234468409
2767000,-64.4771677536711
2770000,-65.3989332757551
2773000,-60.6074265554318
2776000,-66.6548054722311
2779000,-64.4569375960134
2782000,-66.5925165695891
2785000,-65.0500141092052
2788000,-67.4607490803515
2791000,-65.3712651852045
2794000,-62.9136332718451
2797000,-61.0941171016731
2800000,-63.0574585760972
2803000,-66.7098036011514
2806000,-65.5682853916182
2809000,-67.4266371155018
2812000,-65.7861816006233
2815000,-65.0240839025157
2818000,-64.0755578354898
2821000,-63.2912241530626
2824000,-66.944554973568
2827000,-69.4828999290705
2830000,-68.8279108618149
2833000,-68.8383395010842
2836000,-62.93014842776
2839000,-65.0792316040821
2842000,-67.9113333966198
2845000,-67.3691269848845
2848000,-63.2888305651271
2851000,-67.7839948121885
2854000,-67.7841703626845
2857000,-67.3406566694876
2860000,-64.631886881529
2863000,-64.5093858692999
2866000,-66.0656394394519
2869000,-66.6583564373401
2872000,-64.7836078061797
2875000,-66.683094903184
2878000,-67.5807188115747
2881000,-68.7117134179126
2884000,-64.9692155616782
2887000,-64.3399956308838
2890000,-64.7292485434078
2893000,-65.4573272753917
2896000,-65.8114935763452
2899000,-69.1811393827332
2902000,-66.8073136780688
2905000,-68.2560774842844
2908000,-66.084122093653
2911000,-66.5149186024886
2914000,-67.0996980276109
2917000,-67.3284822035773
2920000,-66.4465039100176
2923000,-66.2160366356618
2926000,-67.499537900097
2929000,-68.5870164912787
2932000,-64.8884181060582
2935000,-69.0994561196391
2938000,-73.1941383465309
2941000,-65.3188663663488
2944000,-65.755678014373
