Trace
Swept SA
A.14.04,N9030A
550 B25 B40 B85 DP2 EP1 FS1 FS2 FSA LFE LNP MPB NFE NUL P50 PFR RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.011
Start Frequency,3810000
Stop Frequency,7810000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext2
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,1E-06
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,NegPeak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
3810000,-64.6242762329092
3814000,-64.3665923425236
3818000,-62.6784061172183
3822000,-63.0330449306007
3826000,-63.353244365739
3830000,-64.6639557183256
3834000,-66.4851799437741
3838000,-65.4165587348505
3842000,-66.7601203036734
3846000,-65.7612004226936
3850000,-63.5441225506094
3854000,-63.369044813407
3858000,-64.1966438046795
3862000,-64.3621999984621
3866000,-64.3579326199877
3870000,-66.3227413349356
3874000,-66.2337701775464
3878000,-66.4866967918509
3882000,-65.6276926557508
3886000,-63.9695123464415
3890000,-61.8532056543541
3894000,-61.2555904141718
3898000,-61.4902775100364
3902000,-62.1523797588489
3906000,-63.3827834226932
3910000,-65.5410522356531
3914000,-66.7368388479159
3918000,-68.6276247419585
3922000,-66.5958928296141
3926000,-64.0819775146957
3930000,-63.1489607778853
3934000,-63.4321612768086
3938000,-63.5793090183722
3942000,-63.0991403847646
3946000,-64.3776604310344
3950000,-66.0470339388528
3954000,-65.442080403425
3958000,-65.1120203436419
3962000,-65.5202944835583
3966000,-65.7782767076911
3970000,-64.2010709113868
3974000,-62.9628570775953
3978000,-62.5019537033043
3982000,-62.506891301784
3986000,-63.8522459188003
3990000,-65.0578813254592
3994000,-66.0124216782114
3998000,-65.0644999058051
4002000,-64.1181071677012
4006000,-64.8570460672426
4010000,-64.7868579157642
4014000,-62.6807796028883
4018000,-62.4379238250904
4022000,-63.0788276622002
4026000,-64.9677605938529
4030000,-65.256734599017
4034000,-65.9631854559639
4038000,-65.1626482114909
4042000,-65.0090961033377
4046000,-64.0998426375919
4050000,-63.6281042214291
4054000,-63.2394197773424
4058000,-63.5621071434823
4062000,-65.1411959892916
4066000,-65.1864164123658
4070000,-64.4459954270597
4074000,-64.1376988294037
4078000,-65.1535222919273
4082000,-64.9410740788191
4086000,-63.9769323349856
4090000,-62.9394234480377
4094000,-63.008708241766
4098000,-64.8614290730138
4102000,-63.6509419209067
4106000,-64.1907455365213
4110000,-66.3343119302238
4114000,-67.0052252798501
4118000,-67.2823044129643
4122000,-65.2204389021058
4126000,-64.1782784341746
4130000,-63.5686261235245
4134000,-61.3401484245434
4138000,-60.6115120830502
4142000,-61.1168772005949
4146000,-62.0238343535692
4150000,-64.6437083046124
4154000,-66.7388125707617
4158000,-67.1949118617957
4162000,-65.7758745613596
4166000,-66.4588881761141
4170000,-64.7015756368559
4174000,-63.5629870604019
4178000,-63.2988019468385
4182000,-63.3310532736185
4186000,-64.9211175250281
4190000,-66.4026405145396
4194000,-66.5748120237812
4198000,-65.9349056278967
4202000,-63.5649488357824
4206000,-64.2964907181307
4210000,-62.1224848514006
4214000,-61.7766742563943
4218000,-62.6666100071327
4222000,-63.2120785493554
4226000,-64.3172469803532
4230000,-65.7178706829885
4234000,-65.5017468187851
4238000,-67.9110271086569
4242000,-66.8409422983864
4246000,-64.7135456015426
4250000,-64.9015666643817
4254000,-62.5526012169848
4258000,-62.222180688837
4262000,-63.5310951923798
4266000,-63.1495761680936
4270000,-62.9720755288869
4274000,-63.8321094665052
4278000,-66.1628401307214
4282000,-66.2790882295891
4286000,-63.1600755568182
4290000,-59.0594369220473
4294000,-58.4683142727951
4298000,-59.7117808394609
4302000,-60.8953475423395
4306000,-62.7140070132773
4310000,-65.6584781390304
4314000,-67.4641058195128
4318000,-65.83455368708
4322000,-65.7857087993654
4326000,-65.5525375166403
4330000,-65.5262184480073
4334000,-64.199402824775
4338000,-63.2691900572661
4342000,-63.4640828442252
4346000,-64.3459842374864
4350000,-65.5700839302309
4354000,-65.8701544373704
4358000,-65.7573715962251
4362000,-65.166946675053
4366000,-64.2363277782842
4370000,-65.3469896828113
4374000,-63.4813268795449
4378000,-62.6649812291861
4382000,-61.6356867798093
4386000,-62.1918319916128
4390000,-64.1240507303914
4394000,-67.1726700244306
4398000,-65.7650657642944
