Trace
Swept SA
A.14.04,N9030A
550 B25 B40 B85 DP2 EP1 FS1 FS2 FSA LFE LNP MPB NFE NUL P50 PFR RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.011
Start Frequency,3810000
Stop Frequency,7810000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext2
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,1E-06
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,NegPeak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
3810000,-63.3530627413605
3814000,-63.3557387791256
3818000,-63.0621407033393
3822000,-63.4272824935448
3826000,-66.2113648047428
3830000,-65.5775132756433
3834000,-64.3724433976419
3838000,-64.7517454930836
3842000,-64.2269047789578
3846000,-62.7157185488223
3850000,-61.8536368704265
3854000,-62.4423441905778
3858000,-61.7113699681547
3862000,-62.0082197716985
3866000,-62.9479954232674
3870000,-64.8601577229548
3874000,-64.1826551423633
3878000,-64.6832223172687
3882000,-63.5627308231659
3886000,-62.9087186389592
3890000,-63.1057019781494
3894000,-62.1836895314558
3898000,-60.9980526068903
3902000,-61.9268901621262
3906000,-62.1463156854584
3910000,-62.627606923446
3914000,-63.3084372890868
3918000,-64.5134288663482
3922000,-64.1317320892189
3926000,-63.5171017707689
3930000,-64.1552612292839
3934000,-63.415629291975
3938000,-62.2159364495061
3942000,-62.0460698163116
3946000,-62.8581434146092
3950000,-63.0934481240549
3954000,-64.387441912337
3958000,-65.1820403281206
3962000,-64.324747987667
3966000,-64.1764004838527
3970000,-63.8979976434532
3974000,-62.2311721510052
3978000,-61.7026606171663
3982000,-62.8202049736428
3986000,-63.4568262277242
3990000,-63.8583932005511
3994000,-63.3977191094213
3998000,-64.1298716101762
4002000,-66.2279814840769
4006000,-65.0396981983178
4010000,-62.7245113761067
4014000,-63.0285694069805
4018000,-62.2591755774698
4022000,-61.9568431374961
4026000,-62.9329050789744
4030000,-64.142558630361
4034000,-66.8517033225725
4038000,-65.1101926458478
4042000,-64.7603755796499
4046000,-63.6424670246483
4050000,-63.3367056438621
4054000,-62.0538724228016
4058000,-62.8126701346915
4062000,-62.865158577837
4066000,-62.4860067155625
4070000,-63.1251507079716
4074000,-64.0558977835615
4078000,-64.3154760816192
4082000,-64.9941820200787
4086000,-63.6084314326683
4090000,-62.0513499144607
4094000,-61.7599679260339
4098000,-62.6845867712444
4102000,-62.530092791227
4106000,-62.8093872084648
4110000,-64.5376851427218
4114000,-65.2240610709603
4118000,-65.0454011987196
4122000,-63.4716872865818
4126000,-63.6949978053979
4130000,-64.1473972192138
4134000,-64.536750607613
4138000,-64.1379573720307
4142000,-62.8007664078907
4146000,-62.9853855429342
4150000,-63.9235100384365
4154000,-63.2495857024685
4158000,-63.572662805083
4162000,-63.8597716361424
4166000,-63.4119019700239
4170000,-64.1909599922047
4174000,-63.6514333712088
4178000,-62.7470572270838
4182000,-64.0235008566049
4186000,-64.9910547009408
4190000,-63.6711338136651
4194000,-64.3631058229836
4198000,-63.5912821938974
4202000,-64.1825689401034
4206000,-64.5293969690256
4210000,-63.4740070906971
4214000,-62.4015164239742
4218000,-61.7711024593671
4222000,-61.0168657334057
4226000,-61.4093560977972
4230000,-65.2770496997153
4234000,-64.0233284761691
4238000,-64.6374895555247
4242000,-64.8975021229313
4246000,-63.6218566504834
4250000,-63.0395305642799
4254000,-62.2685361991957
4258000,-62.4643361313548
4262000,-61.6291764002479
4266000,-62.3789056013698
4270000,-62.2205917029311
4274000,-62.7734030946068
4278000,-64.5519509827916
4282000,-60.0946004392051
4286000,-61.8344818951663
4290000,-60.1628781035103
4294000,-56.9836811899909
4298000,-58.0571412784521
4302000,-60.2267375152111
4306000,-62.4783029830343
4310000,-64.6606181152105
4314000,-65.7354558138208
4318000,-67.0932787603581
4322000,-64.781164434696
4326000,-63.0787966301628
4330000,-63.7770453074116
4334000,-63.377613993281
4338000,-61.5930447606039
4342000,-61.151104970955
4346000,-61.9349455533324
4350000,-62.7029933138779
4354000,-63.361203141507
4358000,-64.8742346386629
4362000,-65.0716124018738
4366000,-65.2620687843211
4370000,-62.9261087605729
4374000,-61.4620444033013
4378000,-60.4854927651847
4382000,-61.276930540801
4386000,-62.8272319365948
4390000,-62.8321838581845
4394000,-63.2094836519293
4398000,-64.0389781730839
4402000,-64.6360524256865
