Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.009933333333
Start Frequency,10000000
Stop Frequency,11500000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext1
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10000000,-27.2691229904822
10001500,-27.6206108526042
10003000,-27.4801036082614
10004500,-27.0400948962821
10006000,-26.5709509523541
10007500,-26.4029389497109
10009000,-26.873505870681
10010500,-28.2777117420202
10012000,-30.4787227178823
10013500,-32.0728742427163
10015000,-32.2195455916098
10016500,-31.8374033661768
10018000,-31.8777201198802
10019500,-33.0623947962051
10021000,-36.7821395842044
10022500,-41.203294258669
10024000,-40.2405756327105
10025500,-37.6335631164756
10027000,-35.409459417076
10028500,-34.1123377839726
10030000,-33.9194752625875
10031500,-34.9562241865437
10033000,-37.3348241681728
10034500,-40.2071375187326
10036000,-41.3805304716511
10037500,-40.9835762197139
10039000,-40.2672060660865
10040500,-39.9127894093169
10042000,-40.2199698911313
10043500,-41.3266538666333
10045000,-43.2461617993327
10046500,-45.6577571605215
10048000,-47.8214002642766
10049500,-49.3841128560156
10051000,-50.6275582555752
10052500,-51.7182521549255
10054000,-52.4305239800524
10055500,-52.5719518998598
10057000,-52.1807519309155
10058500,-51.3561378843006
10060000,-50.2012151537929
10061500,-48.8641721440755
10063000,-47.5210687203302
10064500,-46.3141354484466
10066000,-45.309241028176
10067500,-44.4982955715566
10069000,-43.837360347764
10070500,-43.2922508095702
10072000,-42.8638376651032
10073500,-42.5826765602378
10075000,-42.5022588037732
10076500,-42.7026235574439
10078000,-43.2905200398164
10079500,-44.4039990969157
10081000,-46.236404733136
10082500,-49.0708500056193
10084000,-52.7045317810609
10085500,-54.9041862787525
10087000,-54.7614693950881
10088500,-53.4755623022295
10090000,-51.8026363565665
10091500,-50.0403218458943
10093000,-48.3715794407588
10094500,-46.9457688212126
10096000,-45.8501034100573
10097500,-45.1032308411593
10099000,-44.6942963131053
10100500,-44.6370684030756
10102000,-44.9995147495542
10103500,-45.9175519830627
10105000,-47.6501209407974
10106500,-50.9515432368412
10108000,-57.0094829527499
10109500,-58.4874415422724
10111000,-56.1731143801783
10112500,-53.2620258235958
10114000,-50.6045914781614
10115500,-48.362758285399
10117000,-46.5412529765618
10118500,-45.1468691771349
10120000,-44.2257355327173
10121500,-43.8558729411472
10123000,-44.1281905895023
10124500,-45.135615204905
10126000,-46.9475957678866
10127500,-49.4891583005463
10129000,-52.1227829832768
10130500,-53.657493295994
10132000,-53.7259069655743
10133500,-52.8523482692472
10135000,-51.5664563902585
10136500,-50.253679149605
10138000,-49.2168094934236
10139500,-48.7136602222794
10141000,-48.9788725368969
10142500,-50.246582800927
10144000,-52.7965480472608
10145500,-57.0260511860233
10147000,-61.8252961306374
10148500,-64.3973725714152
10150000,-62.6372078562973
10151500,-58.7883441339224
10153000,-54.7108805379114
10154500,-51.0696970591526
10156000,-48.1140970722436
10157500,-45.9206205415807
10159000,-44.4707779109256
10160500,-43.6483703991539
10162000,-43.2077575844144
10163500,-42.8049346546672
10165000,-42.1914783661024
10166500,-41.3714061039198
10168000,-40.5216545529205
10169500,-39.8463011590429
10171000,-39.5126018641718
10172500,-39.6441710440409
10174000,-40.3372946366044
10175500,-41.691071815632
10177000,-43.8546849797955
10178500,-47.1578145873202
10180000,-52.2250537499818
10181500,-55.9606867069287
10183000,-55.9760551557699
10184500,-54.6732967932899
10186000,-53.5545657140099
10187500,-53.2959263856052
10189000,-54.470769462317
10190500,-57.2203507323073
10192000,-58.82725362257
10193500,-57.9993015833219
10195000,-56.4117843463194
10196500,-55.1361499832
10198000,-54.5686705798377
10199500,-54.8787207528525
10201000,-56.3011534536218
10202500,-58.8349710710472
10204000,-60.4167583761381
10205500,-59.6669616183472
10207000,-57.6850243933397
10208500,-55.7627136198858
10210000,-54.4648114154671
10211500,-54.0443666652122
10213000,-54.731950475744
10214500,-57.0011905015611
10216000,-60.6975941344839
10217500,-62.2840661241034
10219000,-61.5178589315243
10220500,-60.2188464397661
10222000,-59.3975457200389
10223500,-59.4612149146069
10225000,-60.5305683120863
10226500,-62.6406232326065
10228000,-65.9205798460702
10229500,-68.8081116013227
10231000,-67.9494785022011
10232500,-65.0476271136963
10234000,-61.9840956698514
10235500,-59.6170990153099
10237000,-58.2564325349684
10238500,-58.0184653155576
10240000,-58.9194247204134
10241500,-60.8117690015505
10243000,-63.1495815405174
10244500,-64.9839761816115
10246000,-65.0416754701811
10247500,-63.4073657563804
10249000,-60.7367319808875
10250500,-57.8107339741596
10252000,-55.1250264082943
10253500,-52.9233870023905
10255000,-51.313209965814
10256500,-50.3276519333505
10258000,-49.9555881522593
10259500,-50.153931224429
10261000,-50.8477767004928
10262500,-51.9317797648259
10264000,-53.272894952124
10265500,-54.6994308192613
10267000,-55.9075805209378
10268500,-56.380970334476
10270000,-56.0952508243962
10271500,-55.6076799415742
10273000,-55.3973943033441
10274500,-55.7276804067111
10276000,-56.5754950462633
10277500,-57.5399576616121
10279000,-58.150477072614
10280500,-58.3158897029421
10282000,-58.1491658697696
10283500,-57.7430473928312
10285000,-57.264281739528
10286500,-56.9084989046628
