Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.009933333333
Start Frequency,10000000
Stop Frequency,11500000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext1
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10000000,-23.2722899325507
10001500,-22.5921438900184
10003000,-21.5527606914718
10004500,-20.5317043079431
10006000,-19.8598412322695
10007500,-19.8045400658558
10009000,-20.6260830665136
10010500,-22.7351081688039
10012000,-27.2072943536535
10013500,-31.5802367051995
10015000,-31.1641282693895
10016500,-29.2616516451687
10018000,-27.5373279676029
10019500,-26.4243924801944
10021000,-25.9854703605606
10022500,-26.1652283385023
10024000,-26.8860138243565
10025500,-28.0858126138778
10027000,-29.7172667875209
10028500,-31.7116001590263
10030000,-33.8912592699842
10031500,-35.9384428708506
10033000,-37.621012927076
10034500,-39.0386221722507
10036000,-40.5196993428503
10037500,-42.39538413699
10039000,-44.9034410033843
10040500,-48.2431390742871
10042000,-52.8079863697238
10043500,-57.8293465263931
10045000,-58.9584228803275
10046500,-57.4865129608108
10048000,-55.1298894129011
10049500,-52.6270795844246
10051000,-50.3314015365808
10052500,-48.4721629474366
10054000,-47.2222749120818
10055500,-46.7212095221753
10057000,-47.0662013008172
10058500,-48.1496401308472
10060000,-49.2551172736399
10061500,-49.4927077047355
10063000,-48.9071914886818
10064500,-47.975829299453
10066000,-46.9626345130539
10067500,-45.9281916100541
10069000,-44.9011911697766
10070500,-43.9474112381118
10072000,-43.1427886530519
10073500,-42.5472398230235
10075000,-42.2183205484273
10076500,-42.2321793976145
10078000,-42.6916823138379
10079500,-43.6970041995368
10081000,-45.1975097415423
10082500,-46.6514739941103
10084000,-47.2581201188488
10085500,-46.9662054187727
10087000,-46.2681069218629
10088500,-45.5558861973962
10090000,-45.0120761879702
10091500,-44.7041556625795
10093000,-44.6725245718519
10094500,-44.9754768394476
10096000,-45.6978202979909
10097500,-46.951810040815
10099000,-48.8513051399036
10100500,-51.2706510802154
10102000,-53.2572443229603
10103500,-53.9711371356325
10105000,-53.8958232792943
10106500,-53.7368201254821
10108000,-53.7382477786623
10109500,-53.7020507593769
10111000,-53.3857767121662
10112500,-52.8092255862937
10114000,-52.1220398267292
10115500,-51.4207601721641
10117000,-50.7406870390428
10118500,-50.1358464324654
10120000,-49.726608846449
10121500,-49.6861770716881
10123000,-50.2068887512052
10124500,-51.4873464970932
10126000,-53.6864409001944
10127500,-56.5594433311743
10129000,-58.7609353641065
10130500,-59.320733281116
10132000,-58.7967770593588
10133500,-57.8770402533178
10135000,-56.9437058354578
10136500,-56.1833637036448
10138000,-55.7121233555132
10139500,-55.7018937408167
10141000,-56.4799686691241
10142500,-58.6731079147393
10144000,-63.0941377463563
10145500,-67.0619982796051
10147000,-68.3242058902515
10148500,-69.0747209771014
10150000,-66.2010295363685
10151500,-61.2825218572031
10153000,-56.4991730091769
10154500,-52.5009364004503
10156000,-49.3964381119307
10157500,-47.1271136420652
10159000,-45.5699105331452
10160500,-44.5347259639673
10162000,-43.7445951434104
10163500,-42.9091866778832
10165000,-41.8946138840543
10166500,-40.7732058223796
10168000,-39.7195249109043
10169500,-38.9075816787556
10171000,-38.4739966807723
10172500,-38.522478788589
10174000,-39.1391195651504
10175500,-40.4115981176936
10177000,-42.4477665909031
10178500,-45.3996250043093
10180000,-49.4723575239885
10181500,-54.6798020262822
10183000,-59.3995829235402
10184500,-60.980552345208
10186000,-59.9032346813549
10187500,-57.9519085877858
10189000,-56.1079242485889
10190500,-54.730424946907
10192000,-53.8764677001457
10193500,-53.5630071596898
10195000,-53.9193915897073
10196500,-55.1700473772922
10198000,-57.2960831000992
10199500,-59.0347328500638
10201000,-58.6840053882808
10202500,-57.212589505179
10204000,-55.7808331346158
10205500,-54.788864359798
10207000,-54.3042925153227
10208500,-54.236883021567
10210000,-54.4128568212532
10211500,-54.626402268667
10213000,-54.6950736887499
10214500,-54.5290022877963
10216000,-54.1768799858039
10217500,-53.7924216492818
10219000,-53.5583577358891
10220500,-53.6223040796323
10222000,-54.0621470875897
10223500,-54.8725847755529
10225000,-55.9642837835475
10226500,-57.1884666209665
10228000,-58.3881929563648
10229500,-59.4524226992076
10231000,-60.3173341646004
10232500,-60.8811661940252
10234000,-60.9792405381553
10235500,-60.586894607648
10237000,-59.9575908507482
10238500,-59.4738678998586
10240000,-59.4899627228095
10241500,-60.3046483217019
10243000,-62.0969687216792
10244500,-63.8827169453832
10246000,-63.8520276902391
10247500,-62.2894064397605
10249000,-60.2950252773777
10250500,-58.5722285498093
10252000,-57.4616249346724
10253500,-57.1335721372931
10255000,-57.6552708492293
10256500,-58.9076289943047
10258000,-60.3797021283858
10259500,-61.4749976580944
10261000,-62.3259326203102
10262500,-63.9110531657585
10264000,-68.052890589738
10265500,-70.378310617907
10267000,-68.0432305159391
10268500,-64.7768700591405
10270000,-61.8332494413947
10271500,-59.4551811065521
10273000,-57.6096069617047
10274500,-56.2193265008796
10276000,-55.2424999011699
10277500,-54.6841486898391
10279000,-54.5830541459393
10280500,-54.9913966853106
10282000,-55.9368939487532
10283500,-57.3352914361769
10285000,-58.8595826927901
10286500,-59.9822162751419
