Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.009933333333
Start Frequency,10000000
Stop Frequency,11500000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext1
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10000000,-29.8238492338074
10001500,-29.0086593293073
10003000,-27.4679905955987
10004500,-25.8474667021073
10006000,-24.6048844238705
10007500,-24.0793190960564
10009000,-24.5860691737773
10010500,-26.3974235950313
10012000,-28.507586582713
10013500,-28.483903715796
10015000,-26.909354148314
10016500,-25.1120841165755
10018000,-23.6934643705329
10019500,-22.8614106427681
10021000,-22.6650764145635
10022500,-23.0918113527349
10024000,-24.1061094645815
10025500,-25.6570995235927
10027000,-27.67869573963
10028500,-30.0945180290749
10030000,-32.8422468112128
10031500,-35.9041977530322
10033000,-39.3484791321392
10034500,-43.3965471984466
10036000,-47.6757274450071
10037500,-49.7051675781393
10039000,-49.3130638668826
10040500,-48.2839376167517
10042000,-47.6229944491306
10043500,-47.7554375598793
10045000,-48.837997335922
10046500,-50.9061709590578
10048000,-53.8821595431783
10049500,-57.0577398162666
10051000,-59.2205001709202
10052500,-60.5862685090979
10054000,-61.6904413352604
10055500,-60.7523276229386
10057000,-57.7132625233593
10058500,-54.2051715671511
10060000,-51.1624731723084
10061500,-48.9532010082253
10063000,-47.701361090345
10064500,-47.4312499591904
10066000,-48.1047313638173
10067500,-49.5533678192362
10069000,-51.2086571876933
10070500,-52.0388717438109
10072000,-51.5099984810238
10073500,-50.0325409880328
10075000,-48.2607453221581
10076500,-46.6796140713802
10078000,-45.5895405728392
10079500,-45.1694488909578
10081000,-45.538572706865
10082500,-46.8164838593431
10084000,-49.2271224061962
10085500,-53.2243903198414
10087000,-57.1159956038239
10088500,-56.9831915284133
10090000,-54.9318081024752
10091500,-52.5146848909214
10093000,-50.3860404753845
10094500,-48.8368625681343
10096000,-48.0172555002412
10097500,-48.0277097201183
10099000,-48.9777668050197
10100500,-51.0953304354167
10102000,-55.2915381124688
10103500,-60.7963533842549
10105000,-62.136355103201
10106500,-59.9386346728217
10108000,-57.3447324296822
10109500,-55.1918834311988
10111000,-53.7494395656964
10112500,-53.1049024817848
10114000,-53.2661122083213
10115500,-54.1788580775944
10117000,-55.7141711377365
10118500,-57.649609439495
10120000,-59.6014803435204
10121500,-60.9427797489678
10123000,-61.1555006789181
10124500,-60.2655771616581
10126000,-58.7167344045773
10127500,-57.0120897302388
10129000,-55.4995988946173
10130500,-54.3482109467116
10132000,-53.5849420531043
10133500,-53.1335383163439
10135000,-52.8638152759073
10136500,-52.6674344478677
10138000,-52.5215920752748
10139500,-52.5039693213541
10141000,-52.7525210868186
10142500,-53.3847903760861
10144000,-54.3741797398771
10145500,-55.4366687402872
10147000,-56.0994998646407
10148500,-55.9624164782272
10150000,-54.916201056
10151500,-53.1784072415299
10153000,-51.1181401129213
10154500,-49.069486545224
10156000,-47.2706675920648
10157500,-45.8676594646574
10159000,-44.9187302693987
10160500,-44.3841993949989
10162000,-44.1078746711791
10163500,-43.8516459184267
10165000,-43.4280019018853
10166500,-42.8122909912882
10168000,-42.1174710697129
10169500,-41.5028452484344
10171000,-41.1197901657819
10172500,-41.0957994315631
10174000,-41.5376867238135
10175500,-42.5410395104139
10177000,-44.2012681962191
10178500,-46.620436058364
10180000,-49.8929253995304
10181500,-53.9743592915434
10183000,-58.4171937394888
10184500,-62.5587538136925
10186000,-64.7761475286358
10187500,-63.7632909275809
10189000,-61.0853934134319
10190500,-58.1454398091183
10192000,-55.6042342156356
10193500,-53.772082181342
10195000,-52.8028598751817
10196500,-52.7910782703652
10198000,-53.8283634371934
10199500,-56.0449071589773
10201000,-59.4534858680499
10202500,-63.0859255686208
10204000,-64.1688339289876
10205500,-62.8868649066024
10207000,-60.8931348153457
10208500,-58.9640235196269
10210000,-57.4312943809892
10211500,-56.4676107400631
10213000,-56.1920396853683
10214500,-56.709914804342
10216000,-58.1207965782507
10217500,-60.4020327487895
10219000,-62.9916747801011
10220500,-64.775255479445
10222000,-65.4279717951328
10223500,-65.4066988667836
10225000,-65.0619791079957
10226500,-64.6670954171203
10228000,-64.4870156382575
10229500,-64.7366433657489
10231000,-65.5195508108003
10232500,-66.7341904851639
10234000,-68.0616089678735
10235500,-69.294491069547
10237000,-70.1754381401845
10238500,-70.1532757970475
10240000,-69.1314655617044
10241500,-67.789653782117
10243000,-66.7763553602473
10244500,-66.4911263874843
10246000,-67.2763806539506
10247500,-69.1779136073764
10249000,-69.61763897905
10250500,-69.300756244862
10252000,-68.5136760189718
10253500,-67.2293451418273
10255000,-65.5170098805274
10256500,-63.5805400876839
10258000,-61.6980716771616
10259500,-60.1601079585622
10261000,-59.1930324125838
10262500,-58.9462143058213
10264000,-59.5202199063665
10265500,-60.9851814561435
10267000,-63.2794170542166
10268500,-65.6753091049548
10270000,-66.7455028854057
10271500,-66.0426523353864
10273000,-64.2779457632143
10274500,-62.1738011690144
10276000,-60.2444679016571
10277500,-58.8104741639804
10279000,-58.0597604600494
10280500,-58.1155751424295
10282000,-59.106782109784
10283500,-61.2896570544775
10285000,-65.014220059941
10286500,-68.298331537285
