Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.0088
Start Frequency,10000000
Stop Frequency,11000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext1
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10000000,-29.914514656191
10001000,-28.8973529997064
10002000,-27.5012504798707
10003000,-26.1425306716318
10004000,-25.1338711730542
10005000,-24.6824755377408
10006000,-24.8821998916397
10007000,-25.59769792954
10008000,-26.2706933531279
10009000,-26.2576590418599
10010000,-25.4963736413732
10011000,-24.313556368189
10012000,-23.016246360098
10013000,-21.802418130815
10014000,-20.7908889461973
10015000,-20.0514418073645
10016000,-19.6174033447832
10017000,-19.4939607339701
10018000,-19.6621533593655
10019000,-20.0851754016337
10020000,-20.7169038140622
10021000,-21.5112355280067
10022000,-22.4286869545231
10023000,-23.4408184775848
10024000,-24.5289953888149
10025000,-25.6908534713234
10026000,-26.9509375744572
10027000,-28.3729984482093
10028000,-30.0627607041519
10029000,-32.1572714695786
10030000,-34.7848609213876
10031000,-37.9179108309397
10032000,-41.0862374997747
10033000,-43.6351614410618
10034000,-45.5252324037383
10035000,-47.0996328586889
10036000,-48.5103179605759
10037000,-49.6275999016402
10038000,-50.2356545608496
10039000,-50.221921922223
10040000,-49.6801067917279
10041000,-48.8855310945756
10042000,-48.1617495343292
10043000,-47.7769651324332
10044000,-47.9194156268822
10045000,-48.7180425289371
10046000,-50.2840442337289
10047000,-52.7975044478318
10048000,-56.5733177821625
10049000,-60.3037496390781
10050000,-61.2348466084974
10051000,-60.2965241893125
10052000,-58.6523245788792
10053000,-56.6419555944284
10054000,-54.3953332629937
10055000,-52.1186113504312
10056000,-50.0534216681214
10057000,-48.3931058507351
10058000,-47.2616529701043
10059000,-46.7319879444402
10060000,-46.841820959042
10061000,-47.6050310712101
10062000,-48.9678804157245
10063000,-50.6098007413252
10064000,-51.7301903516476
10065000,-51.7031501824452
10066000,-50.7075621327718
10067000,-49.2401894026059
10068000,-47.7079111291683
10069000,-46.3822219697754
10070000,-45.4399325335361
10071000,-44.9999118562848
10072000,-45.1540475717985
10073000,-46.0015203444816
10074000,-47.7255608178851
10075000,-50.9275400264681
10076000,-56.7267007311148
10077000,-58.744302531469
10078000,-56.5409254988255
10079000,-53.5543707017197
10080000,-50.7281046718346
10081000,-48.3786334866173
10082000,-46.6255153522492
10083000,-45.5170576999925
10084000,-45.0750353803445
10085000,-45.3065739914
10086000,-46.2001541951553
10087000,-47.689896670447
10088000,-49.5590030710586
10089000,-51.2808298054293
10090000,-52.1600470779483
10091000,-51.9334052667771
10092000,-50.904060230388
10093000,-49.5356658351897
10094000,-48.2075898034932
10095000,-47.1765592143488
10096000,-46.6033485963814
10097000,-46.5862336714229
10098000,-47.1827977126649
10099000,-48.4201206140214
10100000,-50.2741968879801
10101000,-52.5212323855003
10102000,-54.410645620361
10103000,-55.0250336969389
10104000,-54.3565864623046
10105000,-53.0107646249456
10106000,-51.531536773411
10107000,-50.2725983538264
10108000,-49.4497426014059
10109000,-49.1996638440633
10110000,-49.6307518457508
10111000,-50.8794395158016
10112000,-53.2457225847656
10113000,-57.4751977974194
10114000,-61.9178420048108
10115000,-61.8103913985642
10116000,-59.7611047433167
10117000,-57.4311099051083
10118000,-55.350091847942
10119000,-53.7082419870899
10120000,-52.5881052211909
10121000,-52.0449095576807
10122000,-52.1412154172619
10123000,-52.9682395183106
10124000,-54.6691922257273
10125000,-57.437154070168
10126000,-61.0628626854968
10127000,-64.1324747697748
10128000,-65.7419772008141
10129000,-66.80365925873
10130000,-67.8692673596025
10131000,-68.8208809085701
10132000,-68.8774913501132
10133000,-67.4810785748612
10134000,-65.1794064929996
10135000,-62.7093183109446
10136000,-60.4995727380393
10137000,-58.7365903355694
10138000,-57.4563673930084
10139000,-56.6072580972889
10140000,-56.0976116621427
10141000,-55.834244076502
10142000,-55.7369263371704
10143000,-55.7333971291019
10144000,-55.7616082169443
10145000,-55.7974341430225
10146000,-55.8584012227669
10147000,-55.9382271455444
10148000,-55.915740455792
10149000,-55.6038566234233
10150000,-54.9326001288037
10151000,-53.9816008912296
10152000,-52.8385057792695
10153000,-51.5339588763318
10154000,-50.102814467756
10155000,-48.6358016722107
10156000,-47.2509242163716
10157000,-46.0406388295608
10158000,-45.0421541621369
10159000,-44.236288547734
10160000,-43.5646524380013
10161000,-42.959078978916
10162000,-42.3744031404757
10163000,-41.8097942187346
10164000,-41.3110598345085
10165000,-40.9550807563188
10166000,-40.8332158164505
10167000,-41.0380527110046
10168000,-41.6589380450323
10169000,-42.7755322024933
10170000,-44.4152433194919
10171000,-46.3844601802185
10172000,-48.0767690160159
10173000,-48.954162739494
10174000,-49.1179572258368
10175000,-48.9549524145417
10176000,-48.7620721210166
10177000,-48.7228324502408
10178000,-48.9911252850503
10179000,-49.7611540373765
10180000,-51.3183036292121
10181000,-54.0051092947028
10182000,-57.0171026601782
10183000,-58.1474547060394
10184000,-57.7328416847741
10185000,-57.0715433605628
10186000,-56.7764878534725
10187000,-56.9855825531479
10188000,-57.5041208552634
10189000,-57.8991923305575
10190000,-57.7536347037497
10191000,-56.96029721532
10192000,-55.7202519681041
