Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.011
Start Frequency,8000000
Stop Frequency,12000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Periodic
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
8000000,-73.8398542273877
8004000,-73.9318909277554
8008000,-74.0858915762201
8012000,-74.2502275159803
8016000,-74.384778964306
8020000,-74.4746828471886
8024000,-74.6291876668552
8028000,-74.8058042097466
8032000,-74.7928736317757
8036000,-74.7914388768057
8040000,-74.7245666958887
8044000,-74.6709102060352
8048000,-74.6698077967348
8052000,-74.6675961303326
8056000,-74.7153731938927
8060000,-74.7084392126418
8064000,-74.6300389591274
8068000,-74.6643794842826
8072000,-74.7279400376401
8076000,-74.7347307331469
8080000,-74.6776704516707
8084000,-74.5601335934985
8088000,-74.520587839719
8092000,-74.5563379205027
8096000,-74.5183524125609
8100000,-74.4781634002624
8104000,-74.526206143547
8108000,-74.5699417877158
8112000,-74.7126144444124
8116000,-74.9087021946882
8120000,-75.0532292698941
8124000,-75.0140823779614
8128000,-74.930036306067
8132000,-74.8667552047233
8136000,-74.9048820234138
8140000,-75.003853401972
8144000,-75.024884431219
8148000,-75.0198903018175
8152000,-75.093722174485
8156000,-75.128377749731
8160000,-75.064621582535
8164000,-74.9809334808196
8168000,-74.7953509680003
8172000,-74.6014606265114
8176000,-74.5329150922107
8180000,-74.6151971622092
8184000,-74.7420940958945
8188000,-74.8553561349651
8192000,-74.8746644462381
8196000,-74.6955236659554
8200000,-74.4248928819591
8204000,-74.1519410013448
8208000,-74.068543391239
8212000,-74.0423438078673
8216000,-74.0226569088808
8220000,-74.0754573311996
8224000,-74.2263116188433
8228000,-74.420077077209
8232000,-74.5766065533859
8236000,-74.6097069979829
8240000,-74.4581427574876
8244000,-74.1894709963895
8248000,-74.0717247583552
8252000,-74.044838375802
8256000,-74.0072116314905
8260000,-74.0033924536552
8264000,-73.9631028902292
8268000,-73.8803384489619
8272000,-73.7280097153976
8276000,-73.6078584166256
8280000,-73.7026933592756
8284000,-73.7618094127747
8288000,-73.8057385314782
8292000,-73.801536531231
8296000,-73.8126118645157
8300000,-73.706847468515
8304000,-73.4716868872526
8308000,-73.1433161415455
8312000,-72.8886053419056
8316000,-72.7751006298543
8320000,-72.739260921398
8324000,-72.7018549680031
8328000,-72.7447353251991
8332000,-72.9875242215055
8336000,-73.3659822617732
8340000,-73.6302971214494
8344000,-73.7477711013421
8348000,-73.7257563592875
8352000,-73.6106698682249
8356000,-73.4865521147865
8360000,-73.4209110478405
8364000,-73.4335057418731
8368000,-73.4138322833725
8372000,-73.5218501251678
8376000,-73.724288977386
8380000,-73.9086753330049
8384000,-74.091615278061
8388000,-74.2754017336766
8392000,-74.3227490518032
8396000,-74.0928342309591
8400000,-73.8881286082779
8404000,-73.792499181846
8408000,-73.5966344276312
8412000,-73.3957346129161
8416000,-73.3685999231299
8420000,-73.2840246593296
8424000,-73.2318808700852
8428000,-73.3526810974433
8432000,-73.630614568202
8436000,-73.7451948393327
8440000,-73.7272942172893
8444000,-73.8070681321357
8448000,-73.9602432530247
8452000,-74.0106397168637
8456000,-74.0716242427517
8460000,-74.1934667361024
8464000,-74.215962978284
8468000,-74.0700921961079
8472000,-73.9384655930548
8476000,-73.7923615760985
8480000,-73.5821750215115
8484000,-73.4685251374003
8488000,-73.4424423036291
8492000,-73.5980158831401
8496000,-73.848046133316
8500000,-73.9545285874064
8504000,-74.0467135348812
8508000,-74.1527514413019
8512000,-74.0970750016594
8516000,-73.8952421978286
8520000,-73.5974883150012
8524000,-73.3952031591172
8528000,-73.3096990869801
8532000,-73.3366821544392
8536000,-73.5685395313556
8540000,-73.847521051698
8544000,-74.0902845418882
8548000,-74.3506643546888
8552000,-74.4226164550805
8556000,-74.4110192420143
8560000,-74.3882170599422
8564000,-74.2817905868007
8568000,-74.1472012290413
8572000,-74.0155237714339
8576000,-73.9593849144554
8580000,-73.9341831570315
8584000,-73.9217962696482
8588000,-73.8720325334661
8592000,-73.9622111436467
8596000,-74.0013163819615
8600000,-74.0554846621315
8604000,-74.1021450376729
8608000,-74.1427365794572
8612000,-74.2742680749916
8616000,-74.3389196245757
8620000,-74.4662844103727
8624000,-74.5094494075387
8628000,-74.5278703328656
8632000,-74.4695060876406
8636000,-74.3822942230354
8640000,-74.433246290494
8644000,-74.5216726136356
8648000,-74.5879926249231
8652000,-74.4943179706137
8656000,-74.4201315284594
8660000,-74.3667252083208
8664000,-74.3166586341234
8668000,-74.2366047400243
8672000,-74.1097573713182
8676000,-74.1238476956426
8680000,-74.2281632256332
8684000,-74.290315272644
8688000,-74.3785199343008
8692000,-74.628033293653
8696000,-74.8982572920912
8700000,-75.0502769500401
8704000,-75.140182488405
8708000,-75.2269074732771
8712000,-75.2945927896758
8716000,-75.1825758775047
8720000,-75.0825105308397
8724000,-74.9832091426828
8728000,-74.8982303078662
8732000,-74.8138854091936
8736000,-74.7604441021068
8740000,-74.6822920066317
8744000,-74.6158173675237
8748000,-74.5749762126745
8752000,-74.5333439771668
8756000,-74.5619931181885
8760000,-74.6836485465109
8764000,-74.7994383626108
8768000,-74.8958579453111
