Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.011
Start Frequency,8000000
Stop Frequency,12000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Periodic
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
8000000,-73.9613608017139
8004000,-74.0311927147077
8008000,-74.1069131514181
8012000,-74.1892924838464
8016000,-74.1199356230255
8020000,-73.9938162784127
8024000,-73.8562302325063
8028000,-73.7457943063797
8032000,-73.8169247447893
8036000,-73.8244383335101
8040000,-73.6615449849409
8044000,-73.46295314401
8048000,-73.2007405535997
8052000,-73.0643579920844
8056000,-73.0858782814686
8060000,-73.217076377985
8064000,-73.2984622682852
8068000,-73.3296330261921
8072000,-73.3565630915497
8076000,-73.3942621584083
8080000,-73.3253994971479
8084000,-73.1348261535356
8088000,-72.9222267332483
8092000,-72.661176750526
8096000,-72.4867139463877
8100000,-72.3753343404074
8104000,-72.2916648097468
8108000,-72.2821366828769
8112000,-72.3019601770253
8116000,-72.3511143664769
8120000,-72.5286673283602
8124000,-72.7652244924123
8128000,-72.888780917725
8132000,-72.8998148454928
8136000,-72.9868055071499
8140000,-73.0029910743504
8144000,-72.8740139671483
8148000,-72.6778091172299
8152000,-72.4450777365057
8156000,-72.3514764881892
8160000,-72.2720117238878
8164000,-72.1961384815655
8168000,-72.1043901387529
8172000,-72.0410161968677
8176000,-72.0018629818474
8180000,-72.099623772337
8184000,-72.1692006185499
8188000,-72.0267920812383
8192000,-71.8607377649429
8196000,-71.8245731975124
8200000,-71.9371676017186
8204000,-72.0391782825983
8208000,-72.0678764467632
8212000,-72.0730171689507
8216000,-72.1011144397219
8220000,-72.052553645007
8224000,-71.9679348472549
8228000,-71.8093951871111
8232000,-71.6844785488019
8236000,-71.5937374654677
8240000,-71.4969772372766
8244000,-71.4007169705954
8248000,-71.2444077872384
8252000,-71.1492060907862
8256000,-71.1074931524016
8260000,-71.2485210429376
8264000,-71.6209357765405
8268000,-72.0643985023655
8272000,-72.2873641535681
8276000,-72.3418734330379
8280000,-72.3181268621084
8284000,-72.2855924534274
8288000,-72.2211881688251
8292000,-72.0163063391263
8296000,-71.7501531405991
8300000,-71.6748887897392
8304000,-71.6078580908197
8308000,-71.3969727791029
8312000,-71.0721787065364
8316000,-70.8410015294384
8320000,-70.6523966426019
8324000,-70.5234058552363
8328000,-70.4956375345687
8332000,-70.6805108864853
8336000,-70.9000103319154
8340000,-71.1577644199122
8344000,-71.4532012491685
8348000,-71.6488602426236
8352000,-71.6265800725282
8356000,-71.487191826239
8360000,-71.3455084049099
8364000,-71.381933881838
8368000,-71.4925419404827
8372000,-71.5984557544303
8376000,-71.7296054090269
8380000,-71.8429070485598
8384000,-71.983023799203
8388000,-72.1011333650621
8392000,-72.1140941978689
8396000,-72.0304715066711
8400000,-71.8950176565644
8404000,-71.888420538248
8408000,-71.9033126999527
8412000,-71.835493373282
8416000,-71.7329964034074
8420000,-71.6726350524675
8424000,-71.7416521803899
8428000,-71.8931650411027
8432000,-72.0699950916211
8436000,-72.253671036053
8440000,-72.3697330962376
8444000,-72.4253156447796
8448000,-72.457811410214
8452000,-72.5420294385937
8456000,-72.6483095495807
8460000,-72.8160674735539
8464000,-72.9014185459373
8468000,-73.0223107742059
8472000,-73.2037973206084
8476000,-73.2337256659371
8480000,-73.1851095988311
8484000,-73.1100675326113
8488000,-73.0791900182901
8492000,-73.1952149110308
8496000,-73.37526919927
8500000,-73.4833815405665
8504000,-73.3810292996036
8508000,-73.1479730703785
8512000,-72.9383231723692
8516000,-72.787794607913
8520000,-72.6431665530186
8524000,-72.5140815993407
8528000,-72.5669509761407
8532000,-72.7489385637772
8536000,-72.940762089595
8540000,-73.0222285845155
8544000,-73.0634169199358
8548000,-73.1641655209117
8552000,-73.3377713962451
8556000,-73.6174759476785
8560000,-73.7669186744422
8564000,-73.6914106125779
8568000,-73.5098372443506
8572000,-73.3457700998524
8576000,-73.2623827656051
8580000,-73.1967152643957
8584000,-73.1143197371884
8588000,-73.0389506348422
8592000,-72.986045348362
8596000,-73.002400268401
8600000,-73.0200521922333
8604000,-73.0441961531529
8608000,-73.1333646320454
8612000,-73.1356172174833
8616000,-73.2017177592605
8620000,-73.4095714560933
8624000,-73.6751419027456
8628000,-73.883374226543
8632000,-73.9734412394415
8636000,-74.0428679108244
8640000,-74.1448997969802
8644000,-74.1054823728028
8648000,-74.0182797516428
8652000,-73.8894436517743
8656000,-73.8975094457441
8660000,-73.9168997272812
8664000,-73.8283834019653
8668000,-73.7530080643188
8672000,-73.6630376562408
8676000,-73.6111514830932
8680000,-73.6258763860999
8684000,-73.626149826351
8688000,-73.6294733556601
8692000,-73.6634851776557
8696000,-73.6153985232914
8700000,-73.5174691913101
8704000,-73.5282619385846
8708000,-73.5533621741647
8712000,-73.466341528844
8716000,-73.3256175246719
8720000,-73.21889457444
8724000,-73.3034089310334
8728000,-73.5150499882001
8732000,-73.753014352249
8736000,-73.8895268470682
8740000,-73.9196434831889
8744000,-73.8547771501506
8748000,-73.6702362029626
8752000,-73.4522004105281
8756000,-73.3358545138891
8760000,-73.2675023936941
8764000,-73.0470118377692
8768000,-72.703231893081
