Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.011
Start Frequency,8000000
Stop Frequency,12000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Periodic
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
8000000,-73.7998065885298
8004000,-73.7501287474247
8008000,-73.7925971221904
8012000,-73.8311488086264
8016000,-73.8575595743328
8020000,-73.8714862839891
8024000,-73.911747648654
8028000,-73.910338190351
8032000,-73.9742711403803
8036000,-74.1248852916645
8040000,-74.3347068357251
8044000,-74.4088917480596
8048000,-74.4208984616855
8052000,-74.4146134299541
8056000,-74.3768430899372
8060000,-74.2152972917177
8064000,-74.0833936940462
8068000,-74.0621574061734
8072000,-74.0678250925021
8076000,-73.9617573625523
8080000,-73.7922283716857
8084000,-73.6425688288065
8088000,-73.5382752735352
8092000,-73.4834018547932
8096000,-73.5030275324357
8100000,-73.6034473228303
8104000,-73.6692412674937
8108000,-73.7598859912436
8112000,-73.9834012168613
8116000,-74.19048726062
8120000,-74.3936280104646
8124000,-74.5213885677651
8128000,-74.4762272446549
8132000,-74.346191662256
8136000,-74.2217454326128
8140000,-74.1492503674177
8144000,-74.1532219738741
8148000,-74.084196303988
8152000,-73.9754778391798
8156000,-73.9496042269264
8160000,-73.9955902779826
8164000,-74.0158475324467
8168000,-73.9214525219096
8172000,-73.8272857492134
8176000,-73.7079224032077
8180000,-73.5677469805586
8184000,-73.4281076740626
8188000,-73.2762967204093
8192000,-73.1130049921121
8196000,-72.9901834908752
8200000,-72.8776323473259
8204000,-72.7801870284153
8208000,-72.7047171414664
8212000,-72.6331748343072
8216000,-72.6750576390876
8220000,-72.8474102152268
8224000,-72.8622794136575
8228000,-72.7959615171814
8232000,-72.839715916134
8236000,-73.0290841515087
8240000,-73.3021864276514
8244000,-73.4441308865051
8248000,-73.4355700429538
8252000,-73.4529696163265
8256000,-73.3957942670719
8260000,-73.2274452157898
8264000,-73.15733147702
8268000,-73.1067625902483
8272000,-72.9750765052242
8276000,-72.7854021612067
8280000,-72.5316110132477
8284000,-72.2394578057191
8288000,-71.9782523208963
8292000,-71.8021914065641
8296000,-71.7197756636111
8300000,-71.6882160930252
8304000,-71.6759656059407
8308000,-71.7442227444999
8312000,-71.780783807627
8316000,-71.9143125136976
8320000,-72.1430368979481
8324000,-72.2950717596014
8328000,-72.4759261283936
8332000,-72.7293638841147
8336000,-73.0150575394591
8340000,-73.0861986244594
8344000,-72.9423413764614
8348000,-72.8475884859245
8352000,-72.8045136260387
8356000,-72.6444416348915
8360000,-72.5366253491225
8364000,-72.5654579642716
8368000,-72.7225370432907
8372000,-72.7886420849835
8376000,-72.6502305267653
8380000,-72.4882573746374
8384000,-72.3596024004532
8388000,-72.3158591991688
8392000,-72.3180390566336
8396000,-72.2904131668488
8400000,-72.2531141445467
8404000,-72.1078409655419
8408000,-71.9643022391449
8412000,-71.9583723384977
8416000,-72.0430655929909
8420000,-72.1339886065823
8424000,-72.1810215537923
8428000,-72.2853567362667
8432000,-72.5390881268881
8436000,-72.6584968629022
8440000,-72.6224823213137
8444000,-72.5861467088842
8448000,-72.627279763235
8452000,-72.6964894016293
8456000,-72.685343173658
8460000,-72.7496309452208
8464000,-72.8744437104139
8468000,-72.9669942807145
8472000,-73.0466941578754
8476000,-73.0050495955711
8480000,-72.8469540934375
8484000,-72.647563402016
8488000,-72.4907501367183
8492000,-72.3534808135546
8496000,-72.3021412803199
8500000,-72.4084710275781
8504000,-72.5151265414042
8508000,-72.5994368326823
8512000,-72.7023912178936
8516000,-72.9140872631401
8520000,-72.9789191855872
8524000,-72.9998136886323
8528000,-73.0723579826025
8532000,-73.1866059725017
8536000,-73.2811787909911
8540000,-73.3866016102513
8544000,-73.5794271045748
8548000,-73.6824501747923
8552000,-73.7189860627963
8556000,-73.6804498136104
8560000,-73.559651002277
8564000,-73.5162736575808
8568000,-73.5256411632536
8572000,-73.4614174423656
8576000,-73.4333750773899
8580000,-73.5418646484528
8584000,-73.6981164144082
8588000,-73.7858275636708
8592000,-73.8340032016487
8596000,-73.8136737731237
8600000,-73.7519072989182
8604000,-73.7979895130347
8608000,-73.8654279585925
8612000,-73.9570598064739
8616000,-73.9400504118278
8620000,-73.7260903536667
8624000,-73.4698773497561
8628000,-73.3213703990619
8632000,-73.1347055004861
8636000,-72.9841276813565
8640000,-72.9514037549887
8644000,-73.0193800252726
8648000,-73.2124676984932
8652000,-73.4461344008381
8656000,-73.5805065543414
8660000,-73.7231252274747
8664000,-73.67553805782
8668000,-73.5385456114918
8672000,-73.4595932123102
8676000,-73.4813839558018
8680000,-73.6729825223161
8684000,-73.80291561655
8688000,-73.7387178124952
8692000,-73.6284509176036
8696000,-73.6681027981089
8700000,-73.7587160923436
8704000,-73.80836284181
8708000,-73.8443703207741
8712000,-73.7299696809079
8716000,-73.5518688938594
8720000,-73.4772058286954
8724000,-73.5410358828529
8728000,-73.4529637768902
8732000,-73.2376795561345
8736000,-73.1094540839144
8740000,-72.9859591002764
8744000,-72.8347330187082
8748000,-72.7013412301452
8752000,-72.5488793916056
8756000,-72.3513559973928
8760000,-72.2065489302377
8764000,-72.1836579799876
