Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.044
Start Frequency,8000000
Stop Frequency,12000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Periodic
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
8000000,-74.2346098529578
8004000,-74.2996786761383
8008000,-75.2728980972246
8012000,-74.1578270923944
8016000,-74.9007873867538
8020000,-76.3626775278249
8024000,-75.1028087138645
8028000,-73.4074842777656
8032000,-74.7552161621864
8036000,-75.4250872583022
8040000,-75.2177173308016
8044000,-75.1125309046572
8048000,-75.1204243574434
8052000,-75.2776595663448
8056000,-74.4890870091413
8060000,-74.7870369120116
8064000,-75.3972326006689
8068000,-73.287373638864
8072000,-73.2516441265354
8076000,-74.6255806700469
8080000,-75.9773406928397
8084000,-75.8627196863776
8088000,-74.3581767660968
8092000,-73.6729564768777
8096000,-74.1637658574561
8100000,-74.0703149525618
8104000,-73.8325899094451
8108000,-75.1104732266048
8112000,-75.5422983458955
8116000,-75.3721698304255
8120000,-74.9966928825849
8124000,-75.3342640645176
8128000,-76.1367973811493
8132000,-75.0869503538829
8136000,-74.7664331304965
8140000,-74.2316414785694
8144000,-73.7958322949809
8148000,-73.5029851240344
8152000,-74.3232999594766
8156000,-75.2785078884724
8160000,-74.9888821519713
8164000,-73.3334990987728
8168000,-72.8607104863127
8172000,-73.5583532299839
8176000,-74.9259419668631
8180000,-75.3451294058673
8184000,-75.0640546148044
8188000,-75.0752472061297
8192000,-75.5899534197656
8196000,-73.6713145748297
8200000,-74.1310759220575
8204000,-74.8485405087422
8208000,-75.1395354472305
8212000,-73.6348957053974
8216000,-73.9902484353846
8220000,-73.8487642184446
8224000,-75.0721263860698
8228000,-74.3934638520705
8232000,-74.2015053883787
8236000,-75.0399063899916
8240000,-74.7952835323287
8244000,-73.8910298046256
8248000,-74.3488277264841
8252000,-74.3497837361247
8256000,-74.4608762696702
8260000,-75.8129569782406
8264000,-74.4081704939918
8268000,-74.3233302218518
8272000,-74.5740054940464
8276000,-76.0039172065643
8280000,-75.0346442599297
8284000,-75.789365983903
8288000,-74.7998972338943
8292000,-74.5502451124304
8296000,-74.0060224853859
8300000,-72.6458876077054
8304000,-73.295960708826
8308000,-73.7421371037438
8312000,-73.38226441662
8316000,-73.8773879765552
8320000,-73.7815345949344
8324000,-72.1332934344547
8328000,-73.8786929994956
8332000,-73.5774110946947
8336000,-72.3598858425321
8340000,-72.9858508532001
8344000,-74.6216778308711
8348000,-74.2730434030746
8352000,-73.0222463538102
8356000,-74.7375988763566
8360000,-74.335791725944
8364000,-75.3888952011152
8368000,-74.4481539647465
8372000,-73.1554148328907
8376000,-72.7991666512688
8380000,-73.4289177420958
8384000,-73.9864418972179
8388000,-73.5850978126191
8392000,-75.0812604400668
8396000,-73.6723790097511
8400000,-73.991908136559
8404000,-72.8683212366616
8408000,-73.148418354358
8412000,-73.2864022468919
8416000,-73.8935211103498
8420000,-74.4742589482111
8424000,-74.0488164954338
8428000,-73.5681322222581
8432000,-72.7656101972604
8436000,-72.8668908598676
8440000,-74.0412311490756
8444000,-74.2696227953352
8448000,-73.3315051391244
8452000,-73.0355956444901
8456000,-74.1291399415382
8460000,-73.9687460510546
8464000,-74.4304238514521
8468000,-74.8307530977582
8472000,-74.5888712255794
8476000,-75.3074276279871
8480000,-75.2688245159766
8484000,-75.456944181756
8488000,-75.1591221006086
8492000,-75.952705833598
8496000,-75.5271350805488
8500000,-75.138594196613
8504000,-74.8872937314595
8508000,-74.8187746639415
8512000,-74.5008691132136
8516000,-74.6009725336866
8520000,-75.0186022130193
8524000,-73.6012978297064
8528000,-73.0040110836136
8532000,-73.6053669535898
8536000,-74.2610952051605
8540000,-74.0355358761076
8544000,-74.8608833552386
8548000,-73.5709435129619
8552000,-73.1665263886262
8556000,-73.4927681947702
8560000,-74.227754559385
8564000,-75.0188965111637
8568000,-75.5080758758003
8572000,-75.4901978536816
8576000,-73.6174627138837
8580000,-75.6429789229267
8584000,-75.565017668359
8588000,-74.7735006987162
8592000,-73.9812486578115
8596000,-73.5773886087569
8600000,-75.1361256780184
8604000,-74.5342098455991
8608000,-74.9137237302747
8612000,-74.7113073213983
8616000,-72.9379482344335
8620000,-73.6764271823367
8624000,-74.4919194648186
8628000,-73.9601380567728
8632000,-75.8853956967531
8636000,-75.9793549890724
8640000,-74.8874476052866
8644000,-74.5653998158581
8648000,-74.4962919983538
8652000,-74.2994715036463
8656000,-74.0850986084404
8660000,-77.0705458687209
8664000,-75.8072843579938
8668000,-74.5070477177303
8672000,-72.9532960748965
8676000,-73.1145352846883
8680000,-74.6075738379094
8684000,-74.5381058789078
8688000,-74.3825352762938
8692000,-74.4664250520309
8696000,-75.4892774207467
8700000,-74.9327035120189
8704000,-75.2582762390359
8708000,-75.589327539964
8712000,-74.7752095695697
8716000,-74.5771704736682
8720000,-75.1611392091817
8724000,-75.421850057244
8728000,-75.2224712664983
8732000,-75.2509921512427
8736000,-74.1324853388534
8740000,-73.6048243883623
8744000,-74.4103489348636
8748000,-75.0539735313021
8752000,-76.461097474743
8756000,-75.5476549449885
8760000,-76.0592769698596
8764000,-74.5169430873295
