Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.044
Start Frequency,8000000
Stop Frequency,12000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Periodic
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
8000000,-74.059582615018
8004000,-73.4714323765885
8008000,-74.3740980230921
8012000,-73.7802339897582
8016000,-74.956886616737
8020000,-75.2554405414513
8024000,-74.4246357650333
8028000,-75.3564826415431
8032000,-75.0314745350422
8036000,-73.6996621901239
8040000,-74.0578357300904
8044000,-74.8854571795877
8048000,-75.44454681943
8052000,-74.051790734141
8056000,-76.3520745654907
8060000,-75.6101693379437
8064000,-75.4094464702641
8068000,-73.6673040935649
8072000,-73.7912535953463
8076000,-73.6950019128266
8080000,-74.9100485070349
8084000,-74.5043670971252
8088000,-74.7877456349623
8092000,-75.6155156299112
8096000,-75.010521707036
8100000,-74.9318739383316
8104000,-74.4632945806804
8108000,-76.1686890565977
8112000,-75.3485653645501
8116000,-76.7867929943854
8120000,-74.7630915974286
8124000,-73.921820244317
8128000,-73.9834764232699
8132000,-75.3350397563523
8136000,-74.9942932410803
8140000,-75.4792029068585
8144000,-75.1157368114779
8148000,-75.5720256421134
8152000,-75.7507241620711
8156000,-74.3946717479542
8160000,-75.318526208289
8164000,-75.3485611639464
8168000,-76.0770749236291
8172000,-75.2809973665796
8176000,-75.2055637517927
8180000,-74.9716484118189
8184000,-74.9431101108166
8188000,-73.8455238120443
8192000,-75.6058871642843
8196000,-75.0517659066765
8200000,-75.0762953963854
8204000,-74.7885314602728
8208000,-75.2062446846795
8212000,-74.7594088320509
8216000,-73.0888669760611
8220000,-73.5675155381733
8224000,-74.077398765475
8228000,-75.2281827692872
8232000,-73.4939135496922
8236000,-74.1172250599882
8240000,-74.7677847522252
8244000,-73.4776755253756
8248000,-73.7118762684263
8252000,-74.7210125542698
8256000,-74.9192164597908
8260000,-75.4925395274475
8264000,-74.9263014878625
8268000,-74.1772699155686
8272000,-75.1328563011205
8276000,-75.3502838003607
8280000,-75.1882127631968
8284000,-75.8211234065524
8288000,-74.1329429338749
8292000,-73.0234615056691
8296000,-74.8387164231003
8300000,-75.8890027988271
8304000,-74.6563769279811
8308000,-75.116739131056
8312000,-75.2121588851399
8316000,-75.8517986945147
8320000,-74.7693232327901
8324000,-74.527768667741
8328000,-75.3292885728612
8332000,-74.8986922306444
8336000,-75.9377861372779
8340000,-75.0977719312413
8344000,-76.6481926245145
8348000,-77.6649536047522
8352000,-75.2588928852776
8356000,-74.884541604442
8360000,-75.815787739502
8364000,-75.3978399316946
8368000,-75.6531652072986
8372000,-74.4161656052749
8376000,-75.2947249157621
8380000,-75.8429188274673
8384000,-75.0822155982462
8388000,-74.6659936006589
8392000,-74.6336150822157
8396000,-76.1954904668337
8400000,-77.2636735787489
8404000,-75.7915454510415
8408000,-76.3153349574286
8412000,-75.9577612444426
8416000,-74.5295759652474
8420000,-73.9988510401659
8424000,-75.6496919265354
8428000,-76.7787955195296
8432000,-74.968527216756
8436000,-74.3276671879245
8440000,-75.584847534591
8444000,-75.0092868910187
8448000,-75.8849597032068
8452000,-75.3676317830983
8456000,-75.0965286478351
8460000,-73.3552124960778
8464000,-74.730067677318
8468000,-76.1095274264407
8472000,-74.6806664252107
8476000,-75.093196808878
8480000,-75.0550027316126
8484000,-75.4062097719143
8488000,-74.8984905481573
8492000,-76.4257567990127
8496000,-75.8103617157223
8500000,-75.3747734471821
8504000,-76.1862303227967
8508000,-76.1274326051914
8512000,-75.3945238501853
8516000,-73.9621846270563
8520000,-73.0849462793302
8524000,-74.52527123038
8528000,-74.3961710897707
8532000,-74.189948294541
8536000,-73.630233587354
8540000,-73.7589749458627
8544000,-74.0905499082559
8548000,-74.0936715396369
8552000,-74.1561821464067
8556000,-75.848348472971
8560000,-75.6554803328088
8564000,-75.8585919686563
8568000,-76.4165522322218
8572000,-77.0803151399917
8576000,-75.9548401364054
8580000,-75.6703405618426
8584000,-74.8946664167509
8588000,-74.826991427107
8592000,-73.7655141663089
8596000,-74.1835785989321
8600000,-76.4388263480217
8604000,-75.3478567532278
8608000,-74.2994705666966
8612000,-74.9523312664891
8616000,-74.3581324986179
8620000,-73.6023336383915
8624000,-74.1286443847724
8628000,-74.4211920209831
8632000,-75.1850684711155
8636000,-74.847819215651
8640000,-75.1125274233209
8644000,-74.6460231925121
8648000,-74.7106720385202
8652000,-74.3763221972148
8656000,-75.4372329616961
8660000,-74.8105620369092
8664000,-74.537152800285
8668000,-73.2860064515195
8672000,-73.390271111285
8676000,-75.0700613421287
8680000,-74.7587445955015
8684000,-73.9095510469828
8688000,-75.393235862621
8692000,-75.8673637402979
8696000,-74.3544750277507
8700000,-75.182063429358
8704000,-75.9065995170854
8708000,-74.685071362758
8712000,-73.9802841903209
8716000,-74.2506950305876
8720000,-74.8458290943335
8724000,-75.7802946806107
8728000,-75.9666715415273
8732000,-74.1986993750396
8736000,-74.4191832823956
8740000,-74.9720469267999
8744000,-74.3399582003984
8748000,-73.1918978263446
8752000,-74.0072976038442
8756000,-73.6941230859913
8760000,-74.152262151547
8764000,-75.0484355271863
8768000,-76.4577417856035
