Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.044
Start Frequency,8000000
Stop Frequency,12000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Periodic
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
8000000,-75.4620349780548
8004000,-75.4173975272404
8008000,-73.4986176398286
8012000,-74.3414284199317
8016000,-75.1865682439227
8020000,-74.9054871592864
8024000,-75.0685461594454
8028000,-75.2687507506421
8032000,-74.2821778863325
8036000,-73.2616912166174
8040000,-75.7494124374309
8044000,-74.9586166774572
8048000,-75.7994893454916
8052000,-73.5541533906733
8056000,-73.1594597123439
8060000,-74.088818325817
8064000,-74.6753523427329
8068000,-74.7603186053527
8072000,-75.0424869492314
8076000,-74.6639657809968
8080000,-74.6449065862992
8084000,-74.8174484086704
8088000,-74.6072760042902
8092000,-72.918332005443
8096000,-73.4862643204836
8100000,-75.7537586294108
8104000,-76.2081277533689
8108000,-75.0961776260751
8112000,-74.8987609818656
8116000,-73.0247278611492
8120000,-74.158367238797
8124000,-74.8802834849892
8128000,-73.9959257531836
8132000,-74.6089272639533
8136000,-75.2070638763421
8140000,-75.2106772377989
8144000,-74.829370803541
8148000,-75.5024689223159
8152000,-75.1430321927057
8156000,-75.9872708606685
8160000,-73.9644343128183
8164000,-74.1216409536406
8168000,-74.8839335078543
8172000,-72.7243090927508
8176000,-73.4959177648227
8180000,-74.7113342197331
8184000,-74.401820912564
8188000,-75.6559754016773
8192000,-75.2217341054408
8196000,-75.548723906089
8200000,-74.451378977971
8204000,-74.2085030236385
8208000,-74.3656113633678
8212000,-74.7080836430684
8216000,-73.5937049145217
8220000,-73.9690988633332
8224000,-73.1232102360899
8228000,-74.1899666639134
8232000,-73.549369157307
8236000,-73.0108216243012
8240000,-73.5115566494333
8244000,-73.7136485130005
8248000,-73.6343755276133
8252000,-75.0953017823876
8256000,-73.8042673134875
8260000,-72.9753144085034
8264000,-72.9861650241923
8268000,-74.0650802827908
8272000,-74.1802523024267
8276000,-73.5503716472031
8280000,-74.092091949211
8284000,-74.8269261523488
8288000,-75.5351520023419
8292000,-73.7949516129795
8296000,-74.2325333377122
8300000,-73.1243875870508
8304000,-72.8577184107504
8308000,-73.0957189167925
8312000,-71.9165129231839
8316000,-74.2519228095303
8320000,-75.2768864115016
8324000,-74.3854010502407
8328000,-73.2171187279218
8332000,-72.7587576873901
8336000,-71.7831859164267
8340000,-73.6699909459702
8344000,-74.4903650808293
8348000,-73.5409246753663
8352000,-73.7533696005575
8356000,-72.946951130336
8360000,-71.8816648099159
8364000,-72.5873331798838
8368000,-72.1767041740179
8372000,-72.4231372971467
8376000,-73.9470561877779
8380000,-74.9802280431981
8384000,-74.9719380684532
8388000,-73.1207787514575
8392000,-73.5410756102436
8396000,-72.6681897488085
8400000,-72.3128573016742
8404000,-72.4607000127751
8408000,-72.1588619071062
8412000,-74.0754104800973
8416000,-73.5990120195159
8420000,-73.2867849189911
8424000,-71.9955441129669
8428000,-73.0319065449188
8432000,-72.8526773982697
8436000,-73.3907071386983
8440000,-73.376007736773
8444000,-72.6696151382106
8448000,-72.3278558584127
8452000,-72.9031407526963
8456000,-72.2375530336972
8460000,-73.7953304649506
8464000,-72.9521272658645
8468000,-73.5698592804892
8472000,-73.8305399531435
8476000,-73.7315106421076
8480000,-74.603376873579
8484000,-74.3033203687415
8488000,-73.6931894834302
8492000,-74.779415719474
8496000,-73.4817502256425
8500000,-72.6598793825287
8504000,-75.0719354353452
8508000,-74.6191462684495
8512000,-73.5753246123795
8516000,-73.594511244207
8520000,-72.3367890908366
8524000,-73.2926894797158
8528000,-73.4717776933185
8532000,-73.1463916007208
8536000,-73.5031421726965
8540000,-72.6080084010864
8544000,-73.2929960331855
8548000,-73.2312293382494
8552000,-73.4773079380157
8556000,-74.6006192925713
8560000,-74.0217856190334
8564000,-73.0034658026972
8568000,-74.3451414346912
8572000,-73.728967611733
8576000,-74.0729451256886
8580000,-74.9105987065878
8584000,-75.0524082441538
8588000,-73.3201660878521
8592000,-74.2151796537091
8596000,-74.7403174294922
8600000,-73.932366250729
8604000,-74.0471238311584
8608000,-74.1741755721999
8612000,-75.1037367075459
8616000,-74.0507224991598
8620000,-72.760812153929
8624000,-73.9241035139972
8628000,-74.0340009469699
8632000,-74.5061279716868
8636000,-74.1657125934071
8640000,-73.5793102763851
8644000,-73.7384089368521
8648000,-73.99532004642
8652000,-73.2927130169324
8656000,-73.6707017078854
8660000,-75.7049264263486
8664000,-75.2887961111194
8668000,-75.1007619128481
8672000,-74.5966828260414
8676000,-74.7775605802691
8680000,-73.9404557623055
8684000,-74.7891705576034
8688000,-73.6145664928486
8692000,-73.7909304118812
8696000,-73.9961766361064
8700000,-73.6826705556755
8704000,-75.0006310964976
8708000,-76.0335570204545
8712000,-75.0708072555679
8716000,-73.5633690080845
8720000,-74.3140859044082
8724000,-75.1305739509148
8728000,-73.8939163607653
8732000,-75.0979882687983
8736000,-76.203486109341
8740000,-76.3050655344898
8744000,-76.1682092093127
8748000,-74.6588587848061
8752000,-74.9107442771301
8756000,-74.8884905809941
8760000,-74.9949716900851
8764000,-74.5816236096613
