Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.044
Start Frequency,8000000
Stop Frequency,12000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Periodic
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
8000000,-75.5816019432656
8004000,-74.4616846785785
8008000,-75.0207404918184
8012000,-74.2918949425689
8016000,-73.5331153123751
8020000,-74.055670337178
8024000,-76.5318274432677
8028000,-76.3381789764557
8032000,-75.0392333630576
8036000,-74.8443117689739
8040000,-72.5055852345245
8044000,-71.417648579306
8048000,-73.5784038693856
8052000,-73.8165398849509
8056000,-76.7245234071456
8060000,-75.695228358551
8064000,-74.9961598222836
8068000,-75.2597170491703
8072000,-75.0526477632157
8076000,-74.8447202501856
8080000,-75.1578470413335
8084000,-74.7203220968866
8088000,-72.6865842114411
8092000,-73.8463146055821
8096000,-74.3651931278155
8100000,-75.0334086060419
8104000,-74.7081820222147
8108000,-74.8030017311797
8112000,-74.8989052342148
8116000,-74.9452987188712
8120000,-75.1330029371537
8124000,-74.5028883259606
8128000,-74.6419590786482
8132000,-72.9898673428626
8136000,-72.3065563886204
8140000,-74.2209919009659
8144000,-74.1770298070194
8148000,-74.9168942011998
8152000,-75.4213545998455
8156000,-76.0230166252899
8160000,-75.5584285489744
8164000,-75.0056602244761
8168000,-75.6811682058301
8172000,-74.26265681748
8176000,-74.1344509180475
8180000,-75.4442471476978
8184000,-75.4248392913961
8188000,-73.9315281790479
8192000,-73.8554867767291
8196000,-74.1818519935572
8200000,-73.7141488820362
8204000,-72.7882470606521
8208000,-74.0390538436103
8212000,-74.486852917356
8216000,-73.5583945901619
8220000,-73.7269544086511
8224000,-75.8143020882268
8228000,-74.6806425300906
8232000,-74.1337049342041
8236000,-73.4805307107319
8240000,-74.6222723667997
8244000,-74.3860468472745
8248000,-75.5163503450223
8252000,-74.8948942059513
8256000,-74.676414569805
8260000,-75.1865719968111
8264000,-75.1117169296831
8268000,-75.9107284119592
8272000,-75.1129127141097
8276000,-76.1634754557346
8280000,-75.2662511816082
8284000,-74.3668786891074
8288000,-75.6952467791821
8292000,-74.3478070376118
8296000,-74.3732110753159
8300000,-73.9376853434888
8304000,-73.6134178163785
8308000,-74.5096186459578
8312000,-74.3540530247006
8316000,-73.4879628216607
8320000,-73.1606910926523
8324000,-73.7475608290982
8328000,-73.4475253993778
8332000,-75.0662520252525
8336000,-74.343924615952
8340000,-73.5078513864321
8344000,-75.7741711588057
8348000,-76.2277225368972
8352000,-74.3926582800571
8356000,-72.9545892423973
8360000,-74.7479277105277
8364000,-74.7947337059994
8368000,-75.1260708823929
8372000,-75.4227452572032
8376000,-74.4367890795031
8380000,-75.1394588942214
8384000,-74.4513093485211
8388000,-73.7118109716413
8392000,-75.6132618390466
8396000,-74.603287980424
8400000,-74.1535813016772
8404000,-74.1451030352993
8408000,-74.3523801999509
8412000,-75.2822053851497
8416000,-74.3364795129112
8420000,-72.4015686124907
8424000,-72.4572200734599
8428000,-72.7577297278216
8432000,-73.8082285302042
8436000,-73.4129144930268
8440000,-73.6290623589011
8444000,-74.5107620139776
8448000,-73.4903113100099
8452000,-74.6332876786115
8456000,-74.6589520576439
8460000,-73.8339992041812
8464000,-74.6877267537278
8468000,-76.0238259352991
8472000,-75.0942027475451
8476000,-74.2654715543405
8480000,-73.9113122172146
8484000,-75.7606349767329
8488000,-76.8883334932619
8492000,-75.938399122821
8496000,-74.3205419397297
8500000,-73.9074483773053
8504000,-73.8594692590638
8508000,-72.5434527573634
8512000,-73.9429339855227
8516000,-75.3703137333994
8520000,-74.2720305192462
8524000,-73.6331285193373
8528000,-73.6948197492158
8532000,-74.311247427234
8536000,-74.8373070521214
8540000,-73.6879358076702
8544000,-74.888517896634
8548000,-75.5757625675571
8552000,-75.2473219387798
8556000,-74.397180250853
8560000,-75.4802820812233
8564000,-75.3929971737692
8568000,-73.3881000144434
8572000,-74.6042013848559
8576000,-76.1184231422523
8580000,-75.7721938314652
8584000,-74.0342944566801
8588000,-72.8528073220608
8592000,-74.1591155922663
8596000,-73.9109447237343
8600000,-74.5194977775839
8604000,-74.4817861696493
8608000,-74.6286652416545
8612000,-74.1642967495933
8616000,-74.5580489302385
8620000,-75.6272012269414
8624000,-74.487387825949
8628000,-74.4570869855192
8632000,-74.8557764393951
8636000,-74.595558317459
8640000,-75.2655767583165
8644000,-73.5180400875025
8648000,-74.7758871555489
8652000,-76.2120634770844
8656000,-74.984684409456
8660000,-74.9644281048559
8664000,-75.4639689708907
8668000,-75.4719002072526
8672000,-76.1449422001579
8676000,-76.37893178008
8680000,-76.2469506970404
8684000,-74.5347311977639
8688000,-73.2690695437164
8692000,-73.9645126154777
8696000,-74.2791051970427
8700000,-73.8891169376298
8704000,-74.4669188352578
8708000,-74.2908985000423
8712000,-74.2296205162645
8716000,-75.5829953722567
8720000,-75.3475950833259
8724000,-73.9664874159512
8728000,-74.1244265061701
8732000,-73.4514227516612
8736000,-74.6555201348687
8740000,-75.4187852900908
8744000,-74.3475119705561
8748000,-74.4846620982004
8752000,-73.6339162454994
8756000,-74.7336703038787
8760000,-74.6285534812838
8764000,-73.5778817791459
