Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.044
Start Frequency,8000000
Stop Frequency,12000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Periodic
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
8000000,-73.1366683420896
8004000,-73.1776295459255
8008000,-73.0568496614185
8012000,-72.8556374093753
8016000,-73.1525655038142
8020000,-73.5704825617207
8024000,-75.2552887936536
8028000,-73.2745924080361
8032000,-73.2892730070721
8036000,-73.0038992569929
8040000,-73.500520590551
8044000,-74.8997786838696
8048000,-74.7678240188336
8052000,-75.1717628434782
8056000,-74.4471938881784
8060000,-74.9943634828926
8064000,-74.0632042387543
8068000,-73.5784599858287
8072000,-74.057762999601
8076000,-74.207642752684
8080000,-73.466216384276
8084000,-73.5873164145466
8088000,-73.1383994717551
8092000,-73.9341271157013
8096000,-74.4592719989368
8100000,-74.1078639527669
8104000,-73.3878788168628
8108000,-72.6603204141236
8112000,-73.5494204137757
8116000,-73.807688463071
8120000,-72.3097217430513
8124000,-72.5931720144826
8128000,-74.5872839011562
8132000,-73.415891560684
8136000,-73.4959065530867
8140000,-72.8656503849935
8144000,-73.7617148911064
8148000,-74.8986530818358
8152000,-74.0574015807782
8156000,-74.2030934313233
8160000,-74.6717404198089
8164000,-73.9212029916442
8168000,-74.0310382269021
8172000,-74.1515634386993
8176000,-73.9329692205127
8180000,-73.926543374646
8184000,-73.4407373346788
8188000,-72.9003482192582
8192000,-72.4529806176558
8196000,-73.2699216593106
8200000,-73.0273857639623
8204000,-73.1816133496879
8208000,-72.6320465822589
8212000,-71.7696774307314
8216000,-72.545902236615
8220000,-73.5400965691858
8224000,-74.4563428511153
8228000,-73.9010633071527
8232000,-72.2874348339519
8236000,-72.4201817560228
8240000,-73.6436225511425
8244000,-74.4471335030048
8248000,-73.315995774017
8252000,-71.1790930991396
8256000,-71.3956116680948
8260000,-71.0443852005757
8264000,-70.4065728939241
8268000,-71.9380525760593
8272000,-74.6099726918019
8276000,-72.7744272434457
8280000,-71.8954540812608
8284000,-73.0203979918967
8288000,-73.7351924897414
8292000,-74.4346202265362
8296000,-72.4454377906862
8300000,-71.1767889667609
8304000,-73.0859984434407
8308000,-72.879436886189
8312000,-73.5132571770399
8316000,-72.2234588112722
8320000,-71.6944233123193
8324000,-72.2374158880877
8328000,-72.0370879007195
8332000,-72.5301982663007
8336000,-72.2845016669522
8340000,-72.9290485346272
8344000,-72.0657336721184
8348000,-72.1346080981768
8352000,-73.0453506578186
8356000,-74.7060809656461
8360000,-72.6409563107682
8364000,-71.4566498297748
8368000,-72.9190000224244
8372000,-74.1576521442957
8376000,-73.7800837818521
8380000,-72.4926485495206
8384000,-73.6140447032027
8388000,-72.7897601610525
8392000,-72.5621290619185
8396000,-72.3939963834532
8400000,-73.8253145002449
8404000,-73.4050567730631
8408000,-71.6181311414311
8412000,-73.0604211376791
8416000,-73.9891023986681
8420000,-73.95171485974
8424000,-72.7484065082342
8428000,-72.8668580186682
8432000,-73.0262080643159
8436000,-72.4512396634428
8440000,-73.06287730333
8444000,-72.7620241333688
8448000,-73.3525179177901
8452000,-74.174645588756
8456000,-73.3248495866298
8460000,-73.8028655915053
8464000,-73.4780340699096
8468000,-73.7780535402013
8472000,-74.1087973291562
8476000,-73.6812393322604
8480000,-73.4529664404582
8484000,-74.1383506175344
8488000,-72.9420697968236
8492000,-73.9187021126618
8496000,-74.0790908577762
8500000,-72.9213756231382
8504000,-73.084056136631
8508000,-73.4996324633341
8512000,-73.5610027818268
8516000,-73.0237981261352
8520000,-73.2961126096425
8524000,-73.2367996811691
8528000,-72.7384922505271
8532000,-72.5336241951802
8536000,-72.2459002694265
8540000,-72.7620146900929
8544000,-74.0493835357238
8548000,-74.0288665372075
8552000,-72.9146461901891
8556000,-72.7967460024915
8560000,-72.6916655155697
8564000,-74.5500128178052
8568000,-74.8359699590853
8572000,-74.0990305654832
8576000,-72.2702518439788
8580000,-73.421249465034
8584000,-72.9849162557661
8588000,-74.2844071093327
8592000,-74.9536082157993
8596000,-75.2285315426679
8600000,-74.9066832036954
8604000,-73.9520640679709
8608000,-73.3158902674516
8612000,-75.0614181290189
8616000,-74.7792290874282
8620000,-74.316328006682
8624000,-73.7304834996724
8628000,-73.8047857037043
8632000,-72.1898777972887
8636000,-73.0606438256986
8640000,-74.0257650212128
8644000,-75.1451678345996
8648000,-74.109776308619
8652000,-73.4448289763259
8656000,-74.9541297942872
8660000,-73.2828771349622
8664000,-73.7644798301922
8668000,-75.1475767204859
8672000,-76.0522939976353
8676000,-74.4205423211665
8680000,-73.2079769553148
8684000,-75.9461735297237
8688000,-74.0621030430536
8692000,-72.8216820524152
8696000,-72.1016352301938
8700000,-73.1418733091352
8704000,-73.7883593761263
8708000,-73.6919465032894
8712000,-74.7851804441617
8716000,-74.182409863261
8720000,-75.4381527217117
8724000,-74.4180911324312
8728000,-74.6155907142657
8732000,-74.5791268068053
8736000,-73.8550368376523
8740000,-72.5284292250234
8744000,-72.1080964943622
8748000,-71.3819683330517
8752000,-71.5531828626139
8756000,-73.0113462359137
8760000,-74.112036293524
8764000,-72.7075759930273
