Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.044
Start Frequency,6000000
Stop Frequency,14000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Periodic
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
6000000,-73.7752014130984
6008000,-73.3099959023912
6016000,-74.6887375397585
6024000,-75.2988873257191
6032000,-74.9697718990612
6040000,-74.0567258745653
6048000,-73.9130136927997
6056000,-72.9378518534908
6064000,-73.763483013894
6072000,-75.2592757220771
6080000,-74.5467090687382
6088000,-74.1033750639884
6096000,-73.2357955080376
6104000,-73.3666363586493
6112000,-72.7373755996985
6120000,-72.9058835418286
6128000,-74.1239793705935
6136000,-76.6450827954974
6144000,-74.4606794473733
6152000,-74.2333491842561
6160000,-75.506813686796
6168000,-75.5454366038479
6176000,-76.7202256151483
6184000,-74.7905654104432
6192000,-75.6699427515354
6200000,-74.7101000181926
6208000,-73.692137687973
6216000,-74.2845541318938
6224000,-74.8741512112087
6232000,-73.918514637364
6240000,-74.0416854434048
6248000,-75.2682625032699
6256000,-74.7728423015244
6264000,-73.6917245898862
6272000,-73.9068308244808
6280000,-73.1121918203735
6288000,-72.8750271081192
6296000,-73.4093538942993
6304000,-75.3642033636603
6312000,-74.2949590496144
6320000,-73.6593852027932
6328000,-74.074264412732
6336000,-74.4543377595028
6344000,-73.9624180083549
6352000,-73.8365849721049
6360000,-75.3271493612826
6368000,-75.4275522530983
6376000,-72.5319538771565
6384000,-72.7087783461131
6392000,-73.6530768362811
6400000,-72.7725953411541
6408000,-72.7853422796508
6416000,-72.9546681746374
6424000,-73.779293288671
6432000,-74.494156586997
6440000,-74.0765226956272
6448000,-72.6176154254651
6456000,-73.2684686112305
6464000,-73.4010434366063
6472000,-73.9654484679063
6480000,-73.9798075056494
6488000,-75.3892621990574
6496000,-75.2980017245595
6504000,-74.5743529413999
6512000,-74.7725774704827
6520000,-74.8387816492341
6528000,-74.301042867378
6536000,-74.4511459929015
6544000,-73.784309984403
6552000,-73.6517834671695
6560000,-74.4389355265144
6568000,-73.4679906690619
6576000,-72.6842391408546
6584000,-74.0565854528495
6592000,-74.2888623346871
6600000,-74.6733481156514
6608000,-73.1451385236018
6616000,-73.0525480337199
6624000,-75.0176794598358
6632000,-74.6325091750801
6640000,-75.0562375604858
6648000,-74.9075118838111
6656000,-75.7584597017991
6664000,-74.7880837526388
6672000,-73.7570117439263
6680000,-73.8966432382553
6688000,-74.382822979026
6696000,-75.5869390828888
6704000,-75.579027373451
6712000,-76.1628691568605
6720000,-74.7630181436774
6728000,-74.2819796880828
6736000,-75.9986923474811
6744000,-75.3256780992092
6752000,-74.7490240584128
6760000,-75.20250228734
6768000,-74.2166468277102
6776000,-74.3102071127862
6784000,-73.5918302167411
6792000,-73.9212543463335
6800000,-74.1402276164973
6808000,-73.768700554146
6816000,-74.1847933192219
6824000,-73.4991575295143
6832000,-74.7193735048902
6840000,-76.4806823233507
6848000,-74.3919078529474
6856000,-74.5700071740956
6864000,-74.0623865107158
6872000,-73.9841070401848
6880000,-73.9262536439748
6888000,-75.2936610624734
6896000,-75.7354791317331
6904000,-75.2168881885608
6912000,-74.3155190317069
6920000,-74.7004655129765
6928000,-74.1096156722877
6936000,-75.1290053863986
6944000,-75.2025138780371
6952000,-74.2614478653366
6960000,-74.6605923092229
6968000,-74.3639336451375
6976000,-74.4144941984028
6984000,-73.8182737437711
6992000,-73.0643561219605
7000000,-73.945063604997
7008000,-75.543524125752
7016000,-75.5801429645234
7024000,-74.9400469494848
7032000,-73.8733353289199
7040000,-73.8172346294322
7048000,-73.8237424283429
7056000,-73.3267324858548
7064000,-74.6683172370942
7072000,-73.6956721412063
7080000,-73.4999022382867
7088000,-74.1324263051495
7096000,-74.103726745876
7104000,-74.2094703568647
7112000,-73.7412295014239
7120000,-73.6327320046615
7128000,-74.7716106262251
7136000,-74.3083986551257
7144000,-75.2892492871197
7152000,-74.6729335281077
7160000,-74.6481795714404
7168000,-75.1080967589615
7176000,-73.937024528266
7184000,-73.0963453753156
7192000,-74.1775742129086
7200000,-73.3177581944111
7208000,-74.0862291528214
7216000,-76.7322908382802
7224000,-75.3679492645311
7232000,-75.2477393237008
7240000,-74.6879547916201
7248000,-74.3287066735026
7256000,-75.7322989385427
7264000,-76.0482310465032
7272000,-76.3835429450433
7280000,-76.3232732793741
7288000,-75.0070258665627
7296000,-75.2046837004526
7304000,-75.6360025180703
7312000,-74.9151635394377
7320000,-76.2344616717787
7328000,-74.8558221206304
7336000,-74.6741899402458
7344000,-74.809664876302
7352000,-75.9010274127924
7360000,-74.576066312283
7368000,-74.2136819695497
7376000,-75.2347741074501
7384000,-75.260455828194
7392000,-75.3983745934791
7400000,-74.3929669210114
7408000,-74.2136895957661
7416000,-75.5866357290533
7424000,-75.1681384804973
7432000,-74.4149722965847
7440000,-74.2305930201107
7448000,-73.4367946567899
7456000,-73.7161951882868
7464000,-74.1817380253303
7472000,-73.5532375370183
7480000,-74.6687955386817
7488000,-74.790165917093
7496000,-74.4365096151191
7504000,-73.9753990059696
7512000,-73.9708386424519
7520000,-74.3680321292444
7528000,-74.547648687648
7536000,-73.9648432240297
