Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.044
Start Frequency,6000000
Stop Frequency,14000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Periodic
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
6000000,-74.7320980884243
6008000,-73.3830147776423
6016000,-72.5022315123197
6024000,-73.9282615882752
6032000,-73.9892537340783
6040000,-74.3553590958232
6048000,-73.5889261655679
6056000,-72.3944417306174
6064000,-72.987721610301
6072000,-72.2249753680482
6080000,-71.6072770923638
6088000,-73.6645904916241
6096000,-73.8370271658717
6104000,-74.7857890952412
6112000,-75.7098515636303
6120000,-73.7695661400809
6128000,-74.4954787895881
6136000,-72.8896267359536
6144000,-73.3032892413348
6152000,-73.1949625750792
6160000,-73.870830606715
6168000,-74.8193983542034
6176000,-73.6587055480913
6184000,-73.691508120505
6192000,-72.9786327900514
6200000,-73.1169412535824
6208000,-74.6446215774911
6216000,-75.4422360908763
6224000,-74.1230191039445
6232000,-72.5289416115015
6240000,-71.8350619656832
6248000,-72.2318670632753
6256000,-73.884918197602
6264000,-73.6327514534467
6272000,-73.5677200736579
6280000,-73.8666989885891
6288000,-73.5248715121469
6296000,-73.1482439685442
6304000,-75.1882972631736
6312000,-73.7368916289267
6320000,-72.5774676662812
6328000,-72.9847759522963
6336000,-74.0378365123417
6344000,-72.9657777332548
6352000,-72.9185669565698
6360000,-73.1542660475225
6368000,-74.1242834404673
6376000,-74.3680418023606
6384000,-74.8698132491637
6392000,-74.3367582589317
6400000,-75.8101343802755
6408000,-75.5034161700544
6416000,-74.3142310747596
6424000,-73.8474231678541
6432000,-73.5822584300219
6440000,-74.0081722393956
6448000,-73.9300854676582
6456000,-73.8608616708443
6464000,-74.2724139543938
6472000,-74.3362412322211
6480000,-72.894808899256
6488000,-74.8310042380147
6496000,-73.8790328509409
6504000,-74.8677302826662
6512000,-75.9350382604611
6520000,-75.5018493925476
6528000,-74.2084397277566
6536000,-73.1091648748292
6544000,-74.0437438985139
6552000,-73.0099348059682
6560000,-73.347988450584
6568000,-73.1634754000729
6576000,-73.4787787727256
6584000,-74.1657985672158
6592000,-75.5535526456733
6600000,-74.8091235459315
6608000,-73.4306971063816
6616000,-74.6369374441052
6624000,-74.942956475774
6632000,-74.5835968332588
6640000,-75.2942164275149
6648000,-75.9511650565401
6656000,-73.0628338662261
6664000,-73.3812315347145
6672000,-72.8138615396898
6680000,-74.7590767755193
6688000,-74.3948614690293
6696000,-75.9351568321963
6704000,-73.6802907927044
6712000,-73.7306153773334
6720000,-74.0854514871113
6728000,-75.3810638970003
6736000,-75.1625418101631
6744000,-74.5854855335592
6752000,-74.5148754753191
6760000,-74.2002317722708
6768000,-73.7597204895404
6776000,-74.430140168882
6784000,-75.3207167162677
6792000,-74.7453760748478
6800000,-74.0986500364791
6808000,-74.9085214062446
6816000,-73.9804759660796
6824000,-73.9074890914805
6832000,-73.7340930850215
6840000,-75.1214402841574
6848000,-73.7600993347782
6856000,-74.2015296397639
6864000,-73.848792633617
6872000,-72.7582649740106
6880000,-73.5351129271542
6888000,-74.4385390095161
6896000,-74.2799649520663
6904000,-75.0111556823634
6912000,-73.9565597517369
6920000,-74.3866726293271
6928000,-73.6937240127962
6936000,-73.5009584078677
6944000,-73.4185427763162
6952000,-74.0119565754337
6960000,-74.0310008056792
6968000,-73.1851864459708
6976000,-74.8725181347483
6984000,-75.8346260795582
6992000,-75.4307765937782
7000000,-73.5221370496223
7008000,-74.1383483098136
7016000,-74.1154058125047
7024000,-73.6830858802415
7032000,-73.7282692624773
7040000,-74.7909691859856
7048000,-75.1145214934108
7056000,-74.1308779339574
7064000,-73.7777355924511
7072000,-74.8713085998687
7080000,-74.8428787901554
7088000,-74.3022134229874
7096000,-74.7282356525694
7104000,-73.9779149190276
7112000,-74.4399527468721
7120000,-76.1381011875758
7128000,-75.0009051116996
7136000,-73.0222116604342
7144000,-72.1965754761512
7152000,-72.4729787308001
7160000,-73.0866342607866
7168000,-74.1151285539915
7176000,-74.4187752256458
7184000,-74.4946953423327
7192000,-75.4141635123518
7200000,-75.5594123927609
7208000,-74.4701989527846
7216000,-74.5924526715072
7224000,-74.742161970782
7232000,-73.5380577015922
7240000,-73.6945056384164
7248000,-73.651615419728
7256000,-74.0346507349066
7264000,-73.5730079092736
7272000,-72.6593774035659
7280000,-73.3129974551274
7288000,-75.2933628210772
7296000,-75.076708311275
7304000,-73.2744118114725
7312000,-73.6063329373471
7320000,-72.9621849273135
7328000,-73.5715224460594
7336000,-73.5759230007578
7344000,-72.6395376837647
7352000,-74.2338716548685
7360000,-73.7124168451958
7368000,-73.8252162074396
7376000,-73.0060907812467
7384000,-72.3600688767208
7392000,-73.0655599739115
7400000,-74.330158098872
7408000,-73.4113745611663
7416000,-72.8418787612135
7424000,-73.1118246504836
7432000,-74.7566126217279
7440000,-74.9680320736627
7448000,-74.2801552930973
7456000,-74.6902623669545
7464000,-74.2428184692238
7472000,-75.7982287578403
7480000,-74.9203661972101
7488000,-74.8475001328314
7496000,-73.6740504985044
7504000,-73.2046016126105
7512000,-74.2125034674224
7520000,-73.2858836711968
7528000,-73.6469165181023
