Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.044
Start Frequency,6000000
Stop Frequency,14000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Periodic
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
6000000,-73.2902498969572
6008000,-72.45556592539
6016000,-73.5989297173383
6024000,-73.7078436273526
6032000,-73.9847561729411
6040000,-72.1476683423519
6048000,-72.357605487172
6056000,-71.6558088374465
6064000,-73.0659857079837
6072000,-72.2642411964806
6080000,-72.6305805181266
6088000,-74.1649103047557
6096000,-74.5817152014877
6104000,-73.715588462619
6112000,-74.6958425477052
6120000,-75.2538600324439
6128000,-73.9281432222731
6136000,-73.4363772748138
6144000,-74.2013943915683
6152000,-74.4435851721361
6160000,-74.4591701829234
6168000,-74.2358421452561
6176000,-75.0248194948229
6184000,-73.6974437874288
6192000,-74.1954656378877
6200000,-76.4205799668627
6208000,-74.1395969677684
6216000,-74.1452938521763
6224000,-74.0520315226771
6232000,-72.3456606333531
6240000,-72.8364422477812
6248000,-73.9902419963207
6256000,-72.6913253014729
6264000,-72.355944732634
6272000,-74.2678187504965
6280000,-74.4412996449113
6288000,-74.6720150736704
6296000,-76.6410494644746
6304000,-74.3933759940815
6312000,-73.9234507232271
6320000,-73.046790994585
6328000,-73.3541761054738
6336000,-73.2771669829502
6344000,-73.2130238632632
6352000,-74.4913326716039
6360000,-73.9334932932503
6368000,-73.9164094785781
6376000,-73.9278693985314
6384000,-75.8515179491715
6392000,-75.236302300116
6400000,-74.1786948682281
6408000,-75.7197868699271
6416000,-74.2622270124277
6424000,-73.0661086501754
6432000,-72.6401015281698
6440000,-72.279028536629
6448000,-72.9562761542984
6456000,-72.3196126233544
6464000,-73.0991962614587
6472000,-75.0904793504793
6480000,-74.643945788936
6488000,-75.2633641047346
6496000,-73.9202031867481
6504000,-73.5519810123139
6512000,-74.180838386123
6520000,-74.0290149741926
6528000,-73.3175021575241
6536000,-73.1898201338238
6544000,-74.3871687181372
6552000,-74.0678858172261
6560000,-74.8191807418849
6568000,-72.735863431608
6576000,-72.1346869865987
6584000,-73.4939046062981
6592000,-73.8910626359336
6600000,-74.7419089957894
6608000,-74.2087482616253
6616000,-74.0544638683615
6624000,-73.6141614629094
6632000,-72.1637834996815
6640000,-72.1647724854871
6648000,-71.9629256472466
6656000,-72.6176379974695
6664000,-72.6933284265807
6672000,-74.6910396877132
6680000,-73.2839438497739
6688000,-72.9503871776767
6696000,-72.877748294759
6704000,-73.7893951794018
6712000,-74.946969101886
6720000,-73.7714904206836
6728000,-72.7910773545301
6736000,-73.5034826748139
6744000,-72.8112517895198
6752000,-71.9596110186934
6760000,-72.6705051670978
6768000,-73.5149521941104
6776000,-73.1033936695391
6784000,-73.4421373733689
6792000,-74.1351339085695
6800000,-75.2246697462106
6808000,-73.6747060813279
6816000,-74.3291752514214
6824000,-73.8674247419104
6832000,-73.1218348276642
6840000,-72.7424101461122
6848000,-73.0640609469236
6856000,-74.1422893244552
6864000,-73.4589418615576
6872000,-73.2058368290947
6880000,-74.869610741722
6888000,-74.2258350382838
6896000,-73.8339909938731
6904000,-75.3622049551922
6912000,-74.9085648181711
6920000,-74.9870284532757
6928000,-74.2019217063219
6936000,-74.0159616950579
6944000,-73.2698441069824
6952000,-72.741937022729
6960000,-72.8686313834841
6968000,-74.290481728904
6976000,-72.5961928602304
6984000,-73.35944962909
6992000,-72.798811812439
7000000,-74.8633401909483
7008000,-76.2963006853559
7016000,-75.1805002924663
7024000,-74.5689846845164
7032000,-71.7168884239429
7040000,-72.0841880300726
7048000,-72.5500697805506
7056000,-72.2142134567567
7064000,-72.2365004314069
7072000,-73.7055046971201
7080000,-75.1500027245225
7088000,-74.7402296798795
7096000,-73.8637356059538
7104000,-75.4815233004286
7112000,-76.316131367646
7120000,-74.390313779908
7128000,-74.1463784023252
7136000,-74.3388978967386
7144000,-73.1865634231391
7152000,-72.6692576227294
7160000,-72.6542174160769
7168000,-74.2913749634116
7176000,-74.626394133097
7184000,-73.8416756074456
7192000,-73.928829276197
7200000,-73.9606405571665
7208000,-73.9926520386104
7216000,-74.0474487190958
7224000,-73.8090762280274
7232000,-73.2349080649458
7240000,-72.7057341072587
7248000,-73.157136617614
7256000,-73.9654976408143
7264000,-73.4021872506717
7272000,-73.6179576584075
7280000,-74.8230325818751
7288000,-74.3518515013842
7296000,-74.3174960281356
7304000,-73.1756239490659
7312000,-74.15658136297
7320000,-73.2057142445228
7328000,-73.7103824102269
7336000,-72.0412436662248
7344000,-72.4156930485057
7352000,-73.1374819619102
7360000,-74.4355703395138
7368000,-73.4816060971444
7376000,-72.5736087129384
7384000,-74.176662469924
7392000,-75.1599907051871
7400000,-74.461189520445
7408000,-74.0221188563246
7416000,-73.8647019469989
7424000,-73.7688813371996
7432000,-72.8749642288253
7440000,-72.4009185185781
7448000,-71.5196264984571
7456000,-73.3016855674355
7464000,-72.7262425717763
7472000,-73.9187108520344
7480000,-73.8400563205363
7488000,-73.6360133088001
7496000,-74.5120557453109
7504000,-74.8609536766869
7512000,-73.7283952165416
7520000,-72.5098137765717
7528000,-72.5770219395253
7536000,-73.9099793663288
