Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.044
Start Frequency,6000000
Stop Frequency,14000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Periodic
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
6000000,-73.138812518492
6008000,-73.8335268337257
6016000,-72.3573717563108
6024000,-73.288905168181
6032000,-73.589318533168
6040000,-73.0388694301687
6048000,-72.0651804914658
6056000,-72.6045713562622
6064000,-73.8657526200972
6072000,-73.2480807746788
6080000,-72.5861195627856
6088000,-74.9374476435037
6096000,-74.5026453682636
6104000,-73.310033225131
6112000,-72.6781128015917
6120000,-71.910262832095
6128000,-72.5276052064166
6136000,-72.0854535253669
6144000,-73.6206413689598
6152000,-73.3487871645169
6160000,-72.2651566185677
6168000,-71.6529416111458
6176000,-71.4986443622136
6184000,-73.4278729178899
6192000,-74.4156027477036
6200000,-72.8074271599575
6208000,-72.9883316660287
6216000,-73.8872083978854
6224000,-74.4799988763488
6232000,-73.0223755623906
6240000,-73.5610609223572
6248000,-72.4054656986989
6256000,-73.0137694640802
6264000,-73.7282249494129
6272000,-72.8303346182656
6280000,-73.0535436940501
6288000,-73.3371165369652
6296000,-73.2630453429321
6304000,-73.774171935593
6312000,-73.3574057829609
6320000,-73.9168963187983
6328000,-73.2145960447118
6336000,-72.8047039994211
6344000,-75.0887692132788
6352000,-73.6684665966749
6360000,-73.8871065254511
6368000,-74.1985105340979
6376000,-73.9274331178
6384000,-72.8417239207021
6392000,-73.1935978642707
6400000,-73.738469660109
6408000,-73.6490651660129
6416000,-73.6987232331789
6424000,-74.2929302514732
6432000,-74.4925380121043
6440000,-73.812055180645
6448000,-72.9513291462085
6456000,-72.9545258866464
6464000,-72.4225326310366
6472000,-73.4956604588466
6480000,-75.1699804198577
6488000,-74.0027429129611
6496000,-73.2225670908172
6504000,-73.8032757697156
6512000,-73.6340850503236
6520000,-74.7872032608225
6528000,-74.2353256239603
6536000,-73.125836114392
6544000,-72.1038904802423
6552000,-73.8075863512678
6560000,-73.8465302456633
6568000,-73.7748913978081
6576000,-72.7055101460448
6584000,-72.4210936075478
6592000,-72.1501423730496
6600000,-72.2651972767924
6608000,-73.3405641675393
6616000,-74.7133618641072
6624000,-73.9063191942923
6632000,-73.6422535975483
6640000,-72.9372022651742
6648000,-73.2484421611424
6656000,-72.9078252346974
6664000,-73.5686383025054
6672000,-74.0645139337205
6680000,-73.5917053771726
6688000,-74.6635072799518
6696000,-72.623891433343
6704000,-72.6799617187377
6712000,-74.0257564585823
6720000,-73.3202779366633
6728000,-72.7077711456382
6736000,-72.8653129323815
6744000,-73.5370236202643
6752000,-73.3781174035787
6760000,-73.9377679974069
6768000,-72.8827147677968
6776000,-73.4689157481958
6784000,-72.9736991561499
6792000,-73.1700322469245
6800000,-74.2053088555682
6808000,-74.1468224053883
6816000,-73.7834233203332
6824000,-74.8000145708628
6832000,-73.3186382352623
6840000,-73.2925467408018
6848000,-74.4430495627097
6856000,-73.9970551848563
6864000,-74.8061291183944
6872000,-74.3072943456383
6880000,-73.3691051842062
6888000,-74.7636353980838
6896000,-74.3454309616056
6904000,-73.8630801566565
6912000,-73.8376060551305
6920000,-72.7446176978698
6928000,-74.0487692828368
6936000,-74.049696278828
6944000,-72.9991567567942
6952000,-73.4116023059864
6960000,-72.4602542720014
6968000,-74.235388614997
6976000,-73.8506847066505
6984000,-73.2259580626291
6992000,-75.212211631065
7000000,-74.1053120767111
7008000,-74.4268393624049
7016000,-74.4569917412381
7024000,-73.0387893379783
7032000,-73.8521330507814
7040000,-74.4884587228602
7048000,-73.6499885268601
7056000,-72.8277011938961
7064000,-74.7912370009934
7072000,-74.5005298077851
7080000,-73.1408082156258
7088000,-73.2599440820973
7096000,-72.0723043146798
7104000,-74.3250392477024
7112000,-72.4528119659826
7120000,-72.314979788477
7128000,-74.2561169945443
7136000,-74.1535614708786
7144000,-74.2497122456103
7152000,-74.465121534753
7160000,-74.2213611542609
7168000,-73.2273450259243
7176000,-73.3011970507334
7184000,-73.933554926061
7192000,-73.8264096550852
7200000,-73.3460146917797
7208000,-73.7536643039204
7216000,-72.8401702760451
7224000,-73.7315257236402
7232000,-72.9266878663698
7240000,-71.8501994201446
7248000,-72.3470613633558
7256000,-73.2516526434383
7264000,-73.6653622656835
7272000,-72.8750871336762
7280000,-72.3382895744462
7288000,-73.1193272159032
7296000,-74.0249664061416
7304000,-74.6410289471661
7312000,-73.6367182485081
7320000,-73.3711739470887
7328000,-73.6933383657487
7336000,-75.564770723509
7344000,-74.066416303661
7352000,-73.7283183006908
7360000,-72.4254169690302
7368000,-72.6163407671457
7376000,-73.5304133216639
7384000,-72.5113504501832
7392000,-73.339681295862
7400000,-74.0325027158289
7408000,-73.5357772939381
7416000,-73.1885797688248
7424000,-73.0710392617589
7432000,-73.9399038596276
7440000,-75.2229940998423
7448000,-73.9582428779862
7456000,-74.3175296640391
7464000,-74.2108977320254
7472000,-73.0114580796998
7480000,-72.8482533259083
7488000,-73.4585304395863
7496000,-73.6641153308224
7504000,-74.3395945736984
7512000,-75.0026230244574
7520000,-74.8809981681711
7528000,-73.8971875615022
