Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.044
Start Frequency,6000000
Stop Frequency,14000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Periodic
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
6000000,-72.7261332101598
6008000,-73.3470331577346
6016000,-73.1109145106793
6024000,-73.9741911233701
6032000,-73.5193910846813
6040000,-74.0157086289126
6048000,-74.888900123479
6056000,-73.1490019138602
6064000,-72.282276162017
6072000,-72.9909796321658
6080000,-72.7456290498222
6088000,-72.7825163751112
6096000,-73.4067287864851
6104000,-73.961546723423
6112000,-73.0064829385299
6120000,-73.5618884233768
6128000,-74.6988631085233
6136000,-73.9581290643433
6144000,-74.0464845603809
6152000,-72.5427822800858
6160000,-74.2165482063674
6168000,-73.9286605739242
6176000,-73.3472779776393
6184000,-73.5673361992719
6192000,-74.2282290135501
6200000,-74.0506187586211
6208000,-73.0293609187991
6216000,-74.0197135794947
6224000,-73.3685564534542
6232000,-74.1526728156964
6240000,-72.6137816220736
6248000,-73.3240370935181
6256000,-74.5831698758967
6264000,-74.2897996198948
6272000,-73.6302023517288
6280000,-74.968596884879
6288000,-74.3201506438175
6296000,-73.4076744763207
6304000,-74.0365048994568
6312000,-73.4542983086317
6320000,-76.0939567052
6328000,-76.1169292897933
6336000,-74.50403576316
6344000,-75.1171515889602
6352000,-73.7512983606558
6360000,-74.1136114943937
6368000,-74.6781042741154
6376000,-73.3179809292463
6384000,-74.8784579856631
6392000,-75.4778657585344
6400000,-75.2758413138694
6408000,-74.7868025860051
6416000,-73.1574222467125
6424000,-72.3142969574465
6432000,-73.7756504750747
6440000,-74.6863544888946
6448000,-74.7605872500392
6456000,-73.9823468056389
6464000,-74.9590162170675
6472000,-75.047329963747
6480000,-74.06832058207
6488000,-74.1942025410518
6496000,-73.450416882611
6504000,-73.4978010067897
6512000,-72.8567097879763
6520000,-73.2371539662375
6528000,-74.5205553460134
6536000,-72.7038762654152
6544000,-72.4477739579236
6552000,-73.9272276337275
6560000,-73.6076665361966
6568000,-74.3244266487646
6576000,-73.986014202749
6584000,-73.8467239714415
6592000,-74.0700548351204
6600000,-74.2052701330937
6608000,-72.7351406204174
6616000,-73.5338054245614
6624000,-74.3024341954832
6632000,-74.2778534124274
6640000,-73.9320682799408
6648000,-74.0088976604829
6656000,-74.4990958239562
6664000,-73.3631147462951
6672000,-74.8328651961488
6680000,-73.3202139227588
6688000,-73.8625586535927
6696000,-74.4079583347921
6704000,-74.6852693596857
6712000,-75.0225564911847
6720000,-75.5231554480427
6728000,-75.8842660070305
6736000,-74.6906096078618
6744000,-74.5993674708133
6752000,-74.3579858980279
6760000,-74.4265264204212
6768000,-74.1399541881914
6776000,-72.650890185494
6784000,-72.3230859275566
6792000,-73.5927774536325
6800000,-73.5503831538314
6808000,-73.8506596932189
6816000,-74.4353423178125
6824000,-74.4546497253403
6832000,-74.2539095056261
6840000,-74.6452203923731
6848000,-74.4829371682608
6856000,-74.8438211617817
6864000,-74.8602335195979
6872000,-73.8662349512102
6880000,-73.6347226106943
6888000,-73.4345105710468
6896000,-73.9626672887805
6904000,-74.1728798532076
6912000,-74.329482255298
6920000,-74.3784375627641
6928000,-75.868511550462
6936000,-74.7940053269476
6944000,-75.061835421808
6952000,-75.1120493580513
6960000,-75.2768082467192
6968000,-73.4311313076923
6976000,-73.1796439267953
6984000,-74.2204672768412
6992000,-74.9631237466072
7000000,-75.6353560338901
7008000,-74.8290976647334
7016000,-76.3533114366521
7024000,-75.1213109351022
7032000,-73.8714694810008
7040000,-73.780521790654
7048000,-74.2846521402577
7056000,-73.2754133695655
7064000,-74.7043962438383
7072000,-75.7579482785133
7080000,-74.4247612407098
7088000,-74.2906489325581
7096000,-73.966088128502
7104000,-75.0726168433946
7112000,-74.5611778558657
7120000,-74.5217043849068
7128000,-76.5186621545146
7136000,-75.5971476423086
7144000,-74.6414950680383
7152000,-73.9344649490418
7160000,-73.5390627975859
7168000,-74.4879674608313
7176000,-74.7015541117205
7184000,-74.0790712761235
7192000,-74.0736727717174
7200000,-74.687986153453
7208000,-74.693250719653
7216000,-74.6984607860517
7224000,-73.4640179432321
7232000,-73.991248146595
7240000,-74.1281188500412
7248000,-75.263033743443
7256000,-74.5773608957857
7264000,-72.8613037267744
7272000,-72.7728029586429
7280000,-73.7158486096077
7288000,-74.7582408190232
7296000,-73.5965955169613
7304000,-74.6901458684156
7312000,-74.1240158009198
7320000,-74.4724943425529
7328000,-72.8976693906513
7336000,-74.0348072354294
7344000,-74.6980450116421
7352000,-74.1024286236494
7360000,-74.5151134773168
7368000,-76.4057271642743
7376000,-74.7656608091203
7384000,-76.8201306235637
7392000,-76.2211690748251
7400000,-76.5228611288235
7408000,-75.8489980722576
7416000,-73.5369514867208
7424000,-74.8538747419545
7432000,-74.6266941364757
7440000,-75.3401112187894
7448000,-74.7997594455563
7456000,-73.0575370533478
7464000,-72.6768663359288
7472000,-74.8666550852465
7480000,-75.7421106239364
7488000,-76.202591538958
7496000,-74.3407215499243
7504000,-74.9428940853526
7512000,-75.2375946966749
7520000,-74.6531577090362
7528000,-75.5512703018508
