Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.044
Start Frequency,6000000
Stop Frequency,14000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Periodic
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
6000000,-74.7532105706222
6008000,-73.1147633362375
6016000,-73.1190762873104
6024000,-73.3760157358675
6032000,-71.6773607847273
6040000,-72.4578436889245
6048000,-71.9296507108251
6056000,-72.0741549898957
6064000,-73.6762447137583
6072000,-73.9798785909213
6080000,-73.9058181409716
6088000,-73.8304524242596
6096000,-74.0536292266146
6104000,-73.792325356155
6112000,-74.0871298242896
6120000,-73.2024956749897
6128000,-72.6642154251897
6136000,-73.7686902491161
6144000,-73.093155734048
6152000,-73.3511627752849
6160000,-72.8944316449539
6168000,-73.311226755863
6176000,-74.1561272527143
6184000,-74.8375640428724
6192000,-73.2664077641993
6200000,-73.3120550472302
6208000,-73.8063246783527
6216000,-72.4010848794352
6224000,-72.4886684265682
6232000,-72.2053572459521
6240000,-73.3911947483561
6248000,-74.0233775329518
6256000,-72.6656313555392
6264000,-73.4659248090188
6272000,-74.3128121660846
6280000,-74.1329261064394
6288000,-73.2815002587068
6296000,-74.4635333093722
6304000,-74.1045919627991
6312000,-74.7123651882281
6320000,-74.3509459620468
6328000,-74.2982608634969
6336000,-73.4810275238299
6344000,-73.995996384734
6352000,-74.2951910759119
6360000,-73.6260047875561
6368000,-73.4325085264231
6376000,-74.2442795855704
6384000,-73.4354374210717
6392000,-73.502165883363
6400000,-72.6777275520987
6408000,-73.7639821148311
6416000,-73.8967395649747
6424000,-73.0419731852288
6432000,-74.1939789851757
6440000,-75.1574613294007
6448000,-75.042059653417
6456000,-73.9775756849435
6464000,-73.9817703405063
6472000,-73.8717608477598
6480000,-75.4229909129816
6488000,-74.8940998445169
6496000,-76.2828585613042
6504000,-75.1599929793509
6512000,-74.6247730423026
6520000,-73.9975203825019
6528000,-75.600654805483
6536000,-73.3880441757798
6544000,-73.173219598794
6552000,-73.5939597883857
6560000,-74.3492739855186
6568000,-74.6163359794494
6576000,-73.7657802506421
6584000,-73.9231385718473
6592000,-72.9777791411731
6600000,-73.4180731753
6608000,-72.9064738443912
6616000,-74.5867542192165
6624000,-75.375766553871
6632000,-75.4196319609864
6640000,-73.3682592927663
6648000,-75.1775833760854
6656000,-73.9125350794905
6664000,-73.639848164526
6672000,-73.9439488203292
6680000,-74.2794466356767
6688000,-74.4797455948326
6696000,-74.056007805096
6704000,-73.8265422961306
6712000,-74.2235834876811
6720000,-73.0674733936613
6728000,-74.8580725531282
6736000,-74.3849233443648
6744000,-74.1960088660828
6752000,-73.0021005961307
6760000,-73.4720722143571
6768000,-74.1733069564713
6776000,-74.677715685385
6784000,-73.7897085731431
6792000,-74.1646361416544
6800000,-75.1003985273349
6808000,-73.8251947479945
6816000,-74.0786441014506
6824000,-74.2886331655371
6832000,-74.2085222163987
6840000,-73.1721105008385
6848000,-74.0220698319592
6856000,-74.5975112061931
6864000,-73.6128690059522
6872000,-72.6270135170821
6880000,-72.450842235526
6888000,-74.4237488755398
6896000,-73.3044878442753
6904000,-74.0506115750124
6912000,-75.6369621513696
6920000,-75.964412426474
6928000,-74.897312038665
6936000,-74.2989508332859
6944000,-73.7077049725303
6952000,-73.8639256303361
6960000,-73.2695522362685
6968000,-72.4064125688758
6976000,-72.1151340375849
6984000,-73.152665946466
6992000,-73.5456675568381
7000000,-73.6695749796066
7008000,-73.9428343131814
7016000,-73.1430886313736
7024000,-73.8437511334724
7032000,-75.0210315869633
7040000,-74.6013433192735
7048000,-73.4794685260117
7056000,-74.1958326278178
7064000,-74.6920356476577
7072000,-74.397805803004
7080000,-74.4849027002166
7088000,-73.6847820557986
7096000,-73.7926180177792
7104000,-74.2250886555217
7112000,-74.8173684230417
7120000,-75.1182026503572
7128000,-74.7946096943701
7136000,-74.0872020266356
7144000,-75.0324707862465
7152000,-73.7447837017022
7160000,-74.4563154536336
7168000,-74.4294453647746
7176000,-74.6310492948273
7184000,-74.7537418788499
7192000,-75.6485003115917
7200000,-74.4890436290225
7208000,-74.6570361276422
7216000,-73.8572293341708
7224000,-72.8949064531398
7232000,-74.8067667017549
7240000,-74.9062075831536
7248000,-73.7351880467973
7256000,-74.3749491170164
7264000,-73.7143569211253
7272000,-74.0856353508667
7280000,-73.9004970999637
7288000,-74.8319749970615
7296000,-74.2002845755388
7304000,-73.7174871893173
7312000,-75.7592735154756
7320000,-74.4375390679115
7328000,-74.7701731375554
7336000,-74.3215498523671
7344000,-74.1268621527231
7352000,-72.534731869561
7360000,-74.0188343720287
7368000,-74.1407731942518
7376000,-74.6775626454051
7384000,-74.5472694067408
7392000,-73.250736592109
7400000,-74.3475939652811
7408000,-74.5053317469752
7416000,-74.0578544547164
7424000,-74.2112284936696
7432000,-73.3579454680553
7440000,-73.6187274223246
7448000,-73.3724435111063
7456000,-74.1493234501856
7464000,-73.4270121533756
7472000,-74.2832717501955
7480000,-74.3584773052652
7488000,-74.6576716109626
7496000,-74.0519586789909
7504000,-74.76332012534
7512000,-74.4065257859298
7520000,-73.6663818027683
7528000,-74.0272187679517
