Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.044
Start Frequency,6000000
Stop Frequency,14000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Periodic
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
6000000,-71.0630013209936
6008000,-69.897806093896
6016000,-72.0263342348732
6024000,-71.6205496255006
6032000,-69.8729488297003
6040000,-69.0800808601338
6048000,-70.4986368526304
6056000,-73.4791784117658
6064000,-70.229760427654
6072000,-68.4130563080493
6080000,-69.564723909618
6088000,-72.1832814879069
6096000,-70.9186958844868
6104000,-70.2854243961781
6112000,-71.216152981618
6120000,-69.5515711997474
6128000,-70.7014192506888
6136000,-68.5915427540649
6144000,-71.9225658974584
6152000,-71.4910712104258
6160000,-70.4751696848868
6168000,-69.2049698718879
6176000,-71.0177554999626
6184000,-69.4495843021665
6192000,-69.7561839048715
6200000,-70.2108798782164
6208000,-72.4238141525704
6216000,-70.8263426758438
6224000,-71.0192425901785
6232000,-70.5578591825669
6240000,-69.6276502751714
6248000,-68.1245672483966
6256000,-69.7263563514829
6264000,-67.3685992353439
6272000,-68.6253650401206
6280000,-72.6239624971613
6288000,-70.752457249454
6296000,-73.3489475287284
6304000,-72.7953259980991
6312000,-70.4991478670313
6320000,-69.0744715448142
6328000,-67.9950768980704
6336000,-68.0068633252918
6344000,-68.7553257632688
6352000,-68.6029723199656
6360000,-70.5480434108931
6368000,-72.0819368897558
6376000,-72.9616508280776
6384000,-69.5687022139692
6392000,-71.4692580522283
6400000,-71.5942076436457
6408000,-70.0119808349967
6416000,-69.4352837785994
6424000,-70.615084125347
6432000,-70.689986549286
6440000,-71.9225970428368
6448000,-71.0397507913509
6456000,-68.3219909457163
6464000,-69.6177180436347
6472000,-70.4866437227843
6480000,-70.2127804367555
6488000,-70.2932398789222
6496000,-70.7350687267984
6504000,-68.5204726433229
6512000,-70.8274980486348
6520000,-71.2794123573075
6528000,-70.9401862186856
6536000,-70.92629515583
6544000,-70.6385599226831
6552000,-71.47155051094
6560000,-73.6759419962599
6568000,-71.1290971268412
6576000,-71.7189129767848
6584000,-70.5686046875081
6592000,-69.5414992393613
6600000,-68.2681499200059
6608000,-68.2494827592407
6616000,-71.332833541082
6624000,-70.809548274604
6632000,-71.3291816486895
6640000,-69.6233295017489
6648000,-71.795904613502
6656000,-70.7933005007767
6664000,-70.4259412104199
6672000,-69.5160990812673
6680000,-70.3245692193705
6688000,-69.8137558800638
6696000,-70.6007181423885
6704000,-72.9138490919724
6712000,-71.5168975636526
6720000,-70.3499836884679
6728000,-67.5739786006293
6736000,-65.7614788148447
6744000,-67.4500952636053
6752000,-65.1911468316993
6760000,-66.2184567779139
6768000,-70.7711757298051
6776000,-71.2409129608879
6784000,-69.5412327924182
6792000,-69.7887764155803
6800000,-69.1534272604573
6808000,-69.8380616644773
6816000,-70.6014520308541
6824000,-70.5173729705654
6832000,-73.1718362114375
6840000,-70.5088332200616
6848000,-70.1000740970333
6856000,-69.7826922237319
6864000,-70.4449780490891
6872000,-68.6611116880282
6880000,-69.2193631039624
6888000,-73.1058008009065
6896000,-69.7596846278554
6904000,-73.2519215266376
6912000,-70.8767803281794
6920000,-70.7684981208642
6928000,-70.6050626422986
6936000,-71.3638110041158
6944000,-71.6206648367129
6952000,-71.0773750898883
6960000,-67.9410329549901
6968000,-66.9744096108074
6976000,-67.0591753805524
6984000,-69.7939278314263
6992000,-69.4408894470954
7000000,-72.7263923326535
7008000,-69.491090862932
7016000,-68.0213214721164
7024000,-68.4612472825143
7032000,-69.1086323973918
7040000,-70.0136920008805
7048000,-70.725095194175
7056000,-70.9597233393341
7064000,-72.4540977413409
7072000,-70.0842060346767
7080000,-69.8156121750272
7088000,-68.3803587097631
7096000,-69.7470509452853
7104000,-68.9620893951438
7112000,-70.904104349648
7120000,-70.9347850659268
7128000,-68.3236489662335
7136000,-70.9269216314935
7144000,-70.8002774814321
7152000,-69.6677420924064
7160000,-72.8474871875922
7168000,-69.4791416803876
7176000,-70.0539170615206
7184000,-69.1557846651092
7192000,-72.8815033247844
7200000,-71.4986042014114
7208000,-71.0674825242044
7216000,-68.670054505044
7224000,-68.1072110395154
7232000,-71.267979266267
7240000,-70.5362982750706
7248000,-69.4629604241293
7256000,-69.9359325760746
7264000,-70.8415556835225
7272000,-69.9837873975467
7280000,-72.8844173690496
7288000,-70.9212408218277
7296000,-70.7266067246911
7304000,-69.5276788468949
7312000,-70.1051932361445
7320000,-69.6734179870536
7328000,-69.3602859280664
7336000,-69.3707934156974
7344000,-67.6061411497651
7352000,-70.1107071869557
7360000,-71.6063735245958
7368000,-68.8635599535537
7376000,-68.65266576683
7384000,-70.075679978837
7392000,-72.2094596961043
7400000,-70.9580486402882
7408000,-69.6821310867482
7416000,-67.2802883075572
7424000,-68.3833493534853
7432000,-68.5878707592076
7440000,-71.2334025648672
7448000,-66.7607256487931
7456000,-67.0760217210488
7464000,-71.6202772375092
7472000,-70.1962274581353
7480000,-70.3147465391122
7488000,-68.5484442074972
7496000,-69.3076652403363
7504000,-69.5548281410929
7512000,-70.3788695758206
7520000,-70.2458202690034
7528000,-69.0003095221833
