Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.044
Start Frequency,6000000
Stop Frequency,14000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Periodic
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
6000000,-74.5317899047223
6008000,-75.1038939449892
6016000,-71.1239256369653
6024000,-73.5375532547834
6032000,-70.8448542611054
6040000,-69.700525657453
6048000,-70.7875551448656
6056000,-68.193837635568
6064000,-70.3969859188054
6072000,-69.7907065574456
6080000,-72.9706465173336
6088000,-73.0074823431526
6096000,-72.8276280150665
6104000,-75.1201477654285
6112000,-74.4800016740564
6120000,-70.8587850047027
6128000,-69.6312526372798
6136000,-68.9035250391202
6144000,-69.8843532824979
6152000,-69.1036563561065
6160000,-70.019333826524
6168000,-69.8869112742764
6176000,-69.8243147478698
6184000,-71.7713561134159
6192000,-72.9797018729936
6200000,-75.4537477817065
6208000,-72.4320467380659
6216000,-70.5297874005231
6224000,-73.1257720092483
6232000,-68.9255318423093
6240000,-68.7035209096404
6248000,-70.8112752898828
6256000,-68.9535546035102
6264000,-68.763232621997
6272000,-69.8413470333061
6280000,-71.0011216102825
6288000,-73.9884976510295
6296000,-76.3772444841441
6304000,-73.9837986098004
6312000,-73.1424725232947
6320000,-71.7135296513277
6328000,-70.4600687106449
6336000,-68.8190467629556
6344000,-68.5750744021783
6352000,-68.5427822118675
6360000,-70.6464551923934
6368000,-70.8739438753334
6376000,-70.4848565665146
6384000,-72.3949861005467
6392000,-72.0024200529981
6400000,-71.3405158068501
6408000,-74.138230002968
6416000,-71.9082678243081
6424000,-69.8273541389023
6432000,-68.6269886212562
6440000,-70.3214323225014
6448000,-71.2442807011126
6456000,-70.1096119193289
6464000,-70.7679576342443
6472000,-70.8517547263099
6480000,-74.6869583195754
6488000,-76.8187687339187
6496000,-76.6062731475109
6504000,-74.5067797173092
6512000,-72.9098245835233
6520000,-71.2529425240438
6528000,-71.2069574036888
6536000,-73.4513950322363
6544000,-71.0453319800652
6552000,-69.4739178950386
6560000,-70.49613982499
6568000,-73.0222971933663
6576000,-73.0877589047966
6584000,-75.731724539543
6592000,-78.0785909752803
6600000,-74.7418246039336
6608000,-73.2357512097405
6616000,-71.4342219183192
6624000,-72.5175499757894
6632000,-70.4249448973576
6640000,-68.5567371071544
6648000,-67.9099145816998
6656000,-68.9934494732455
6664000,-72.5913049255894
6672000,-71.9160428351191
6680000,-72.5479887741046
6688000,-74.1886051745146
6696000,-75.0564504753509
6704000,-77.2219602791213
6712000,-73.8620485625934
6720000,-72.243513210429
6728000,-71.2089557882711
6736000,-69.3197414785569
6744000,-70.1363811162827
6752000,-67.8098201091653
6760000,-70.1043389161131
6768000,-71.7274209989245
6776000,-69.9364153063659
6784000,-72.470071036143
6792000,-74.6700777691473
6800000,-77.9441421339676
6808000,-74.5247636023649
6816000,-71.3449045247932
6824000,-70.2304421742327
6832000,-71.2843897919099
6840000,-70.662634404134
6848000,-69.4106263152959
6856000,-68.7017404780864
6864000,-69.9814451671651
6872000,-70.6325413798911
6880000,-74.7977629056249
6888000,-75.2982322116148
6896000,-73.8717115333344
6904000,-74.4783546742801
6912000,-73.5492569268807
6920000,-71.2456952267305
6928000,-71.4576574583926
6936000,-71.2119762453507
6944000,-69.9136103059758
6952000,-68.2932773025255
6960000,-68.8795310870714
6968000,-72.4369336717863
6976000,-69.8236334719775
6984000,-74.1764880043379
6992000,-75.3804303947027
7000000,-71.8552659948556
7008000,-71.7024622508336
7016000,-71.9992912051824
7024000,-71.1685785355419
7032000,-67.9062481723068
7040000,-68.5768426700596
7048000,-67.9355636763742
7056000,-67.6835939841462
7064000,-68.1256797952712
7072000,-69.939359324859
7080000,-69.7673772697776
7088000,-73.194702686416
7096000,-71.6170257342544
7104000,-72.4558602335042
7112000,-71.2074151247253
7120000,-72.852199916622
7128000,-68.9870659477596
7136000,-69.5455863788946
7144000,-73.5018067637746
7152000,-70.9002146692562
7160000,-71.0838776282907
7168000,-70.6860671749759
7176000,-69.9178792239859
7184000,-73.0037397511461
7192000,-73.7006343489669
7200000,-75.6840189446978
7208000,-71.958360966927
7216000,-70.550687358222
7224000,-73.4215820869589
7232000,-71.0784073876784
7240000,-71.7625933114332
7248000,-69.9146580229091
7256000,-66.4649067253754
7264000,-68.8274554182627
7272000,-69.6649620956667
7280000,-73.3723895987429
7288000,-73.5534000022616
7296000,-73.6155915947877
7304000,-74.919879402469
7312000,-71.4737004811485
7320000,-70.2721639986667
7328000,-69.1359169676219
7336000,-68.2933016408179
7344000,-70.0999573238585
7352000,-69.1895305512888
7360000,-70.1860101204214
7368000,-70.8570352096893
7376000,-69.972528601692
7384000,-71.4340577449933
7392000,-75.2302943966182
7400000,-73.0282808785965
7408000,-71.9910915393037
7416000,-71.4537858758364
7424000,-72.1621489352271
7432000,-68.3375387363787
7440000,-67.7843761718886
7448000,-71.3070648132657
7456000,-70.5425487737588
7464000,-71.5929522455754
7472000,-70.414123375486
7480000,-74.4277118220434
7488000,-74.7371136839534
7496000,-74.7835078009945
7504000,-75.1082293111549
7512000,-72.8403389603221
7520000,-73.9098291426399
7528000,-70.4433433992108
