Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.044
Start Frequency,6000000
Stop Frequency,14000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Periodic
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
6000000,-66.9565895772346
6008000,-67.0549472479582
6016000,-66.6985322422235
6024000,-67.4582384716677
6032000,-66.3087597232612
6040000,-66.3187169808331
6048000,-66.2698815063846
6056000,-66.6089452690755
6064000,-66.8458766095329
6072000,-67.9267327743449
6080000,-68.3089912557537
6088000,-67.953858094431
6096000,-66.1485178294785
6104000,-65.8421960043089
6112000,-66.1893826724031
6120000,-65.2147868517586
6128000,-66.9309914642276
6136000,-67.3406885014897
6144000,-65.9679963072553
6152000,-65.5629917295655
6160000,-66.8268661479819
6168000,-67.2968660916411
6176000,-67.2867957745446
6184000,-66.6690905487462
6192000,-65.6184609898964
6200000,-64.9428201482787
6208000,-65.1718030577459
6216000,-66.093965014084
6224000,-65.8874506679864
6232000,-66.2457054876736
6240000,-65.3473807282793
6248000,-66.6623095711744
6256000,-66.9341511791116
6264000,-65.8976575184012
6272000,-65.9279869524397
6280000,-66.0174895495132
6288000,-66.85253599541
6296000,-66.6640490337619
6304000,-66.5246622135002
6312000,-66.1854059938552
6320000,-67.1058331431439
6328000,-67.4400150414314
6336000,-67.0772022590698
6344000,-66.669062698535
6352000,-67.2501802461208
6360000,-66.914486542611
6368000,-65.903910997011
6376000,-66.630650367069
6384000,-67.4400434226731
6392000,-67.0878153385109
6400000,-66.9027012404764
6408000,-66.1696638467175
6416000,-67.6908943870695
6424000,-67.1437966170493
6432000,-66.3567547769254
6440000,-66.6280101393822
6448000,-65.8899913161595
6456000,-65.9545956820056
6464000,-66.1586325854906
6472000,-66.6145809381154
6480000,-66.9624818128676
6488000,-67.5675548253886
6496000,-67.3137621893578
6504000,-67.5576982496199
6512000,-66.156040483651
6520000,-65.5329978205798
6528000,-66.1761562251246
6536000,-67.9483643048956
6544000,-68.0291261105156
6552000,-66.1643518130803
6560000,-65.2890302300413
6568000,-65.8433610931637
6576000,-66.7673407498926
6584000,-66.9291669739821
6592000,-67.5854948128631
6600000,-66.7674717140233
6608000,-66.7319635991102
6616000,-66.2027084633663
6624000,-65.7459823387532
6632000,-66.255599794987
6640000,-67.0741060296577
6648000,-66.0314346359108
6656000,-66.3544741397951
6664000,-68.134695604814
6672000,-68.2964495149915
6680000,-66.7147012648076
6688000,-66.1572233932992
6696000,-66.1873843279678
6704000,-66.3567542997569
6712000,-66.5726196407179
6720000,-67.1249040433407
6728000,-66.5193203664579
6736000,-66.3180090076836
6744000,-66.1143670998419
6752000,-65.3523341980958
6760000,-67.031160091263
6768000,-67.7749922115455
6776000,-67.2878705210047
6784000,-67.817488636897
6792000,-67.3517661162258
6800000,-65.4946492710605
6808000,-67.3090871529673
6816000,-67.3077127334429
6824000,-66.3347614140611
6832000,-66.7020215347319
6840000,-66.5491983350397
6848000,-67.2982886236832
6856000,-66.9588584557444
6864000,-66.8333161983965
6872000,-66.909350098692
6880000,-65.7650136159045
6888000,-65.9971335037672
6896000,-66.456138423212
6904000,-66.1172745306304
6912000,-66.2704271839122
6920000,-66.6457380613008
6928000,-66.4742682385232
6936000,-67.5443981812267
6944000,-66.8716198907224
6952000,-66.1953530934435
6960000,-66.1766925231429
6968000,-65.8094070287629
6976000,-66.8845943999407
6984000,-66.3855296273532
6992000,-65.9277288352506
7000000,-66.5834724230283
7008000,-66.6174492241501
7016000,-65.851630542621
7024000,-65.9074050911458
7032000,-66.1683899280906
7040000,-67.5050424621744
7048000,-67.3659255793724
7056000,-66.1355065018619
7064000,-65.4518927901258
7072000,-66.1222229378442
7080000,-65.8617376931587
7088000,-64.9610535517702
7096000,-65.0041268108462
7104000,-66.2196975740797
7112000,-67.3257370798602
7120000,-66.8545052880223
7128000,-66.5139722635024
7136000,-67.194545627023
7144000,-66.9368403001901
7152000,-65.3052456600696
7160000,-66.2929141861968
7168000,-66.431393090117
7176000,-66.3849691643895
7184000,-65.2841032450874
7192000,-64.9761728285587
7200000,-65.1308003884044
7208000,-65.8359734604648
7216000,-65.0991911044883
7224000,-66.1888314157983
7232000,-66.03096262975
7240000,-66.8658862976259
7248000,-67.1735085985558
7256000,-66.4116795433459
7264000,-66.8169087077341
7272000,-66.4386371655456
7280000,-67.1591764503747
7288000,-66.4106745314866
7296000,-64.84466533595
7304000,-65.340005094107
7312000,-65.1173215828758
7320000,-66.3285082159435
7328000,-67.2579013044866
7336000,-65.4708142343614
7344000,-65.2134898064838
7352000,-64.6310619045222
7360000,-65.4475046134753
7368000,-65.8615254537365
7376000,-66.2687742161884
7384000,-66.0211516798107
7392000,-66.432893840983
7400000,-68.2781058242772
7408000,-66.9084188843674
7416000,-66.218548908901
7424000,-66.8102208228294
7432000,-66.898186581215
7440000,-66.6561082977508
7448000,-66.0303928942076
7456000,-65.2914385510059
7464000,-65.7319137975924
7472000,-67.0015357205904
7480000,-65.1641907639485
7488000,-64.4872917829536
7496000,-62.7879243847098
7504000,-63.4528846710804
7512000,-65.8407160278928
7520000,-66.8500160121866
7528000,-66.1358416027851
7536000,-66.0897309728047
